# Reference: Evolutionary history of continental southeast Asians: "early train" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data
Haplogroup	ML	MCMC	MCMC (95% highest posterior density interval)
M	41,300-51,900	79000	(59,000-98,700)
M20	4,400-5,500	8500	(1,600-16,900)
M21a	22,600-28,400	31100	(16,900-46,600)
M22	22,500-28,500	34400	(17,500-51,500)
M74	31,300-39,300	52300	(34,100-70,300)
M74b	20,400-25,600	35400	(20,800-49,600)
M7c2	17,800-22,400	27600	(14,300-41,500)
M7c3c	4,900-6,200	9300	(900-19,200)
M7b1	12,900-16,300	18600	(6,800-30,600)
E	23,200-29,000	36300	(20,500-52,100)
E1b	5,100-6,400	8200	(1,500-15,700)
G1c	10,700-13,500	15100	(5,400-25,500)
N	38,800-48,000	78500	(58,400-99,200)
N21	22,900-28,700	35400	(16,800-55,600)
N9a6	11,500-14,400	17200	(8,500-26,900)
N9a6a	4,900-6,100	8200	(2,600-14,900)
N22	19,300-24,100	27300	(13,700-42,200)
R	30,500-38,200	64600	(46,100-86,300)
R21	4,100-5,100	8600	(1,500-17,100)
B5	28,600-35,800	54700	(37,100-73,500)
B5b2	8,900-11,100	16300	(5,800-27,100)
B4a	24,100-30,100	37100	(23,700-52,500)
B4a1a1a	8,100-10,000	12300	(3,200-22,200)
B4b	21,700-27,200	34600	(20,600-50,500)
B4b1a2	8,100-10,200	13200	(4,800-23,000)
B4c	22,900-28,600	36000	(20,400-53,000)
B4c2	8,400-10,500	13300	(3,400-24,100)
B6	11,700-14,700	20900	(9,600-33,500)
F1	19,100-23,800	29900	(17,700-42,100)
F1a’c	13,800-17,300	21100	(11,100-31,500)
F1a1a	6,900—8,600	10300	(3,500-18,200)
