# Reference:River Valleys Shaped the Maternal Genetic Landscape of Han Chinese
Haplogroup	N		Coding Region (Soares et al. 2009)			Complete Genome (Soares et al. 2009)			Synonymous Positions (Soares et al. 2009)			Bayesian	Average	Period
			Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)		
Coalescent ages based on all publised whole mtDNA sequences														
D4	1233		20.16(16.76;23.55)	5.71(0.49)		23.77 (20.74; 26.8)	9.2(0.6)		27.4 (21.21; 33.58)	3.48(0.4)		41.76 (25.73; 60.82)	28.27 	19.5 kya
D4b	214		22.25(14.31;30.2)	6.3(1.15)		27.1 (18.8; 35.4)	10.48(1.64)		42.56 (22.97; 62.14)	5.4(1.27)		44.28 (20.66; 61.77)	34.05 	19.5 kya
D4b1	69		21.23(13.03;29.43)	6.01(1.19)		23.71 (16.54; 30.89)	9.17(1.42)		33.69 (18.54; 48.84)	4.28(0.98)		40.91 (28.53; 54.68)	29.89 	19.5 kya
D4b1a	38		19.79(9.59;29.98)	5.61(1.47)		20.95 (12.46; 29.45)	8.11(1.68)		39.19 (16.76; 61.63)	4.97(1.45)		36.85 (23.87; 52.58)	29.20 	19.5 kya
D4b1a1	8		5.74(1.24;10.23)	1.62(0.65)		5.82 (2.12; 9.51)	2.25(0.73)		4.92 (-0.18; 10.03)	0.62(0.33)		13.34 (4.61; 25.47)	7.46 	5-11.5 kya
D4b1a1a	4		0.88(-0.85;2.61)	0.25(0.25)		1.94 (-0.26; 4.13)	0.75(0.43)		0 (0; 0)	0(0)		0.00 (0.00; 0.00)	0.71 	<2 kya
D4b1a2	29		10.83(3.15;18.52)	3.07(1.11)		15.15 (7.56; 22.75)	5.86(1.5)		22.82 (5.68; 39.97)	2.9(1.11)		25.85 (13.75; 41.17)	18.66 	11.5-19.5 kya
D4b1a2a	28		6.81(2.93;10.68)	1.93(0.56)		12.37 (6.38; 18.37)	4.79(1.18)		14.63 (5.95; 23.32)	1.86(0.56)		17.80 (9.55; 29.32)	12.90 	11.5-19.5 kya
D4b1a2a1	21		5.21(0.8;9.62)	1.48(0.64)		10.22 (4.4; 16.03)	3.95(1.15)		12.01 (1.98; 22.04)	1.52(0.65)		12.37 (5.50; 22.43)	9.95 	5-11.5 kya
D4b1a2a2	5		3.53(-0.62;7.68)	1(0.6)		3.62 (-0.03; 7.27)	1.4(0.72)		3.15 (-3.03; 9.33)	0.4(0.4)		4.68 (0.67; 12.38)	3.75 	2-5 kya
D4b1b'd	28		18.41(7.14;29.68)	5.21(1.63)		21.23 (10.99; 31.47)	8.21(2.02)		27.86 (6.35; 49.37)	3.54(1.39)		26.47 (15.83; 41.09)	23.49 	19.5 kya
D4b1b	27		14.9(5.5;24.31)	4.22(1.36)		15.89 (8.08; 23.71)	6.15(1.54)		19.55 (3.51; 35.6)	2.48(1.04)		22.52 (12.75; 35.58)	18.22 	19.5 kya
D4b1b1	19		8.36(-0.28;17)	2.37(1.25)		10.48 (2.45; 18.51)	4.05(1.59)		2.49 (0.19; 4.79)	0.32(0.15)		9.26 (3.12; 18.49)	7.65 	5-11.5 kya
D4b1b1a	18		4.71(-1.2;10.61)	1.33(0.85)		5.31 (0.82; 9.81)	2.06(0.89)		1.75 (-0.35; 3.85)	0.22(0.14)		5.66 (1.51; 12.16)	4.36 	2-5 kya
D4b1b1a1	15		1.88(0.42;3.34)	0.53(0.21)		3.45 (1.66; 5.23)	1.33(0.35)		2.1 (-0.42; 4.62)	0.27(0.16)		5.23 (1.19; 11.69)	3.17 	2-5 kya
D4b2	146		14.26(7.79;20.74)	4.04(0.94)		16.1 (9.96; 22.24)	6.23(1.21)		23.59 (9.66; 37.51)	2.99(0.9)		40.52 (27.05; 68.56)	23.62 	19.5 kya
D4b2a	29		13.75(4.85;22.66)	3.9(1.29)		15.06 (7.39; 22.73)	5.83(1.51)		25 (5.52; 44.48)	3.17(1.26)		23.04 (13.96; 35.99)	19.21 	19.5 kya
D4b2a1	6		1.76(-0.23;3.76)	0.5(0.29)		1.72 (0.03; 3.41)	0.67(0.33)		1.31 (-1.26; 3.89)	0.17(0.17)		2.52 (0.02; 8.23)	1.83 	<2 kya
D4b2a2	22		8.5(2.38;14.63)	2.41(0.88)		11.04 (4.38; 17.71)	4.27(1.32)		15.4 (1.99; 28.81)	1.95(0.87)		18.67 (10.36; 30.04)	13.40 	11.5-19.5 kya
D4b2a2a	18		5.29(2.89;7.7)	1.5(0.35)		7.04 (3.33; 10.74)	2.72(0.73)		7.88 (3.5; 12.26)	1(0.28)		16.06 (7.42; 27.81)	9.07 	5-11.5 kya
D4b2a2a1	11		5.46(2.19;8.72)	1.55(0.47)		5.87 (3.07; 8.68)	2.27(0.55)		7.16 (1.55; 12.78)	0.91(0.36)		10.07 (3.58; 19.58)	7.14 	5-11.5 kya
