original	sanitized
A	A
A1	A1
A10	A10
A11	A11
A11_C16234T	A11_C16234T
A11a	A11a
A11b	A11b
A11b1	A11b1
A11b2	A11b2
A12	A12
A12a	A12a
A13	A13
A13a	A13a
A14	A14
A14c	A14c
A15	A15
A15a	A15a
A15b	A15b
A15c	A15c
A15c1	A15c1
A15c1c	A15c1c
A15g	A15g
A15i	A15i
A16	A16
A17	A17
A17a	A17a
A17c	A17c
A17e	A17e
A18	A18
A19	A19
A19b	A19b
A1a	A1a
A1a1	A1a1
A1b	A1b
A2	A2
A20	A20
A21	A21
A21a	A21a
A22	A22
A23	A23
A24	A24
A25	A25
A26	A26
A27	A27
A28	A28
A29	A29
A2_C64T	A2_C64T
A2_C64T_G153A!	A2_C64T_G153A
A2_C64T_G16129A!	A2_C64T_G16129A
A2_C64T_T16111C!	A2_C64T_T16111C
A2_C64T_T16189C!	A2_C64T_T16189C
A2a	A2a
A2a1	A2a1
A2a2	A2a2
A2a3	A2a3
A2a4	A2a4
A2a5	A2a5
A2aa	A2aa
A2ab	A2ab
A2ac	A2ac
A2ac1	A2ac1
A2ad	A2ad
A2ad1	A2ad1
A2ad2	A2ad2
A2ae	A2ae
A2af	A2af
A2af1	A2af1
A2af1a	A2af1a
A2af1a1	A2af1a1
A2af1a2	A2af1a2
A2af1b	A2af1b
A2af1b1	A2af1b1
A2af1b1a	A2af1b1a
A2af1b1b	A2af1b1b
A2af1b2	A2af1b2
A2af2	A2af2
A2ag	A2ag
A2ah	A2ah
A2ai	A2ai
A2aj	A2aj
A2ak	A2ak
A2al	A2al
A2am	A2am
A2an	A2an
A2ao	A2ao
A2ao1	A2ao1
A2ap	A2ap
A2aq	A2aq
A2ar	A2ar
A2b	A2b
A2b1	A2b1
A2c	A2c
A2d	A2d
A2d1	A2d1
A2d1a	A2d1a
A2d2	A2d2
A2e	A2e
A2f	A2f
A2f1	A2f1
A2f1a	A2f1a
A2f2	A2f2
A2f3	A2f3
A2g	A2g
A2g1	A2g1
A2h	A2h
A2h1	A2h1
A2i	A2i
A2j	A2j
A2j1	A2j1
A2k	A2k
A2k1	A2k1
A2k1a	A2k1a
A2k2	A2k2
A2l	A2l
A2m	A2m
A2m1	A2m1
A2m2	A2m2
A2n	A2n
A2o	A2o
A2o1	A2o1
A2p	A2p
A2p1	A2p1
A2p2	A2p2
A2q	A2q
A2q1	A2q1
A2q2	A2q2
A2r	A2r
A2r1	A2r1
A2s	A2s
A2t	A2t
A2u	A2u
A2u1	A2u1
A2u2	A2u2
A2v	A2v
A2v1	A2v1
A2v1_T152C!!!	A2v1_T152C
A2v1a	A2v1a
A2v1b	A2v1b
A2w	A2w
A2w1	A2w1
A2w1a	A2w1a
A2x	A2x
A2y	A2y
A2z	A2z
A3	A3
A30	A30
A31	A31
A32	A32
A33	A33
A34	A34
A35	A35
A36	A36
A37	A37
A38	A38
A39	A39
A3a	A3a
A4	A4
A5	A5
A5a	A5a
A5a1	A5a1
A5a1a	A5a1a
A5a1a1	A5a1a1
A5a1a1a	A5a1a1a
A5a1a1b	A5a1a1b
A5a1a2	A5a1a2
A5a1a2a	A5a1a2a
A5a1b	A5a1b
A5a2	A5a2
A5a3	A5a3
A5a3a	A5a3a
A5a4	A5a4
A5a5	A5a5
A5a6	A5a6
A5b	A5b
A5b1	A5b1
A5b1a	A5b1a
A5b1a1	A5b1a1
A5b1b	A5b1b
A5b1b3	A5b1b3
A5b1c	A5b1c
A5b1c1	A5b1c1
A5c	A5c
A5c1	A5c1
A5f	A5f
A5g	A5g
A6	A6
A6a	A6a
A6b	A6b
A6e	A6e
A7	A7
A8	A8
A8a	A8a
A8a1	A8a1
A8a5	A8a5
A9	A9
A_T152C	A_T152C
A_T152C_T16362C	A_T152C_T16362C
A_T152C_T16362C_A200G	A_T152C_T16362C_A200G
A_T152C_T16362C_T16189C	A_T152C_T16362C_T16189C
B2	B2
B2_C16278T!	B2_C16278T
B2a	B2a
B2a1	B2a1
B2a1a	B2a1a
B2a1a1	B2a1a1
B2a1b	B2a1b
B2a2	B2a2
B2a3	B2a3
B2a4	B2a4
B2a4a	B2a4a
B2a4a1	B2a4a1
B2a5	B2a5
B2b	B2b
B2b1	B2b1
B2b2	B2b2
B2b2a	B2b2a
B2b3	B2b3
B2b3a	B2b3a
B2b3a1	B2b3a1
B2b4	B2b4
B2b5	B2b5
B2b6	B2b6
B2b_T152C!	B2b_T152C
B2c	B2c
B2c1	B2c1
B2c1a	B2c1a
B2c1b	B2c1b
B2c1c	B2c1c
B2c2	B2c2
B2c2a	B2c2a
B2c2b	B2c2b
B2d	B2d
B2e	B2e
B2f	B2f
B2g	B2g
B2g1	B2g1
B2g2	B2g2
B2h	B2h
B2i	B2i
B2i1	B2i1
B2i2	B2i2
