haplogroup	ml_age_years	ml_ci95_lower_years	ml_ci95_upper_years	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	n_samples	calibration_method	confidence	flag
A	26804.4	26324.0	27285.8	26.8044	26.3240	27.2858	3702	rho_direct	NA	
A1	18676.3	12336.2	25212.8	18.6763	12.3362	25.2128	34	rho_direct	low	ci_exceeds_ancestor
A10	9585.7	7144.7	12061.2	9.5857	7.1447	12.0612	8	rho_fallback_no_desc	NA	
A11	17399.5	15973.8	18835.1	17.3995	15.9738	18.8351	242	rho_direct	NA	
A11_C16234T	15262.4	12810.5	17751.8	15.2624	12.8105	17.7518	54	single_child_interpolation	NA	
A11a	11960.9	10848.0	13080.5	11.9609	10.8480	13.0805	114	rho_direct	NA	
A11b	13125.3	9647.3	16668.5	13.1253	9.6473	16.6685	34	rho_direct	NA	
A11b1	10336.3	5775.0	15017.9	10.3363	5.7750	15.0179	10	rho_direct	NA	
A11b2	1718.5	0.0	5145.6	1.7185	0.0000	5.1456	3	rho_fallback_no_desc	NA	
A12	13112.3	8415.7	17961.8	13.1123	8.4157	17.9618	12	single_child_interpolation	NA	
A12a	8906.1	2232.4	15848.9	8.9061	2.2324	15.8489	8	rho_fallback_no_desc	NA	
A13	16516.6	14015.0	19057.9	16.5166	14.0150	19.0579	149	single_child_interpolation	NA	
A13a	15233.5	11522.7	19015.5	15.2335	11.5227	19.0155	15	rho_direct	NA	
A14	12113.4	10821.8	13414.1	12.1134	10.8218	13.4141	283	single_child_interpolation	NA	
A14c	6427.0	5136.4	7727.9	6.427	5.1364	7.7279	11	rho_direct	NA	
A15	17563.6	16385.6	18748.3	17.5636	16.3856	18.7483	541	rho_direct	NA	
A15a	14347.7	12625.7	16085.1	14.3477	12.6257	16.0851	311	rho_direct	NA	
A15b	10952.9	5802.4	16255.0	10.9529	5.8024	16.2550	8	rho_fallback_no_desc	NA	
A15c	13047.6	11656.7	14449.5	13.0476	11.6567	14.4495	120	single_child_interpolation	NA	
A15c1		5828.3			5.8283	NA	76	single_child_interpolation	NA	
A15c1c		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A15g	6548.6	3947.9	9191.2	6.5486	3.9479	9.1912	4	rho_fallback_no_desc	NA	
A15i	15467.6	10459.1	20606.2	15.4676	10.4591	20.6062	8	rho_fallback_no_desc	low	ci_exceeds_ancestor
A16	13370.5	0.0	31715.6	13.3705	0.0000	31.7156	11	rho_direct	low	ci_exceeds_ancestor
A17	16733.7	14768.7	18717.8	16.7337	14.7687	18.7178	186	rho_direct	NA	
A17a	4334.4	2848.8	5834.4	4.3344	2.8488	5.8344	9	rho_fallback_no_desc	NA	
A17c	11859.7	5848.1	18074.9	11.8597	5.8481	18.0749	11	rho_direct	NA	
