haplogroup	n_samples	rho_age_kya	rho_ci95_lower_kya	rho_ci95_upper_kya	confidence	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	calibration_method	diff_kya	rel_diff_pct
A	3702	26.8044	26.324	27.2858	high	26.8044	26.324	27.2858	rho_direct	0.0	0.0
A1	34	18.6763	12.3362	25.2128	low	18.6763	12.3362	25.2128	rho_direct	0.0	0.0
A10	8	9.5857	7.1447	12.0612	low	9.5857	7.1447	12.0612	rho_fallback_no_desc	0.0	0.0
A11	242	17.3995	15.9738	18.8351	high	17.3995	15.9738	18.8351	rho_direct	0.0	0.0
A11_C16234T	54	18.0085	14.151	21.9388	low	15.2624	12.8105	17.7518	single_child_interpolation	-2.746100000000002	15.248910236832616
A11a	114	11.9609	10.848	13.0805	high	11.9609	10.848	13.0805	rho_direct	0.0	0.0
A11b	34	13.1253	9.6473	16.6685	medium	13.1253	9.6473	16.6685	rho_direct	0.0	0.0
A11b1	10	10.3363	5.775	15.0179	medium	10.3363	5.775	15.0179	rho_direct	0.0	0.0
A11b2	3	1.7185	-1.6302	5.1456	low	1.7185	0.0	5.1456	rho_fallback_no_desc	0.0	0.0
A12	12	19.251	13.82	24.8239	low	13.1123	8.4157	17.9618	single_child_interpolation	-6.138700000000002	31.887694145758672
A12a	8	8.9061	2.2324	15.8489	low	8.9061	2.2324	15.8489	rho_fallback_no_desc	0.0	0.0
A13	149	15.9257	13.2799	18.607	high	16.5166	14.015	19.0579	single_child_interpolation	0.5908999999999995	3.7103549608494415
A13a	15	15.2335	11.5227	19.0155	low	15.2335	11.5227	19.0155	rho_direct	0.0	0.0
A14	283	13.9709	12.3689	15.5863	high	12.1134	10.8218	13.4141	single_child_interpolation	-1.8575	13.29549277426651
A14c	11	6.427	5.1364	7.7279	medium	6.427	5.1364	7.7279	rho_direct	0.0	0.0
A15	541	17.5636	16.3856	18.7483	high	17.5636	16.3856	18.7483	rho_direct	0.0	0.0
A15a	311	14.3477	12.6257	16.0851	high	14.3477	12.6257	16.0851	rho_direct	0.0	0.0
A15b	8	10.9529	5.8024	16.255	low	10.9529	5.8024	16.255	rho_fallback_no_desc	0.0	0.0
A15c	120	15.4676	13.643	17.3092	high	13.0476	11.6567	14.4495	single_child_interpolation	-2.42	15.645607592645272
A15c1	76	8.5316	6.9278	10.1507	high		5.8283		single_child_interpolation		
A15c1c	0				no_ci		0.0		rho_fallback_no_desc		
A15g	4	6.5486	3.9479	9.1912	low	6.5486	3.9479	9.1912	rho_fallback_no_desc	0.0	0.0
A15i	8	15.4676	10.4591	20.6062	low	15.4676	10.4591	20.6062	rho_fallback_no_desc	0.0	0.0
A16	11	13.3705	-3.343	31.7156	low	13.3705	0.0	31.7156	rho_direct	0.0	0.0
A17	186	16.7337	14.7687	18.7178	high	16.7337	14.7687	18.7178	rho_direct	0.0	0.0
A17a	9	4.3344	2.8488	5.8344	low	4.3344	2.8488	5.8344	rho_fallback_no_desc	0.0	0.0
A17c	11	11.8597	5.8481	18.0749	medium	11.8597	5.8481	18.0749	rho_direct	0.0	0.0
A17e	4	6.5486	5.0419	8.0692	low	6.5486	5.0419	8.0692	rho_fallback_no_desc	0.0	0.0
A18	30	12.9075	10.2795	15.5729	medium	12.9075	10.2795	15.5729	rho_direct	0.0	0.0
A19	47	12.0732	9.1255	15.0689	medium	16.3176	15.1183	17.5271	single_child_interpolation	4.244399999999999	35.15555113805784
A19b	6	9.2456	7.4352	11.075	low	9.2456	7.4352	11.075	rho_fallback_no_desc	0.0	0.0
A1a	26	13.5845	5.9435	21.5455	medium	16.3019	6.9007	26.2365	single_child_interpolation	2.7173999999999996	20.003680665464312
A1a1	15	13.9275	1.4652	27.2603	low	13.9275	1.4652	27.2603	rho_direct	0.0	0.0
A1b	5	16.7367	6.0397	28.0305	low	16.7367	6.0397	28.0305	rho_fallback_no_desc	0.0	0.0
A2	457	16.4991	15.778	17.2228	high	16.4991	15.778	17.2228	rho_direct	0.0	0.0
A20	11	12.8655	5.4466	20.5905	medium	12.8655	5.4466	20.5905	rho_direct	0.0	0.0
A21	76	12.4579	9.8595	15.0931	high	16.3629	15.1056	17.6317	single_child_interpolation	3.9049999999999994	31.345571886112424
