sample_id	haplogroup
111-1122-3363	N9a1
111-1141-4129	B4b1a2a2
111-1142-0557	C7a23
111-1146-3400	F1a1j1c
111-1148-8953	C7a23
111-1174-6848	M12b1a^
111-1174-8668	F1a3b3a
111-1178-6141	F1a1n1
111-1201-7473	A
111-1202-3757	G1a1a
111-1202-8745	G1a1a
111-1204-7609	F1c1a1
111-1204-8989	M11a4
111-1206-1803	B4a2b1
111-1238-9600	B4c1b2c1b^
111-1265-1226	F3a1d2^
111-1265-1394	F3a1d2^
111-1266-8323	D4y5
111-1274-0982	B4c1b2c
111-1299-8864	B5b1
111-1307-0330	B4d1a
111-1313-7996	Z3f
111-1349-6727	B4a1c4f
111-1364-4159	G3a2d
111-1369-5472	G2b2
111-1373-5222	D4g2a1d
111-1374-6846	F4a3
111-1392-6040	G2a101d"
111-1393-9545	D5b1b2a
111-1396-0686	D4g1b3
111-1397-7479	G2a101d"
111-1398-2596	B5a1c
111-1402-8859	D5b1c1a4
111-1404-7874	M10a1a1b
111-1407-9714	Z3c2
111-1408-3193	M10a1a1b
111-1408-8242	M10a1a1b
111-1411-7829	B4i1a
111-1414-1183	A39'50
111-1414-2845	A14n'o
111-1415-0819	C7
111-1421-4849	A39'50
111-1425-2261	F2b1
111-1427-0548	F2b1
111-1432-2155	B5b1e1^
111-1435-9878	F1c1a
111-1439-3919	B4b1a2
111-1446-5524	F1a3c
111-1448-2163	F1a1a4
111-1457-7494	C4a1a4c
111-1458-2559	M10a1a1b
111-1459-0974	B4i1a
111-1462-0480	E1a
111-1462-2699	R11a1'3
111-1466-3630	F1b1f
111-1480-6396	R9b1a2a4a
111-1481-1130	D4a
111-1488-4134	M76a
111-1492-0078	M12a1a1a
111-1499-7124	M7b1a1e2b1
111-1504-7156	C4+3816
111-1506-6010	B4a10
111-1507-2110	D4g2a1
111-1510-1995	B5b1b
111-1518-7098	G2a2i
111-1522-3949	D4b1d1
111-1525-8125	M7c1b3a
111-1554-1166	D5b1c2a^
111-1581-0507	D4b2b2a2
111-1584-3765	G2a4
111-1585-2453	M8a3a3
111-1587-1966	D4h1e
111-1611-1207	G2a6
111-1613-9140	D4g2c
111-1629-3484	D4b2b2a1a
111-1631-5599	D4g2
111-1634-9358	B4a4d1
111-1641-0669	G2a2i
111-1642-6264	D4j3
111-1648-9726	B5a1a19
111-1649-3327	D4b2b8a
111-1651-0697	D4q18"
111-1651-6415	G2a4
111-1678-3121	D5a2a1+16266
111-1684-8790	F2d
111-1691-9155	D4a3b2a1
111-1692-1400	C5a1
111-1695-6891	C7a1
111-1696-5695	B4c1b2c2
111-1701-6495	G3a2
111-1703-7797	F1a1c
111-1714-4136	N9a1
111-1715-5972	G1a2'3
111-1717-8193	M7b1a1a3e2
111-1717-8247	D4b2b6
111-1718-9335	D4g2a1
111-1719-9266	N11a
111-1721-7007	B4c1b2a1
111-1726-7279	N9a10e
111-1727-4390	B4c1b2c1
111-1728-0247	M7c1d1
111-1729-9980	A5b1c1
111-1730-3540	D4a3a
111-1733-1918	G2a1s
111-1745-9377	M7b1a1s
111-1756-3920	A15a
111-1759-0032	F1d3b1
111-1759-3736	D4a3b
111-1762-1361	A15a
111-1763-2954	D4h1c
111-1767-4534	G2a1d2
111-1770-9816	A15a
111-1771-5749	F1a1g
111-1773-2104	D4b2b
111-1773-7666	N9a1
111-1774-6637	A13b1
111-1775-2089	M9a4a2a2
111-1776-9599	M7b1a1b
111-1778-1140	M7c1a7
111-1778-6183	Z4d
111-1784-8072	D5a2a1b111"
111-1785-2093	G2a1s2
111-1785-7555	A17f
111-1788-2236	N9a3
111-1788-5770	A
111-1789-9005	B4b1a2a2
111-1791-2056	D4e1f^
111-1791-7082	B4d8
111-1791-8324	A14
111-1792-2017	A
111-1792-3045	D5b1c1a^
111-1793-9084	R11a1
111-1794-5542	D4b2b
111-1794-6488	D4a3b2a1
111-1794-9922	D4a
111-1797-0865	B4b1a4b
111-1797-3200	G2a1
111-1797-7123	B4b1c1
111-1799-0399	R11a1
111-1800-2411	D5b5
111-1805-7206	M10a1a3a
111-1810-8786	N9a3d
111-1810-9233	H80
111-1812-5745	F4b1i
111-1822-9214	M9a1b1
111-1823-0630	D4g2a1
111-1825-3059	A6a
111-1827-2197	D4a
111-1832-8917	A5b1d
111-1834-0773	F2l
111-1836-3079	M8a3a
111-1837-2491	B5a1c1d
111-1837-5089	B4d1a1
111-1839-1478	B4d5^^
111-1840-5663	C5d4
111-1841-5075	B5a2a1
111-1841-7222	D4a1
111-1842-2400	D4q18"
111-1842-8488	D4b2b2
111-1842-9560	B5a1b1
111-1843-5561	F1a1
111-1843-8425	R9b1a3
111-1845-4500	D4b2b2
111-1845-5248	F1b1b
111-1846-2352	B4aq"
111-1846-7142	D5c1b
111-1847-3891	B5b2a1a
111-1847-4249	D4a1
111-1847-6267	D4o1c
111-1848-1513	D4j23b
111-1848-4002	D4j
111-1848-8321	M7c1f
111-1848-9632	N9a1
111-1848-9717	D4y
111-1849-4520	B5b2a1a
111-1849-4759	D4b2b4
111-1850-2621	M8a2j
111-1850-2690	M8a2j
111-1850-3208	D5c1a3
111-1850-3673	D4o1c
