haplogroup	region	n_samples	rho	se	age_years	ci95_lower_years	ci95_upper_years	age_kya	ci95_lower_kya	ci95_upper_kya	confidence	flag
A	complete	2335	8.081799	0.070279	22129.0	21729.8	22529.0	22.129	21.7298	22.5290	high	
A	synonymous	2335	1.842398	0.028588	14503.4	14062.3	14944.4	14.5034	14.0623	14.9444	high	
A	hvsi_full	2335	1.659529	0.027966	27676.0	26761.8	28590.1	27.676	26.7618	28.5901	high	
A	hvsi_trans	2335	1.578587	0.027479	29748.5	28733.5	30763.5	29.7485	28.7335	30.7635	high	
A	hvsii	2335	1.473233	0.02553	32982.7	31862.5	34103.0	32.9827	31.8625	34.1030	high	
A	control	2335	4.2	0.041609	38043.6	37304.9	38782.3	38.0436	37.3049	38.7823	high	
A+16092	complete	15	1.933333	0.344572	5039.6	3259.8	6839.6	5.0396	3.2598	6.8396	medium	
A+16092	synonymous	15	0.266667	0.118187	2099.2	275.7	3922.7	2.0992	0.2757	3.9227	medium	
A+16092	hvsi_full	15	0.333333	0.159364	5559.0	349.9	10768.1	5.559	0.3499	10.7681	medium	
A+16092	hvsi_trans	15	0.333333	0.159364	6281.7	395.4	12168.0	6.2817	0.3954	12.1680	medium	
A+16092	hvsii	15	0.533333	0.191899	11940.3	3519.6	20360.9	11.9403	3.5196	20.3609	medium	
A+16092	control	15	1.933333	0.315725	17512.1	11906.8	23117.4	17.5121	11.9068	23.1174	medium	
A+16092+150	complete	3	1.333333	0.333333	3457.4	1753.1	5181.0	3.4574	1.7531	5.1810	low	
A+16092+150	synonymous	3	0.333333	0.333333	2624.0	-2519.0	7767.0	2.624	-2.5190	7.7670	low	negative_lower_ci
A+16092+150	hvsi_full	3	0.333333	0.333333	5559.0	-5336.6	16454.6	5.559	-5.3366	16.4546	low	negative_lower_ci
A+16092+150	hvsi_trans	3	1.0	0.57735	18845.0	-2480.1	40170.1	18.845	-2.4801	40.1701	low	negative_lower_ci
A+16092+150	hvsii	3	0.666667	0.333333	14925.3	298.5	29552.2	14.9253	0.2985	29.5522	low	
A+16092+150	control	3	2.666667	0.333333	24154.7	18236.8	30072.6	24.1547	18.2368	30.0726	low	
A+16092+150+152	complete	0							NA	NA	no_ci	no_descendants
A+16092+150+152	synonymous	0							NA	NA	no_ci	no_descendants
A+16092+150+152	hvsi_full	0							NA	NA	no_ci	no_descendants
A+16092+150+152	hvsi_trans	0							NA	NA	no_ci	no_descendants
A+16092+150+152	hvsii	0							NA	NA	no_ci	no_descendants
A+16092+150+152	control	0							NA	NA	no_ci	no_descendants
A+3394	complete	2	4.0	2.0	10610.1	205.1	21660.1	10.6101	0.2051	21.6601	very_low	
A+3394	synonymous	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	very_low	
A+3394	hvsi_full	2	0.5	0.5	8338.5	-8005.0	24682.0	8.3385	-8.0050	24.6820	very_low	negative_lower_ci
A+3394	hvsi_trans	2	0.5	0.5	9422.5	-9045.6	27890.6	9.4225	-9.0456	27.8906	very_low	negative_lower_ci
A+3394	hvsii	2	1.5	0.5	33582.0	11641.8	55522.2	33.582	11.6418	55.5222	very_low	
