haplogroup	n_samples	confidence	flag	complete_rho	complete_se	complete_age_kya	complete_ci_lo_kya	complete_ci_hi_kya	synonymous_rho	synonymous_se	synonymous_age_kya	synonymous_ci_lo_kya	synonymous_ci_hi_kya	hvsi_full_rho	hvsi_full_se	hvsi_full_age_kya	hvsi_full_ci_lo_kya	hvsi_full_ci_hi_kya	hvsi_trans_rho	hvsi_trans_se	hvsi_trans_age_kya	hvsi_trans_ci_lo_kya	hvsi_trans_ci_hi_kya	hvsii_rho	hvsii_se	hvsii_age_kya	hvsii_ci_lo_kya	hvsii_ci_hi_kya	control_rho	control_se	control_age_kya	control_ci_lo_kya	control_ci_hi_kya
mt-MRCA(RSRS)	48816	high		51.6960	0.0209	171.3904	171.2382	171.5425	21.4612	0.0125	168.9427	168.7505	169.1350	8.5191	0.0078	142.0736	141.8172	142.3300	8.5060	0.0078	160.2952	160.0055	160.5850	4.4076	0.0058	98.6772	98.4224	98.9320	14.3978	0.0107	130.4151	130.2257	130.6045
"L1""7"	48348	high		45.5245	0.0209	148.5804	148.4300	148.7308	18.6568	0.0130	146.8660	146.6655	147.0666	7.5495	0.0078	125.9022	125.6478	126.1567	7.5374	0.0078	142.0414	141.7542	142.3287	3.9837	0.0056	89.1866	88.9412	89.4321	13.0083	0.0105	117.8295	117.6431	118.0159
"L2""7"	47935	high		40.5966	0.0208	130.5911	130.4431	130.7392	17.6660	0.0130	139.0670	138.8657	139.2683	7.5685	0.0078	126.2202	125.9663	126.4741	7.5570	0.0078	142.4114	142.1247	142.6980	3.9864	0.0056	89.2465	89.0004	89.4927	13.0263	0.0105	117.9927	117.8066	118.1787
L5'7	24	low	ci_exceeds_ancestor	39.4583	0.9555	126.4706	119.7235	133.2574	19.3750	0.8139	152.5200	139.9629	165.0771	4.7083	0.2517	78.5209	70.2950	86.7467	4.7500	0.2571	89.5138	80.0158	99.0117	2.3333	0.2382	52.2387	41.7841	62.6932	9.1250	0.4865	82.6543	74.0179	91.2906
L0	468	high		38.7393	0.2030	123.8753	122.4419	125.3106	14.7030	0.1538	115.7419	113.3690	118.1149	5.8013	0.0739	96.7480	94.3335	99.1625	5.6795	0.0747	107.0299	104.2704	109.7895	6.6132	0.1743	148.0574	140.4072	155.7076	13.4573	0.2243	121.8959	117.9129	125.8789
L1	413	high		37.6320	0.2494	119.8901	118.1360	121.6472	14.9346	0.1447	117.5654	115.3332	119.7975	5.3366	0.0758	88.9978	86.5195	91.4762	5.2591	0.0683	99.1074	96.5854	101.6293	3.6731	0.0678	82.2339	79.2575	85.2103	10.9177	0.1422	98.8923	96.3683	101.4163
L7	5	low	ci_exceeds_ancestor	37.6000	1.9131	119.7753	106.3989	133.3250	16.0000	0.7746	125.9520	114.0007	137.9033	5.4000	0.5099	90.0558	73.3887	106.7229	4.4000	0.5099	82.9180	64.0842	101.7518	3.2000	0.3742	71.6416	55.2230	88.0602	10.8000	0.6633	97.8264	86.0499	109.6029
"L0a""m^"	342	high		35.9444	0.2204	113.8462	112.3052	115.3898	13.0702	0.1632	102.8884	100.3703	105.4065	5.1959	0.0797	86.6521	84.0486	89.2557	5.1023	0.0752	96.1536	93.3762	98.9310	7.7105	0.1072	172.6233	167.9190	177.3275	14.0000	0.1553	126.8120	124.0542	129.5698
L5	19	medium		35.5263	1.1455	112.3544	104.3858	120.3912	19.2632	0.9075	151.6396	137.6370	165.6422	3.5263	0.2796	58.8084	49.6690	67.9477	3.8421	0.2988	72.4045	61.3694	83.4396	1.2105	0.2367	27.1013	16.7156	37.4869	6.7895	0.5219	61.4991	52.2332	70.7649
L2e'f^	15	low	ci_exceeds_ancestor	35.4000	1.2024	111.9042	103.5458	120.3382	10.5333	0.5925	82.9184	73.7759	92.0609	7.1333	0.5509	118.9626	100.9553	136.9699	5.3333	0.4646	100.5067	83.3453	117.6680	1.8667	0.2737	41.7909	29.7801	53.8017	10.2667	0.7896	92.9955	78.9769	107.0140
L7a	5	low		33.6000	1.9131	105.5129	92.3562	118.8767	13.0000	0.7746	102.3360	90.3847	114.2873	5.4000	0.5099	90.0558	73.3887	106.7229	4.4000	0.5099	82.9180	64.0842	101.7518	3.2000	0.3742	71.6416	55.2230	88.0602	10.8000	0.6633	97.8264	86.0499	109.6029
L2'3'4'6	47911	high		32.4827	0.0222	101.5693	101.4164	101.7223	13.7217	0.0123	108.0173	107.8279	108.2067	5.3966	0.0082	89.9993	89.7306	90.2680	5.3850	0.0088	101.4812	101.1563	101.8061	2.9894	0.0056	66.9276	66.6818	67.1733	9.8572	0.0111	89.2866	89.0894	89.4839
L3'4'6	47020	high		30.5228	0.0223	94.6991	94.5465	94.8518	12.7060	0.0124	100.0213	99.8303	100.2123	5.3959	0.0083	89.9870	89.7152	90.2588	5.3975	0.0089	101.7161	101.3881	102.0441	2.9761	0.0056	66.6283	66.3806	66.8761	9.8446	0.0112	89.1724	88.9731	89.3717
