haplogroup	n_samples	rho_age_kya	rho_ci95_lower_kya	rho_ci95_upper_kya	confidence	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	calibration_method	diff_kya	rel_diff_pct
A	2335.0	22.129	21.7298	22.529	high	22.129	21.7298	22.529	rho_direct	0.0	0.0
A+16092	15.0	5.0396	3.2598	6.8396	medium	12.7932	11.7414	13.855	single_child_interpolation	7.7536000000000005	153.85348043495517
A+16092+150	3.0	3.4574	1.7531	5.181	low		5.8707		single_child_interpolation		
A+16092+150+152	0.0				no_ci						
A+3394	2.0	10.6101	0.2051	21.6601	very_low						
A1	20.0	10.7471	9.1249	12.3842	medium	10.7471	9.1249	12.3842	rho_direct	0.0	0.0
A10	6.0	9.2456	6.2734	12.2695	low	9.2456	6.2734	12.2695	rho_fallback_no_desc	0.0	0.0
A10a	1.0	0.0			no_ci	0.0	0.0		rho_fallback_no_desc	0.0	
A10b	4.0	7.8917	5.7475	10.0635	low	7.8917	5.7475	10.0635	rho_fallback_no_desc	0.0	0.0
A10b1	2.0	3.8953	1.3387	6.4951	very_low	5.2386	2.8737		single_child_interpolation	1.3432999999999997	34.48514876902934
A10b1a	1.0	2.5854			no_ci	2.6193	1.4369		single_child_interpolation	0.03390000000000004	1.31120909723834
A10b1a1	1.0	0.0			no_ci	0.0	0.0		rho_fallback_no_desc	0.0	
A10b3	0.0				no_ci		0.0		rho_fallback_no_desc		
A10b4	0.0				no_ci		0.0		rho_fallback_no_desc		
A11	91.0	11.5155	10.1324	12.9092	high	11.5155	10.1324	12.9092	rho_direct	0.0	0.0
A11'48	95.0	16.7963	15.4018	18.2004	high	16.7963	15.4018	18.2004	rho_direct	0.0	0.0
A11a	32.0	9.5857	7.9371	11.2499	medium	9.5857	7.9371	11.2499	rho_direct	0.0	0.0
A11a1	2.0	3.8953	1.3387	6.4951	very_low	3.8953	1.3387	6.4951	rho_fallback_no_desc	0.0	0.0
A11a2	1.0	5.2164			no_ci	5.2164	0.0		rho_fallback_no_desc	0.0	0.0
A11a3	3.0	8.7931	1.8569	16.0213	low	8.7931	1.8569	16.0213	rho_fallback_no_desc	0.0	0.0
A11a3a	2.0	5.2164	5.2164	5.2164	very_low	5.2164	5.2164	5.2164	rho_fallback_no_desc	0.0	0.0
