source_file	reference	literature_method	haplogroup	n_literature	literature_age_kya	literature_ci95_lower_kya	literature_ci95_upper_kya	literature_sd_kya	literature_period
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M		46.6	41.3	51.9		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M20		4.95	4.4	5.5		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M21a		25.5	22.6	28.4		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M22		25.5	22.5	28.5		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M74		35.3	31.3	39.3		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M74b		23.0	20.4	25.6		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M7c2		20.1	17.8	22.4		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M7c3c		5.55	4.9	6.2		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M7b1		14.6	12.9	16.3		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	E		26.1	23.2	29.0		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	E1b		5.75	5.1	6.4		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	G1c		12.1	10.7	13.5		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	N		43.4	38.8	48.0		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	N21		25.8	22.9	28.7		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	N9a6		12.95	11.5	14.4		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	N9a6a		5.5	4.9	6.1		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	N22		21.7	19.3	24.1		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	R		34.35	30.5	38.2		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	R21		4.6	4.1	5.1		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	B5		32.2	28.6	35.8		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	B5b2		10.0	8.9	11.1		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	B4a		27.1	24.1	30.1		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	B4a1a1a		9.05	8.1	10.0		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	B4b		24.45	21.7	27.2		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	B4b1a2		9.15	8.1	10.2		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	B4c		25.75	22.9	28.6		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	B4c2		9.45	8.4	10.5		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	B6		13.2	11.7	14.7		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	F1		21.45	19.1	23.8		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	F1a'c		15.55	13.8	17.3		
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	F1a1a		7.75	6.9	8.6		
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	coding_region_rho	D4	1233	20.16	16.76	23.55		19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	complete_genome_rho	D4	1233	23.77	20.74	26.8		19.5 kya
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	synonymous_positions_rho	D4	1233	27.4	21.21	33.58		19.5 kya
