source_file	reference	literature_method	haplogroup	n_literature	literature_age_kya	literature_ci95_lower_kya	literature_ci95_upper_kya	literature_sd_kya	literature_period	matched_in_project	project_n_samples	project_confidence	project_calibration_method	project_rho_age_kya	project_rho_ci95_lower_kya	project_rho_ci95_upper_kya	project_ml_age_kya	project_ml_ci95_lower_kya	project_ml_ci95_upper_kya	diff_lit_minus_project_rho_kya	diff_lit_minus_project_ml_kya	abs_diff_vs_rho_kya	abs_diff_vs_ml_kya	rel_diff_vs_rho_pct	rel_diff_vs_ml_pct	nearest_project_method	min_abs_diff_to_project_kya	overlap_with_project_rho_ci95	overlap_with_project_ml_ci95	interval_reasonable_flag	large_difference_flag
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M		46.6	41.3	51.9			yes	32133	high	rho_direct	52.8219	52.6041	53.0398	52.8219	52.6041	53.0398	-6.2219	-6.2219	6.2219	6.2219	11.779016	11.779016	rho	6.2219	no	no	no	yes
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M20		4.95	4.4	5.5			yes	106	high	single_child_interpolation	15.2688	12.637	17.9362	32.8126	31.1635	34.4738	-10.3188	-27.8626	10.3188	27.8626	67.580949	84.914332	rho	10.3188	no	no	no	yes
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M21a		25.5	22.6	28.4			yes	15	medium	single_child_interpolation	14.4861	8.8885	20.2503	30.3545	28.284	32.4424	11.0139	-4.8545	11.0139	4.8545	76.030816	15.992686	ml	4.8545	no	yes	yes	yes
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M22		25.5	22.5	28.5			yes	12	medium	rho_direct	39.1396	34.2758	44.0818	39.1396	34.2758	44.0818	-13.6396	-13.6396	13.6396	13.6396	34.848593	34.848593	rho	13.6396	no	no	no	yes
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M74		35.3	31.3	39.3			yes	228	high	rho_direct	35.4295	33.5878	37.2831	35.4295	33.5878	37.2831	-0.1295	-0.1295	0.1295	0.1295	0.365515	0.365515	rho	0.1295	yes	yes	yes	no
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M74b		23.0	20.4	25.6			yes	106	high	rho_direct	26.9501	24.6615	29.2601	26.9501	24.6615	29.2601	-3.9501	-3.9501	3.9501	3.9501	14.657088	14.657088	rho	3.9501	yes	yes	yes	no
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M7c2		20.1	17.8	22.4			yes	101	high	rho_direct	15.8646	12.9517	18.8208	15.8646	12.9517	18.8208	4.2354	4.2354	4.2354	4.2354	26.697175	26.697175	rho	4.2354	yes	yes	yes	no
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M7c3c		5.55	4.9	6.2			no																					
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M7b1		14.6	12.9	16.3			yes	3165	high	rho_direct	40.2704	39.6198	40.9225	40.2704	39.6198	40.9225	-25.6704	-25.6704	25.6704	25.6704	63.745083	63.745083	rho	25.6704	no	no	no	yes
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	E		26.1	23.2	29.0			yes	366	high	rho_direct	27.5344	27.0361	28.0336	27.5344	27.0361	28.0336	-1.4344	-1.4344	1.4344	1.4344	5.209483	5.209483	rho	1.4344	yes	yes	yes	no
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	E1b		5.75	5.1	6.4			no																					
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	G1c		12.1	10.7	13.5			yes	164	high	rho_direct	18.3334	16.0104	20.6824	18.3334	16.0104	20.6824	-6.2334	-6.2334	6.2334	6.2334	34.00024	34.00024	rho	6.2334	no	no	no	yes
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	N		43.4	38.8	48.0			yes	36323	high	rho_direct	56.2466	56.0283	56.4651	56.2466	56.0283	56.4651	-12.8466	-12.8466	12.8466	12.8466	22.839781	22.839781	rho	12.8466	no	no	no	yes
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	N21		25.8	22.9	28.7			yes	47	medium	single_child_interpolation	15.2733	13.3584	17.207	34.5309	33.4033	35.6697	10.5267	-8.7309	10.5267	8.7309	68.922237	25.284311	ml	8.7309	no	no	no	yes
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	N9a6		12.95	11.5	14.4			yes	62	high	rho_direct	12.6542	10.0215	15.3244	12.6542	10.0215	15.3244	0.2958	0.2958	0.2958	0.2958	2.337564	2.337564	rho	0.2958	yes	yes	yes	no
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	N9a6a		5.5	4.9	6.1			yes	9	low	rho_fallback_no_desc	11.2199	7.371	15.1524	11.2199	7.371	15.1524	-5.7199	-5.7199	5.7199	5.7199	50.979955	50.979955	rho	5.7199	no	no	no	yes
