source_file	reference	literature_method	haplogroup	n_literature	literature_age_kya	literature_ci95_lower_kya	literature_ci95_upper_kya	literature_sd_kya	literature_period	matched_in_project	project_n_samples	project_confidence	project_calibration_method	project_rho_age_kya	project_rho_ci95_lower_kya	project_rho_ci95_upper_kya	project_ml_age_kya	project_ml_ci95_lower_kya	project_ml_ci95_upper_kya	diff_lit_minus_project_rho_kya	diff_lit_minus_project_ml_kya	abs_diff_vs_rho_kya	abs_diff_vs_ml_kya	rel_diff_vs_rho_pct	rel_diff_vs_ml_pct	nearest_project_method	min_abs_diff_to_project_kya	overlap_with_project_rho_ci95	overlap_with_project_ml_ci95	interval_reasonable_flag	large_difference_flag
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	L0f1		2.3693	0.0	6.954328	2.3393		yes	2.0	very_low	rho_fallback_no_desc	72.328	65.7764	78.9631	72.328	65.7764	78.9631	-69.9587	-69.9587	69.9587	69.9587	96.724229	96.724229	rho	69.9587	no	no	no	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	L2a5		1.3172	0.0	5.217208	1.9898		yes	9.0	low	rho_fallback_no_desc	51.8481	46.7658	56.9994	51.8481	46.7658	56.9994	-50.5309	-50.5309	50.5309	50.5309	97.459502	97.459502	rho	50.5309	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	M68		68.38	44.42	93.59			yes	1.0	no_ci	rho_fallback_no_desc	21.8918			21.8918	0.0		46.4882	46.4882	46.4882	46.4882	212.354398	212.354398	rho	46.4882				yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	B4c1b2	77	63.71	42.71	88.26		19.5 kya	yes	435.0	high	rho_direct	23.6979	22.9081	24.4903	23.6979	22.9081	24.4903	40.0121	40.0121	40.0121	40.0121	168.842387	168.842387	rho	40.0121	no	no	no	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	M46		1.2339	0.0	10.152684	4.5504		yes	12.0	medium	rho_direct	41.2099	38.9066	43.53	41.2099	38.9066	43.53	-39.976	-39.976	39.976	39.976	97.005817	97.005817	rho	39.976	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	M23		39.29	21.14	58.6			yes	218.0	high	rho_direct	1.6907	1.3664	2.0159	1.6907	1.3664	2.0159	37.5993	37.5993	37.5993	37.5993	2223.889513	2223.889513	rho	37.5993	no	no	no	yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	B4c1b2c	13	56.66	36.49	80.39		19.5 kya	yes	215.0	high	rho_direct	19.2921	18.1458	20.4445	19.2921	18.1458	20.4445	37.3679	37.3679	37.3679	37.3679	193.695347	193.695347	rho	37.3679	no	no	no	yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	B4c1b	91	64.84	44.2	90.93		19.5 kya	yes	476.0	high	rho_direct	28.08	27.2815	28.8811	28.08	27.2815	28.8811	36.76	36.76	36.76	36.76	130.911681	130.911681	rho	36.76	no	no	no	yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	M7b1a1	380	52.69	31.69	78.77		19.5 kya	yes	1467.0	high	single_child_interpolation	16.8806	16.5842	17.1774	17.4793	17.1511	17.808	35.8094	35.2107	35.8094	35.2107	212.133455	201.442277	ml	35.2107	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	M23		36.52	21.6	52.24			yes	218.0	high	rho_direct	1.6907	1.3664	2.0159	1.6907	1.3664	2.0159	34.8293	34.8293	34.8293	34.8293	2060.052049	2060.052049	rho	34.8293	no	no	no	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	L1b		4.3339	0.0	11.223888	3.5153		yes	207.0	high	rho_direct	38.5533	37.5971	39.5126	38.5533	37.5971	39.5126	-34.2194	-34.2194	34.2194	34.2194	88.75868	88.75868	rho	34.2194	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	M68		55.83	36.21	76.45			yes	1.0	no_ci	rho_fallback_no_desc	21.8918			21.8918	0.0		33.9382	33.9382	33.9382	33.9382	155.026996	155.026996	rho	33.9382				yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	M7b1a	451	54.33	32.77	70.43		19.5 kya	yes	1554.0	high	rho_direct	20.5864	20.2453	20.9282	20.5864	20.2453	20.9282	33.7436	33.7436	33.7436	33.7436	163.912097	163.912097	rho	33.7436	no	no	no	yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	B4c1a'b	118	65.6	44.35	93.02		19.5 kya	yes	567.0	high	rho_direct	32.158	31.3576	32.9608	32.158	31.3576	32.9608	33.442	33.442	33.442	33.442	103.992786	103.992786	rho	33.442	no	no	no	yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	B4c1	125	66.28	42.98	91.95		19.5 kya	yes	667.0	high	rho_direct	33.3531	32.5837	34.1246	33.3531	32.5837	34.1246	32.9269	32.9269	32.9269	32.9269	98.722158	98.722158	rho	32.9269	no	no	no	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	N1a		18.1175	7.833772	28.401228	5.2468		yes	311.0	high	rho_direct	50.8691	49.7293	52.0125	50.8691	49.7293	52.0125	-32.7516	-32.7516	32.7516	32.7516	64.384076	64.384076	rho	32.7516	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	M76a		35.04	19.33	51.67			yes	8.0	low	rho_fallback_no_desc	3.2389	1.9607	4.528	3.2389	1.9607	4.528	31.8011	31.8011	31.8011	31.8011	981.848776	981.848776	rho	31.8011	no	no	no	yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	B4c	151	67.6	44.46	94.27		19.5 kya	yes	786.0	low	rho_direct	36.3781	35.5748	37.1836	36.3781	35.5748	37.1836	31.2219	31.2219	31.2219	31.2219	85.826088	85.826088	rho	31.2219	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	M13c1		32.26	18.55	46.69			yes	2.0	very_low	rho_fallback_no_desc	2.5854	2.5854	2.5854	2.5854	2.5854	2.5854	29.6746	29.6746	29.6746	29.6746	1147.775973	1147.775973	rho	29.6746	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	M76a		31.82	20.52	43.62			yes	8.0	low	rho_fallback_no_desc	3.2389	1.9607	4.528	3.2389	1.9607	4.528	28.5811	28.5811	28.5811	28.5811	882.432307	882.432307	rho	28.5811	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	ML	M13c1		31.14	15.74	47.49			yes	2.0	very_low	rho_fallback_no_desc	2.5854	2.5854	2.5854	2.5854	2.5854	2.5854	28.5546	28.5546	28.5546	28.5546	1104.45579	1104.45579	rho	28.5546	no	no	no	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	L2a4		2.5642	0.0	7.568668	2.5533		yes	6.0	low	rho_fallback_no_desc	30.2493	24.3579	36.2759	30.2493	24.3579	36.2759	-27.6851	-27.6851	27.6851	27.6851	91.52311	91.52311	rho	27.6851	no	no	no	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	L1c3b		12.3354	2.91368	21.75712	4.807		yes	14.0	low	single_child_interpolation	41.4696	38.9372	44.0223	40.0014	36.7423	43.295	-29.1342	-27.666	29.1342	27.666	70.254355	69.162579	ml	27.666	no	no	no	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	R7		31.5512	20.221812	42.880588	5.7803		yes	27.0	low	rho_direct	59.1739	55.0239	63.3649	59.1739	55.0239	63.3649	-27.6227	-27.6227	27.6227	27.6227	46.680547	46.680547	rho	27.6227	no	no	no	yes
