draw	time	log_ne
1	0.00000	10.96228
1	200.00000	10.96228
1	400.00000	10.96228
1	600.00000	10.96228
1	800.00000	10.96228
1	1000.00000	11.47139
1	1200.00000	11.47139
1	1400.00000	11.47139
1	1600.00000	11.47139
1	1800.00000	11.47139
1	2000.00000	11.03449
1	2200.00000	11.03449
1	2400.00000	11.03449
1	2600.00000	11.03449
1	2800.00000	11.03449
1	3000.00000	10.22029
1	3200.00000	10.22029
1	3400.00000	10.22029
1	3600.00000	10.22029
1	3800.00000	10.22029
1	4000.00000	10.54088
1	4200.00000	10.54088
1	4400.00000	10.54088
1	4600.00000	10.54088
1	4800.00000	10.54088
1	5000.00000	9.66905
1	5200.00000	9.66905
1	5400.00000	9.66905
1	5600.00000	9.66905
1	5800.00000	9.96425
1	6000.00000	9.96425
1	6200.00000	9.96425
1	6400.00000	9.96425
1	6600.00000	9.96425
1	6800.00000	9.54048
1	7000.00000	9.54048
1	7200.00000	9.54048
1	7400.00000	9.54048
1	7600.00000	9.54048
1	7800.00000	9.61124
1	8000.00000	9.61124
1	8200.00000	9.61124
1	8400.00000	9.61124
1	8600.00000	9.61124
1	8800.00000	9.45329
1	9000.00000	9.45329
1	9200.00000	9.45329
1	9400.00000	9.45329
1	9600.00000	9.45329
1	9800.00000	9.94366
1	10000.00000	9.94366
1	10200.00000	9.94366
1	10400.00000	9.94366
1	10600.00000	11.16987
1	10800.00000	11.16987
1	11000.00000	11.16987
1	11200.00000	11.16987
1	11400.00000	11.16987
1	11600.00000	9.79732
1	11800.00000	9.79732
1	12000.00000	9.79732
1	12200.00000	9.79732
1	12400.00000	9.79732
1	12600.00000	9.17806
1	12800.00000	9.17806
1	13000.00000	9.17806
1	13200.00000	9.17806
1	13400.00000	9.17806
1	13600.00000	9.66424
1	13800.00000	9.66424
1	14000.00000	9.66424
1	14200.00000	9.66424
1	14400.00000	9.66424
1	14600.00000	9.98414
1	14800.00000	9.98414
1	15000.00000	9.98414
1	15200.00000	9.98414
1	15400.00000	9.46834
1	15600.00000	9.46834
1	15800.00000	9.46834
1	16000.00000	9.46834
1	16200.00000	9.46834
1	16400.00000	9.52845
1	16600.00000	9.52845
1	16800.00000	9.52845
1	17000.00000	9.52845
1	17200.00000	9.52845
1	17400.00000	9.27429
1	17600.00000	9.27429
1	17800.00000	9.27429
1	18000.00000	9.27429
1	18200.00000	9.27429
1	18400.00000	9.41293
1	18600.00000	9.41293
1	18800.00000	9.41293
1	19000.00000	9.41293
1	19200.00000	9.41293
1	19400.00000	9.13225
1	19600.00000	9.13225
1	19800.00000	9.13225
1	20000.00000	9.13225
2	0.00000	10.92376
2	200.00000	10.92376
2	400.00000	10.92376
2	600.00000	10.92376
2	800.00000	10.92376
2	1000.00000	11.46510
2	1200.00000	11.46510
2	1400.00000	11.46510
2	1600.00000	11.46510
2	1800.00000	11.46510
2	2000.00000	10.92052
2	2200.00000	10.92052
2	2400.00000	10.92052
2	2600.00000	10.92052
2	2800.00000	10.92052
2	3000.00000	10.17360
2	3200.00000	10.17360
2	3400.00000	10.17360
2	3600.00000	10.17360
2	3800.00000	10.17360
2	4000.00000	10.61068
2	4200.00000	10.61068
2	4400.00000	10.61068
2	4600.00000	10.61068
2	4800.00000	10.61068
2	5000.00000	10.36630
2	5200.00000	10.36630
2	5400.00000	10.36630
2	5600.00000	10.36630
2	5800.00000	9.87957
2	6000.00000	9.87957
2	6200.00000	9.87957
2	6400.00000	9.87957
2	6600.00000	9.87957
2	6800.00000	9.69446
2	7000.00000	9.69446
2	7200.00000	9.69446
2	7400.00000	9.69446
2	7600.00000	9.69446
2	7800.00000	9.55894
2	8000.00000	9.55894
2	8200.00000	9.55894
2	8400.00000	9.55894
2	8600.00000	9.55894
2	8800.00000	9.23402
2	9000.00000	9.23402
2	9200.00000	9.23402
2	9400.00000	9.23402
2	9600.00000	9.23402
2	9800.00000	9.73782
2	10000.00000	9.73782
2	10200.00000	9.73782
2	10400.00000	9.73782
2	10600.00000	10.04799
2	10800.00000	10.04799
2	11000.00000	10.04799
2	11200.00000	10.04799
2	11400.00000	10.04799
2	11600.00000	9.87802
2	11800.00000	9.87802
2	12000.00000	9.87802
2	12200.00000	9.87802
2	12400.00000	9.87802
2	12600.00000	9.69501
2	12800.00000	9.69501
2	13000.00000	9.69501
2	13200.00000	9.69501
2	13400.00000	9.69501
2	13600.00000	9.85819
2	13800.00000	9.85819
2	14000.00000	9.85819
2	14200.00000	9.85819
2	14400.00000	9.85819
2	14600.00000	9.40492
2	14800.00000	9.40492
2	15000.00000	9.40492
2	15200.00000	9.40492
2	15400.00000	9.21144
2	15600.00000	9.21144
2	15800.00000	9.21144
2	16000.00000	9.21144
2	16200.00000	9.21144
2	16400.00000	9.62008
2	16600.00000	9.62008
2	16800.00000	9.62008
2	17000.00000	9.62008
2	17200.00000	9.62008
2	17400.00000	9.52347
2	17600.00000	9.52347
2	17800.00000	9.52347
2	18000.00000	9.52347
2	18200.00000	9.52347
2	18400.00000	9.21316
2	18600.00000	9.21316
2	18800.00000	9.21316
2	19000.00000	9.21316
2	19200.00000	9.21316
2	19400.00000	9.07788
2	19600.00000	9.07788
2	19800.00000	9.07788
2	20000.00000	9.07788
3	0.00000	10.97799
3	200.00000	10.97799
3	400.00000	10.97799
3	600.00000	10.97799
3	800.00000	10.97799
3	1000.00000	11.57771
3	1200.00000	11.57771
3	1400.00000	11.57771
3	1600.00000	11.57771
3	1800.00000	11.57771
3	2000.00000	10.94864
3	2200.00000	10.94864
3	2400.00000	10.94864
3	2600.00000	10.94864
3	2800.00000	10.94864
3	3000.00000	10.37003
3	3200.00000	10.37003
3	3400.00000	10.37003
3	3600.00000	10.37003
3	3800.00000	10.37003
3	4000.00000	10.67633
3	4200.00000	10.67633
3	4400.00000	10.67633
3	4600.00000	10.67633
3	4800.00000	10.67633
3	5000.00000	10.01831
3	5200.00000	10.01831
3	5400.00000	10.01831
3	5600.00000	10.01831
3	5800.00000	9.75615
3	6000.00000	9.75615
3	6200.00000	9.75615
3	6400.00000	9.75615
3	6600.00000	9.75615
3	6800.00000	9.73561
3	7000.00000	9.73561
3	7200.00000	9.73561
3	7400.00000	9.73561
3	7600.00000	9.73561
3	7800.00000	9.23944
3	8000.00000	9.23944
3	8200.00000	9.23944
3	8400.00000	9.23944
3	8600.00000	9.23944
3	8800.00000	9.23822
3	9000.00000	9.23822
3	9200.00000	9.23822
3	9400.00000	9.23822
3	9600.00000	9.23822
3	9800.00000	9.62820
3	10000.00000	9.62820
3	10200.00000	9.62820
3	10400.00000	9.62820
3	10600.00000	9.74128
3	10800.00000	9.74128
3	11000.00000	9.74128
3	11200.00000	9.74128
3	11400.00000	9.74128
3	11600.00000	9.93026
3	11800.00000	9.93026
3	12000.00000	9.93026
3	12200.00000	9.93026
3	12400.00000	9.93026
3	12600.00000	9.81232
3	12800.00000	9.81232
3	13000.00000	9.81232
3	13200.00000	9.81232
3	13400.00000	9.81232
3	13600.00000	9.72053
3	13800.00000	9.72053
