draw	time	log_ne
1	0.00000	9.63552
1	200.00000	9.63552
1	400.00000	9.63552
1	600.00000	9.63552
1	800.00000	9.63552
1	1000.00000	9.63552
1	1200.00000	9.63552
1	1400.00000	9.63552
1	1600.00000	9.63552
1	1800.00000	9.16970
1	2000.00000	9.16970
1	2200.00000	9.16970
1	2400.00000	9.16970
1	2600.00000	9.16970
1	2800.00000	9.16970
1	3000.00000	9.16970
1	3200.00000	9.16970
1	3400.00000	11.09384
1	3600.00000	11.09384
1	3800.00000	11.09384
1	4000.00000	11.09384
1	4200.00000	11.09384
1	4400.00000	11.09384
1	4600.00000	11.09384
1	4800.00000	11.09384
1	5000.00000	9.12061
1	5200.00000	9.12061
1	5400.00000	9.12061
1	5600.00000	9.12061
1	5800.00000	9.12061
1	6000.00000	9.12061
1	6200.00000	9.12061
1	6400.00000	9.12061
1	6600.00000	9.12061
1	6800.00000	8.15085
1	7000.00000	8.15085
1	7200.00000	8.15085
1	7400.00000	8.15085
1	7600.00000	8.15085
1	7800.00000	8.15085
1	8000.00000	8.15085
1	8200.00000	8.15085
1	8400.00000	8.36527
1	8600.00000	8.36527
1	8800.00000	8.36527
1	9000.00000	8.36527
1	9200.00000	8.36527
1	9400.00000	8.36527
1	9600.00000	8.36527
1	9800.00000	8.36527
1	10000.00000	9.11444
1	10200.00000	9.11444
1	10400.00000	9.11444
1	10600.00000	9.11444
1	10800.00000	9.11444
1	11000.00000	9.11444
1	11200.00000	9.11444
1	11400.00000	9.11444
1	11600.00000	8.55888
1	11800.00000	8.55888
1	12000.00000	8.55888
1	12200.00000	8.55888
1	12400.00000	8.55888
1	12600.00000	8.55888
1	12800.00000	8.55888
1	13000.00000	8.55888
1	13200.00000	8.55888
1	13400.00000	8.06966
1	13600.00000	8.06966
1	13800.00000	8.06966
1	14000.00000	8.06966
1	14200.00000	8.06966
1	14400.00000	8.06966
1	14600.00000	8.06966
1	14800.00000	8.06966
1	15000.00000	8.34334
1	15200.00000	8.34334
1	15400.00000	8.34334
1	15600.00000	8.34334
1	15800.00000	8.34334
1	16000.00000	8.34334
1	16200.00000	8.34334
1	16400.00000	8.34334
1	16600.00000	9.37907
1	16800.00000	9.37907
1	17000.00000	9.37907
1	17200.00000	9.37907
1	17400.00000	9.37907
1	17600.00000	9.37907
1	17800.00000	9.37907
1	18000.00000	9.37907
1	18200.00000	9.01360
1	18400.00000	9.01360
1	18600.00000	9.01360
1	18800.00000	9.01360
1	19000.00000	9.01360
1	19200.00000	9.01360
1	19400.00000	9.01360
1	19600.00000	9.01360
1	19800.00000	9.01360
1	20000.00000	9.20510
2	0.00000	9.43845
2	200.00000	9.43845
2	400.00000	9.43845
2	600.00000	9.43845
2	800.00000	9.43845
2	1000.00000	9.43845
2	1200.00000	9.43845
2	1400.00000	9.43845
2	1600.00000	9.43845
2	1800.00000	9.20640
2	2000.00000	9.20640
2	2200.00000	9.20640
2	2400.00000	9.20640
2	2600.00000	9.20640
2	2800.00000	9.20640
2	3000.00000	9.20640
2	3200.00000	9.20640
2	3400.00000	9.27777
2	3600.00000	9.27777
2	3800.00000	9.27777
2	4000.00000	9.27777
2	4200.00000	9.27777
2	4400.00000	9.27777
2	4600.00000	9.27777
2	4800.00000	9.27777
2	5000.00000	9.04397
2	5200.00000	9.04397
2	5400.00000	9.04397
2	5600.00000	9.04397
2	5800.00000	9.04397
2	6000.00000	9.04397
2	6200.00000	9.04397
2	6400.00000	9.04397
2	6600.00000	9.04397
2	6800.00000	8.95645
2	7000.00000	8.95645
2	7200.00000	8.95645
2	7400.00000	8.95645
2	7600.00000	8.95645
2	7800.00000	8.95645
2	8000.00000	8.95645
2	8200.00000	8.95645
2	8400.00000	8.09325
2	8600.00000	8.09325
2	8800.00000	8.09325
2	9000.00000	8.09325
2	9200.00000	8.09325
2	9400.00000	8.09325
2	9600.00000	8.09325
2	9800.00000	8.09325
2	10000.00000	8.66593
2	10200.00000	8.66593
2	10400.00000	8.66593
2	10600.00000	8.66593
2	10800.00000	8.66593
2	11000.00000	8.66593
2	11200.00000	8.66593
2	11400.00000	8.66593
2	11600.00000	8.47193
2	11800.00000	8.47193
2	12000.00000	8.47193
2	12200.00000	8.47193
2	12400.00000	8.47193
2	12600.00000	8.47193
2	12800.00000	8.47193
2	13000.00000	8.47193
2	13200.00000	8.47193
2	13400.00000	8.81495
2	13600.00000	8.81495
2	13800.00000	8.81495
2	14000.00000	8.81495
2	14200.00000	8.81495
2	14400.00000	8.81495
2	14600.00000	8.81495
2	14800.00000	8.81495
2	15000.00000	8.55509
2	15200.00000	8.55509
2	15400.00000	8.55509
2	15600.00000	8.55509
2	15800.00000	8.55509
2	16000.00000	8.55509
2	16200.00000	8.55509
2	16400.00000	8.55509
2	16600.00000	9.61367
2	16800.00000	9.61367
2	17000.00000	9.61367
2	17200.00000	9.61367
2	17400.00000	9.61367
2	17600.00000	9.61367
2	17800.00000	9.61367
2	18000.00000	9.61367
2	18200.00000	9.06131
2	18400.00000	9.06131
2	18600.00000	9.06131
2	18800.00000	9.06131
2	19000.00000	9.06131
2	19200.00000	9.06131
2	19400.00000	9.06131
2	19600.00000	9.06131
2	19800.00000	9.06131
2	20000.00000	8.27514
3	0.00000	9.62526
3	200.00000	9.62526
3	400.00000	9.62526
3	600.00000	9.62526
3	800.00000	9.62526
3	1000.00000	9.62526
3	1200.00000	9.62526
3	1400.00000	9.62526
3	1600.00000	9.62526
