draw	time	log_ne
1	0.00000	9.90483
1	200.00000	9.90483
1	400.00000	9.90483
1	600.00000	9.90483
1	800.00000	9.90483
1	1000.00000	10.09768
1	1200.00000	10.09768
1	1400.00000	10.09768
1	1600.00000	10.09768
1	1800.00000	10.09768
1	2000.00000	9.42017
1	2200.00000	9.42017
1	2400.00000	9.42017
1	2600.00000	9.42017
1	2800.00000	9.42017
1	3000.00000	8.85856
1	3200.00000	8.85856
1	3400.00000	8.85856
1	3600.00000	8.85856
1	3800.00000	8.85856
1	4000.00000	9.10549
1	4200.00000	9.10549
1	4400.00000	9.10549
1	4600.00000	9.10549
1	4800.00000	9.10549
1	5000.00000	8.96577
1	5200.00000	8.96577
1	5400.00000	8.96577
1	5600.00000	8.96577
1	5800.00000	8.96577
1	6000.00000	8.86836
1	6200.00000	8.86836
1	6400.00000	8.86836
1	6600.00000	8.86836
1	6800.00000	8.86836
1	7000.00000	8.78487
1	7200.00000	8.78487
1	7400.00000	8.78487
1	7600.00000	8.78487
1	7800.00000	8.78487
1	8000.00000	8.67630
1	8200.00000	8.67630
1	8400.00000	8.67630
1	8600.00000	8.67630
1	8800.00000	8.67630
1	9000.00000	8.77969
1	9200.00000	8.77969
1	9400.00000	8.77969
1	9600.00000	8.77969
1	9800.00000	8.77969
1	10000.00000	8.97121
1	10200.00000	8.97121
1	10400.00000	8.97121
1	10600.00000	8.97121
1	10800.00000	8.97121
1	11000.00000	9.22834
1	11200.00000	9.22834
1	11400.00000	9.22834
1	11600.00000	9.22834
1	11800.00000	9.22834
1	12000.00000	9.55899
1	12200.00000	9.55899
1	12400.00000	9.55899
1	12600.00000	9.55899
1	12800.00000	9.55899
1	13000.00000	9.45235
1	13200.00000	9.45235
1	13400.00000	9.45235
1	13600.00000	9.45235
1	13800.00000	9.45235
1	14000.00000	9.29334
1	14200.00000	9.29334
1	14400.00000	9.29334
1	14600.00000	9.29334
1	14800.00000	9.29334
1	15000.00000	9.07319
1	15200.00000	9.07319
1	15400.00000	9.07319
1	15600.00000	9.07319
1	15800.00000	9.25043
1	16000.00000	9.25043
1	16200.00000	9.25043
1	16400.00000	9.25043
1	16600.00000	9.25043
1	16800.00000	9.17971
1	17000.00000	9.17971
1	17200.00000	9.17971
1	17400.00000	9.17971
1	17600.00000	9.17971
1	17800.00000	9.33430
1	18000.00000	9.33430
1	18200.00000	9.33430
1	18400.00000	9.33430
1	18600.00000	9.33430
1	18800.00000	9.25809
1	19000.00000	9.25809
1	19200.00000	9.25809
1	19400.00000	9.25809
1	19600.00000	9.25809
1	19800.00000	9.37657
1	20000.00000	9.37657
2	0.00000	10.02559
2	200.00000	10.02559
2	400.00000	10.02559
2	600.00000	10.02559
2	800.00000	10.02559
2	1000.00000	9.95908
2	1200.00000	9.95908
2	1400.00000	9.95908
2	1600.00000	9.95908
2	1800.00000	9.95908
2	2000.00000	9.45145
2	2200.00000	9.45145
2	2400.00000	9.45145
2	2600.00000	9.45145
2	2800.00000	9.45145
2	3000.00000	9.13560
2	3200.00000	9.13560
2	3400.00000	9.13560
2	3600.00000	9.13560
2	3800.00000	9.13560
2	4000.00000	9.16882
2	4200.00000	9.16882
2	4400.00000	9.16882
2	4600.00000	9.16882
2	4800.00000	9.16882
2	5000.00000	8.87479
2	5200.00000	8.87479
2	5400.00000	8.87479
2	5600.00000	8.87479
2	5800.00000	8.87479
2	6000.00000	8.98641
2	6200.00000	8.98641
2	6400.00000	8.98641
2	6600.00000	8.98641
2	6800.00000	8.98641
2	7000.00000	8.81555
2	7200.00000	8.81555
2	7400.00000	8.81555
2	7600.00000	8.81555
2	7800.00000	8.81555
2	8000.00000	8.96651
2	8200.00000	8.96651
2	8400.00000	8.96651
2	8600.00000	8.96651
2	8800.00000	8.96651
2	9000.00000	9.04544
2	9200.00000	9.04544
2	9400.00000	9.04544
2	9600.00000	9.04544
2	9800.00000	9.04544
2	10000.00000	9.10171
2	10200.00000	9.10171
2	10400.00000	9.10171
2	10600.00000	9.10171
2	10800.00000	9.10171
2	11000.00000	9.59065
2	11200.00000	9.59065
2	11400.00000	9.59065
2	11600.00000	9.59065
2	11800.00000	9.59065
2	12000.00000	9.88987
2	12200.00000	9.88987
2	12400.00000	9.88987
2	12600.00000	9.88987
2	12800.00000	9.88987
2	13000.00000	9.41297
2	13200.00000	9.41297
2	13400.00000	9.41297
2	13600.00000	9.41297
2	13800.00000	9.41297
2	14000.00000	9.85785
2	14200.00000	9.85785
2	14400.00000	9.85785
2	14600.00000	9.85785
2	14800.00000	9.85785
2	15000.00000	9.75915
2	15200.00000	9.75915
2	15400.00000	9.75915
2	15600.00000	9.75915
2	15800.00000	9.57117
2	16000.00000	9.57117
2	16200.00000	9.57117
2	16400.00000	9.57117
2	16600.00000	9.57117
2	16800.00000	9.41673
2	17000.00000	9.41673
2	17200.00000	9.41673
2	17400.00000	9.41673
2	17600.00000	9.41673
2	17800.00000	9.37137
2	18000.00000	9.37137
2	18200.00000	9.37137
2	18400.00000	9.37137
2	18600.00000	9.37137
2	18800.00000	9.39072
2	19000.00000	9.39072
2	19200.00000	9.39072
2	19400.00000	9.39072
2	19600.00000	9.39072
2	19800.00000	8.79712
2	20000.00000	8.79712
3	0.00000	9.91298
3	200.00000	9.91298
3	400.00000	9.91298
3	600.00000	9.91298
3	800.00000	9.91298
3	1000.00000	10.34868
3	1200.00000	10.34868
3	1400.00000	10.34868
3	1600.00000	10.34868
3	1800.00000	10.34868
3	2000.00000	9.66314
3	2200.00000	9.66314
3	2400.00000	9.66314
3	2600.00000	9.66314
3	2800.00000	9.66314
3	3000.00000	9.12061
3	3200.00000	9.12061
3	3400.00000	9.12061
3	3600.00000	9.12061
3	3800.00000	9.12061
3	4000.00000	8.76538
3	4200.00000	8.76538
3	4400.00000	8.76538
3	4600.00000	8.76538
3	4800.00000	8.76538
3	5000.00000	8.83036
3	5200.00000	8.83036
3	5400.00000	8.83036
3	5600.00000	8.83036
3	5800.00000	8.83036
3	6000.00000	8.70285
3	6200.00000	8.70285
3	6400.00000	8.70285
3	6600.00000	8.70285
3	6800.00000	8.70285
3	7000.00000	8.97244
3	7200.00000	8.97244
3	7400.00000	8.97244
3	7600.00000	8.97244
3	7800.00000	8.97244
3	8000.00000	8.88886
3	8200.00000	8.88886
3	8400.00000	8.88886
3	8600.00000	8.88886
3	8800.00000	8.88886
3	9000.00000	8.82635
3	9200.00000	8.82635
3	9400.00000	8.82635
3	9600.00000	8.82635
3	9800.00000	8.82635
3	10000.00000	8.86323
3	10200.00000	8.86323
3	10400.00000	8.86323
3	10600.00000	8.86323
3	10800.00000	8.86323
3	11000.00000	9.22332
3	11200.00000	9.22332
3	11400.00000	9.22332
3	11600.00000	9.22332
3	11800.00000	9.22332
3	12000.00000	9.22908
3	12200.00000	9.22908
3	12400.00000	9.22908
3	12600.00000	9.22908
3	12800.00000	9.22908
3	13000.00000	9.32424
3	13200.00000	9.32424
3	13400.00000	9.32424
3	13600.00000	9.32424
3	13800.00000	9.32424
3	14000.00000	9.76086
3	14200.00000	9.76086
3	14400.00000	9.76086
3	14600.00000	9.76086
3	14800.00000	9.76086
3	15000.00000	9.83229
3	15200.00000	9.83229
3	15400.00000	9.83229
3	15600.00000	9.83229
3	15800.00000	9.69205
3	16000.00000	9.69205
3	16200.00000	9.69205
3	16400.00000	9.69205
3	16600.00000	9.69205
3	16800.00000	9.84645
3	17000.00000	9.84645
3	17200.00000	9.84645
3	17400.00000	9.84645
3	17600.00000	9.84645
3	17800.00000	9.25582
3	18000.00000	9.25582
3	18200.00000	9.25582
3	18400.00000	9.25582
3	18600.00000	9.25582
3	18800.00000	8.98093
3	19000.00000	8.98093
3	19200.00000	8.98093
3	19400.00000	8.98093
3	19600.00000	8.98093
3	19800.00000	9.08297
3	20000.00000	9.08297
4	0.00000	10.02269
4	200.00000	10.02269
4	400.00000	10.02269
4	600.00000	10.02269
4	800.00000	10.02269
4	1000.00000	10.09481
4	1200.00000	10.09481
4	1400.00000	10.09481
4	1600.00000	10.09481
4	1800.00000	10.09481
4	2000.00000	9.18148
4	2200.00000	9.18148
4	2400.00000	9.18148
4	2600.00000	9.18148
4	2800.00000	9.18148
4	3000.00000	8.95625
4	3200.00000	8.95625
4	3400.00000	8.95625
4	3600.00000	8.95625
4	3800.00000	8.95625
4	4000.00000	9.11313
4	4200.00000	9.11313
4	4400.00000	9.11313
4	4600.00000	9.11313
4	4800.00000	9.11313
4	5000.00000	9.13459
4	5200.00000	9.13459
4	5400.00000	9.13459
4	5600.00000	9.13459
4	5800.00000	9.13459
4	6000.00000	9.20603
4	6200.00000	9.20603
4	6400.00000	9.20603
4	6600.00000	9.20603
4	6800.00000	9.20603
4	7000.00000	8.62734
4	7200.00000	8.62734
4	7400.00000	8.62734
4	7600.00000	8.62734
4	7800.00000	8.62734
4	8000.00000	8.96212
4	8200.00000	8.96212
4	8400.00000	8.96212
4	8600.00000	8.96212
4	8800.00000	8.96212
4	9000.00000	8.83689
4	9200.00000	8.83689
4	9400.00000	8.83689
4	9600.00000	8.83689
4	9800.00000	8.83689
4	10000.00000	8.69274
4	10200.00000	8.69274
4	10400.00000	8.69274
4	10600.00000	8.69274
4	10800.00000	8.69274
4	11000.00000	8.91503
4	11200.00000	8.91503
4	11400.00000	8.91503
4	11600.00000	8.91503
4	11800.00000	8.91503
4	12000.00000	9.35290
4	12200.00000	9.35290
4	12400.00000	9.35290
4	12600.00000	9.35290
4	12800.00000	9.35290
4	13000.00000	8.88356
4	13200.00000	8.88356
4	13400.00000	8.88356
4	13600.00000	8.88356
4	13800.00000	8.88356
4	14000.00000	9.42352
4	14200.00000	9.42352
4	14400.00000	9.42352
4	14600.00000	9.42352
4	14800.00000	9.42352
4	15000.00000	9.12594
4	15200.00000	9.12594
4	15400.00000	9.12594
4	15600.00000	9.12594
4	15800.00000	9.29135
4	16000.00000	9.29135
4	16200.00000	9.29135
4	16400.00000	9.29135
4	16600.00000	9.29135
4	16800.00000	9.04504
