draw	time	log_ne
1	0.00000	11.49394
1	200.00000	11.49394
1	400.00000	11.49394
1	600.00000	11.49394
1	800.00000	13.64313
1	1000.00000	13.64313
1	1200.00000	13.64313
1	1400.00000	13.64313
1	1600.00000	11.03850
1	1800.00000	11.03850
1	2000.00000	11.03850
1	2200.00000	11.03850
1	2400.00000	10.90039
1	2600.00000	10.90039
1	2800.00000	10.90039
1	3000.00000	10.90039
1	3200.00000	10.27522
1	3400.00000	10.27522
1	3600.00000	10.27522
1	3800.00000	10.27522
1	4000.00000	11.01528
1	4200.00000	11.01528
1	4400.00000	11.01528
1	4600.00000	11.01528
1	4800.00000	10.80816
1	5000.00000	10.80816
1	5200.00000	10.80816
1	5400.00000	9.98517
1	5600.00000	9.98517
1	5800.00000	9.98517
1	6000.00000	9.98517
1	6200.00000	10.70291
1	6400.00000	10.70291
1	6600.00000	10.70291
1	6800.00000	10.70291
1	7000.00000	9.29140
1	7200.00000	9.29140
1	7400.00000	9.29140
1	7600.00000	9.29140
1	7800.00000	10.58268
1	8000.00000	10.58268
1	8200.00000	10.58268
1	8400.00000	10.58268
1	8600.00000	9.17532
1	8800.00000	9.17532
1	9000.00000	9.17532
1	9200.00000	9.17532
1	9400.00000	11.52383
1	9600.00000	11.52383
1	9800.00000	11.52383
1	10000.00000	10.38556
1	10200.00000	10.38556
1	10400.00000	10.38556
1	10600.00000	10.38556
1	10800.00000	8.84449
1	11000.00000	8.84449
1	11200.00000	8.84449
1	11400.00000	8.84449
1	11600.00000	11.41255
1	11800.00000	11.41255
1	12000.00000	11.41255
1	12200.00000	11.41255
1	12400.00000	11.01604
1	12600.00000	11.01604
1	12800.00000	11.01604
1	13000.00000	11.01604
1	13200.00000	10.30404
1	13400.00000	10.30404
1	13600.00000	10.30404
1	13800.00000	10.30404
1	14000.00000	8.43650
1	14200.00000	8.43650
1	14400.00000	8.43650
1	14600.00000	8.92029
1	14800.00000	8.92029
1	15000.00000	8.92029
1	15200.00000	8.92029
1	15400.00000	7.91425
1	15600.00000	7.91425
1	15800.00000	7.91425
1	16000.00000	7.91425
1	16200.00000	10.02117
1	16400.00000	10.02117
1	16600.00000	10.02117
1	16800.00000	10.02117
1	17000.00000	9.55249
1	17200.00000	9.55249
1	17400.00000	9.55249
1	17600.00000	9.55249
1	17800.00000	8.37303
1	18000.00000	8.37303
1	18200.00000	8.37303
1	18400.00000	8.37303
1	18600.00000	9.00982
1	18800.00000	9.00982
1	19000.00000	9.00982
1	19200.00000	8.36411
1	19400.00000	8.36411
1	19600.00000	8.36411
1	19800.00000	8.36411
1	20000.00000	9.25132
2	0.00000	11.59671
2	200.00000	11.59671
2	400.00000	11.59671
2	600.00000	11.59671
2	800.00000	13.28121
2	1000.00000	13.28121
2	1200.00000	13.28121
2	1400.00000	13.28121
2	1600.00000	10.93953
2	1800.00000	10.93953
2	2000.00000	10.93953
2	2200.00000	10.93953
2	2400.00000	11.12163
2	2600.00000	11.12163
2	2800.00000	11.12163
2	3000.00000	11.12163
2	3200.00000	10.53540
2	3400.00000	10.53540
2	3600.00000	10.53540
2	3800.00000	10.53540
2	4000.00000	11.39759
2	4200.00000	11.39759
2	4400.00000	11.39759
2	4600.00000	11.39759
2	4800.00000	10.77288
2	5000.00000	10.77288
2	5200.00000	10.77288
2	5400.00000	9.89365
2	5600.00000	9.89365
2	5800.00000	9.89365
2	6000.00000	9.89365
2	6200.00000	10.62748
2	6400.00000	10.62748
2	6600.00000	10.62748
2	6800.00000	10.62748
2	7000.00000	9.23352
2	7200.00000	9.23352
2	7400.00000	9.23352
2	7600.00000	9.23352
2	7800.00000	11.33018
2	8000.00000	11.33018
2	8200.00000	11.33018
2	8400.00000	11.33018
2	8600.00000	8.88103
2	8800.00000	8.88103
2	9000.00000	8.88103
2	9200.00000	8.88103
2	9400.00000	10.40406
2	9600.00000	10.40406
2	9800.00000	10.40406
2	10000.00000	10.39670
2	10200.00000	10.39670
2	10400.00000	10.39670
2	10600.00000	10.39670
2	10800.00000	9.08402
2	11000.00000	9.08402
2	11200.00000	9.08402
2	11400.00000	9.08402
2	11600.00000	10.70664
2	11800.00000	10.70664
2	12000.00000	10.70664
2	12200.00000	10.70664
2	12400.00000	10.49720
2	12600.00000	10.49720
2	12800.00000	10.49720
2	13000.00000	10.49720
2	13200.00000	10.22103
2	13400.00000	10.22103
2	13600.00000	10.22103
2	13800.00000	10.22103
2	14000.00000	8.26453
2	14200.00000	8.26453
2	14400.00000	8.26453
2	14600.00000	9.61493
2	14800.00000	9.61493
2	15000.00000	9.61493
2	15200.00000	9.61493
2	15400.00000	8.22820
2	15600.00000	8.22820
2	15800.00000	8.22820
2	16000.00000	8.22820
2	16200.00000	9.20382
2	16400.00000	9.20382
2	16600.00000	9.20382
2	16800.00000	9.20382
2	17000.00000	10.39185
2	17200.00000	10.39185
2	17400.00000	10.39185
2	17600.00000	10.39185
2	17800.00000	8.32375
2	18000.00000	8.32375
2	18200.00000	8.32375
2	18400.00000	8.32375
2	18600.00000	8.98434
2	18800.00000	8.98434
2	19000.00000	8.98434
2	19200.00000	9.78830
2	19400.00000	9.78830
2	19600.00000	9.78830
2	19800.00000	9.78830
2	20000.00000	9.78886
3	0.00000	11.39016
3	200.00000	11.39016
3	400.00000	11.39016
3	600.00000	11.39016
3	800.00000	13.65767
3	1000.00000	13.65767
3	1200.00000	13.65767
3	1400.00000	13.65767
3	1600.00000	10.85826
3	1800.00000	10.85826
3	2000.00000	10.85826
3	2200.00000	10.85826
3	2400.00000	11.40235
3	2600.00000	11.40235
3	2800.00000	11.40235
3	3000.00000	11.40235
3	3200.00000	10.26729
3	3400.00000	10.26729
3	3600.00000	10.26729
3	3800.00000	10.26729
3	4000.00000	11.16576
3	4200.00000	11.16576
3	4400.00000	11.16576
3	4600.00000	11.16576
3	4800.00000	10.92234
3	5000.00000	10.92234
3	5200.00000	10.92234
3	5400.00000	9.88483
3	5600.00000	9.88483
3	5800.00000	9.88483
3	6000.00000	9.88483
3	6200.00000	10.58176
3	6400.00000	10.58176
3	6600.00000	10.58176
3	6800.00000	10.58176
3	7000.00000	9.27364
3	7200.00000	9.27364
3	7400.00000	9.27364
3	7600.00000	9.27364
3	7800.00000	10.23171
3	8000.00000	10.23171
3	8200.00000	10.23171
3	8400.00000	10.23171
3	8600.00000	9.01789
3	8800.00000	9.01789
3	9000.00000	9.01789
3	9200.00000	9.01789
3	9400.00000	10.92227
3	9600.00000	10.92227
3	9800.00000	10.92227
3	10000.00000	9.92639
3	10200.00000	9.92639
3	10400.00000	9.92639
3	10600.00000	9.92639
3	10800.00000	8.52617
3	11000.00000	8.52617
3	11200.00000	8.52617
3	11400.00000	8.52617
3	11600.00000	11.88447
3	11800.00000	11.88447
3	12000.00000	11.88447
3	12200.00000	11.88447
