Category	Group	Time Window	Window Start (Years)	Feature	Median
Central Segment	Corridor Segment	0-500 Years	0	Mean Log Effective Population Size	10.38101
Central Segment	Corridor Segment	0-500 Years	0	Net Change in Log Effective Population Size	0.00903
Central Segment	Corridor Segment	0-500 Years	0	Mean Rate of Change	2e-5
Central Segment	Corridor Segment	0-500 Years	0	Fluctuation Amplitude	0.01632
Central Segment	Corridor Segment	0-500 Years	0	Time of Maximum Expansion	400
Central Segment	Corridor Segment	0-500 Years	0	Maximum Expansion Rate	0.13222
Central Segment	Corridor Segment	0-500 Years	0	Time of Maximum Contraction	0
Central Segment	Corridor Segment	0-500 Years	0	Maximum Contraction Rate	-0.07006
North China	Northern Lowland	0-500 Years	0	Mean Log Effective Population Size	11.6791
North China	Northern Lowland	0-500 Years	0	Net Change in Log Effective Population Size	0.03618
North China	Northern Lowland	0-500 Years	0	Mean Rate of Change	9e-5
North China	Northern Lowland	0-500 Years	0	Fluctuation Amplitude	0.0822
North China	Northern Lowland	0-500 Years	0	Time of Maximum Expansion	400
North China	Northern Lowland	0-500 Years	0	Maximum Expansion Rate	0.1155
North China	Northern Lowland	0-500 Years	0	Time of Maximum Contraction	0
North China	Northern Lowland	0-500 Years	0	Maximum Contraction Rate	0.0671
Northern Segment	Corridor Segment	0-500 Years	0	Mean Log Effective Population Size	10.88684
Northern Segment	Corridor Segment	0-500 Years	0	Net Change in Log Effective Population Size	-0.28733
Northern Segment	Corridor Segment	0-500 Years	0	Mean Rate of Change	-7.2e-4
Northern Segment	Corridor Segment	0-500 Years	0	Fluctuation Amplitude	0.28733
Northern Segment	Corridor Segment	0-500 Years	0	Time of Maximum Expansion	400
Northern Segment	Corridor Segment	0-500 Years	0	Maximum Expansion Rate	-0.64129
Northern Segment	Corridor Segment	0-500 Years	0	Time of Maximum Contraction	0
Northern Segment	Corridor Segment	0-500 Years	0	Maximum Contraction Rate	-0.81355
Panxi and Liangshan	Sichuan Region	0-500 Years	0	Mean Log Effective Population Size	9.64145
Panxi and Liangshan	Sichuan Region	0-500 Years	0	Net Change in Log Effective Population Size	-0.05293
Panxi and Liangshan	Sichuan Region	0-500 Years	0	Mean Rate of Change	-1.3e-4
Panxi and Liangshan	Sichuan Region	0-500 Years	0	Fluctuation Amplitude	0.05314
Panxi and Liangshan	Sichuan Region	0-500 Years	0	Time of Maximum Expansion	400
Panxi and Liangshan	Sichuan Region	0-500 Years	0	Maximum Expansion Rate	-0.07151
Panxi and Liangshan	Sichuan Region	0-500 Years	0	Time of Maximum Contraction	0
Panxi and Liangshan	Sichuan Region	0-500 Years	0	Maximum Contraction Rate	-0.19382
Qinghai-Tibet Plateau Core	Highland	0-500 Years	0	Mean Log Effective Population Size	9.90223
Qinghai-Tibet Plateau Core	Highland	0-500 Years	0	Net Change in Log Effective Population Size	-0.18829
Qinghai-Tibet Plateau Core	Highland	0-500 Years	0	Mean Rate of Change	-4.7e-4
Qinghai-Tibet Plateau Core	Highland	0-500 Years	0	Fluctuation Amplitude	0.18829
Qinghai-Tibet Plateau Core	Highland	0-500 Years	0	Time of Maximum Expansion	400
Qinghai-Tibet Plateau Core	Highland	0-500 Years	0	Maximum Expansion Rate	-0.38554
Qinghai-Tibet Plateau Core	Highland	0-500 Years	0	Time of Maximum Contraction	0
Qinghai-Tibet Plateau Core	Highland	0-500 Years	0	Maximum Contraction Rate	-0.57618
Sichuan Basin	Sichuan Region	0-500 Years	0	Mean Log Effective Population Size	11.59203
Sichuan Basin	Sichuan Region	0-500 Years	0	Net Change in Log Effective Population Size	-1.46166
Sichuan Basin	Sichuan Region	0-500 Years	0	Mean Rate of Change	-0.00365
Sichuan Basin	Sichuan Region	0-500 Years	0	Fluctuation Amplitude	1.46166
Sichuan Basin	Sichuan Region	0-500 Years	0	Time of Maximum Expansion	400
Sichuan Basin	Sichuan Region	0-500 Years	0	Maximum Expansion Rate	-2.74486
Sichuan Basin	Sichuan Region	0-500 Years	0	Time of Maximum Contraction	0
Sichuan Basin	Sichuan Region	0-500 Years	0	Maximum Contraction Rate	-4.51342
Southern Segment	Corridor Segment	0-500 Years	0	Mean Log Effective Population Size	10.58911
Southern Segment	Corridor Segment	0-500 Years	0	Net Change in Log Effective Population Size	-0.98445
Southern Segment	Corridor Segment	0-500 Years	0	Mean Rate of Change	-0.00246
Southern Segment	Corridor Segment	0-500 Years	0	Fluctuation Amplitude	0.98445
Southern Segment	Corridor Segment	0-500 Years	0	Time of Maximum Expansion	400
Southern Segment	Corridor Segment	0-500 Years	0	Maximum Expansion Rate	-1.85125
Southern Segment	Corridor Segment	0-500 Years	0	Time of Maximum Contraction	0
Southern Segment	Corridor Segment	0-500 Years	0	Maximum Contraction Rate	-3.02367
Western Highland	Highland	0-500 Years	0	Mean Log Effective Population Size	9.75938
Western Highland	Highland	0-500 Years	0	Net Change in Log Effective Population Size	-0.17009
Western Highland	Highland	0-500 Years	0	Mean Rate of Change	-4.3e-4
Western Highland	Highland	0-500 Years	0	Fluctuation Amplitude	0.17009
Western Highland	Highland	0-500 Years	0	Time of Maximum Expansion	400
Western Highland	Highland	0-500 Years	0	Maximum Expansion Rate	-0.33988
Western Highland	Highland	0-500 Years	0	Time of Maximum Contraction	0
Western Highland	Highland	0-500 Years	0	Maximum Contraction Rate	-0.52023
Central Segment	Corridor Segment	500-1000 Years	500	Mean Log Effective Population Size	10.25836
Central Segment	Corridor Segment	500-1000 Years	500	Net Change in Log Effective Population Size	0.13688
Central Segment	Corridor Segment	500-1000 Years	500	Mean Rate of Change	3.4e-4
Central Segment	Corridor Segment	500-1000 Years	500	Fluctuation Amplitude	0.13688
Central Segment	Corridor Segment	500-1000 Years	500	Time of Maximum Expansion	1000
Central Segment	Corridor Segment	500-1000 Years	500	Maximum Expansion Rate	0.37938
Central Segment	Corridor Segment	500-1000 Years	500	Time of Maximum Contraction	600
Central Segment	Corridor Segment	500-1000 Years	500	Maximum Contraction Rate	0.22411
North China	Northern Lowland	500-1000 Years	500	Mean Log Effective Population Size	11.63438
North China	Northern Lowland	500-1000 Years	500	Net Change in Log Effective Population Size	0.05225
North China	Northern Lowland	500-1000 Years	500	Mean Rate of Change	1.3e-4
North China	Northern Lowland	500-1000 Years	500	Fluctuation Amplitude	0.0699
North China	Northern Lowland	500-1000 Years	500	Time of Maximum Expansion	1000
North China	Northern Lowland	500-1000 Years	500	Maximum Expansion Rate	0.17179
North China	Northern Lowland	500-1000 Years	500	Time of Maximum Contraction	600
North China	Northern Lowland	500-1000 Years	500	Maximum Contraction Rate	0.09867
Northern Segment	Corridor Segment	500-1000 Years	500	Mean Log Effective Population Size	11.24358
Northern Segment	Corridor Segment	500-1000 Years	500	Net Change in Log Effective Population Size	-0.17972
Northern Segment	Corridor Segment	500-1000 Years	500	Mean Rate of Change	-4.5e-4
Northern Segment	Corridor Segment	500-1000 Years	500	Fluctuation Amplitude	0.17972
Northern Segment	Corridor Segment	500-1000 Years	500	Time of Maximum Expansion	1000
Northern Segment	Corridor Segment	500-1000 Years	500	Maximum Expansion Rate	-0.29454
Northern Segment	Corridor Segment	500-1000 Years	500	Time of Maximum Contraction	600
Northern Segment	Corridor Segment	500-1000 Years	500	Maximum Contraction Rate	-0.53107
Panxi and Liangshan	Sichuan Region	500-1000 Years	500	Mean Log Effective Population Size	9.66206
Panxi and Liangshan	Sichuan Region	500-1000 Years	500	Net Change in Log Effective Population Size	0.02236
Panxi and Liangshan	Sichuan Region	500-1000 Years	500	Mean Rate of Change	6e-5
Panxi and Liangshan	Sichuan Region	500-1000 Years	500	Fluctuation Amplitude	0.02245
Panxi and Liangshan	Sichuan Region	500-1000 Years	500	Time of Maximum Expansion	1000
Panxi and Liangshan	Sichuan Region	500-1000 Years	500	Maximum Expansion Rate	0.12003
Panxi and Liangshan	Sichuan Region	500-1000 Years	500	Time of Maximum Contraction	600
Panxi and Liangshan	Sichuan Region	500-1000 Years	500	Maximum Contraction Rate	-0.00975
Qinghai-Tibet Plateau Core	Highland	500-1000 Years	500	Mean Log Effective Population Size	10.10348
Qinghai-Tibet Plateau Core	Highland	500-1000 Years	500	Net Change in Log Effective Population Size	-0.07749
Qinghai-Tibet Plateau Core	Highland	500-1000 Years	500	Mean Rate of Change	-1.9e-4
Qinghai-Tibet Plateau Core	Highland	500-1000 Years	500	Fluctuation Amplitude	0.07749
Qinghai-Tibet Plateau Core	Highland	500-1000 Years	500	Time of Maximum Expansion	1000
Qinghai-Tibet Plateau Core	Highland	500-1000 Years	500	Maximum Expansion Rate	-0.05513
Qinghai-Tibet Plateau Core	Highland	500-1000 Years	500	Time of Maximum Contraction	600
Qinghai-Tibet Plateau Core	Highland	500-1000 Years	500	Maximum Contraction Rate	-0.27625
Sichuan Basin	Sichuan Region	500-1000 Years	500	Mean Log Effective Population Size	12.96824
Sichuan Basin	Sichuan Region	500-1000 Years	500	Net Change in Log Effective Population Size	-0.37729
Sichuan Basin	Sichuan Region	500-1000 Years	500	Mean Rate of Change	-9.4e-4
Sichuan Basin	Sichuan Region	500-1000 Years	500	Fluctuation Amplitude	0.37729
Sichuan Basin	Sichuan Region	500-1000 Years	500	Time of Maximum Expansion	1000
Sichuan Basin	Sichuan Region	500-1000 Years	500	Maximum Expansion Rate	-0.22567
Sichuan Basin	Sichuan Region	500-1000 Years	500	Time of Maximum Contraction	600
Sichuan Basin	Sichuan Region	500-1000 Years	500	Maximum Contraction Rate	-1.86748
Southern Segment	Corridor Segment	500-1000 Years	500	Mean Log Effective Population Size	11.50469
Southern Segment	Corridor Segment	500-1000 Years	500	Net Change in Log Effective Population Size	-0.2591
Southern Segment	Corridor Segment	500-1000 Years	500	Mean Rate of Change	-6.5e-4
Southern Segment	Corridor Segment	500-1000 Years	500	Fluctuation Amplitude	0.2591
Southern Segment	Corridor Segment	500-1000 Years	500	Time of Maximum Expansion	1000
Southern Segment	Corridor Segment	500-1000 Years	500	Maximum Expansion Rate	-0.21266
Southern Segment	Corridor Segment	500-1000 Years	500	Time of Maximum Contraction	600
Southern Segment	Corridor Segment	500-1000 Years	500	Maximum Contraction Rate	-1.28049
Western Highland	Highland	500-1000 Years	500	Mean Log Effective Population Size	9.93854
Western Highland	Highland	500-1000 Years	500	Net Change in Log Effective Population Size	-0.0581
Western Highland	Highland	500-1000 Years	500	Mean Rate of Change	-1.5e-4
Western Highland	Highland	500-1000 Years	500	Fluctuation Amplitude	0.06253
Western Highland	Highland	500-1000 Years	500	Time of Maximum Expansion	1000
Western Highland	Highland	500-1000 Years	500	Maximum Expansion Rate	-0.00101
Western Highland	Highland	500-1000 Years	500	Time of Maximum Contraction	600
Western Highland	Highland	500-1000 Years	500	Maximum Contraction Rate	-0.2306
Central Segment	Corridor Segment	1000-1500 Years	1000	Mean Log Effective Population Size	10.08833
Central Segment	Corridor Segment	1000-1500 Years	1000	Net Change in Log Effective Population Size	0.23103
Central Segment	Corridor Segment	1000-1500 Years	1000	Mean Rate of Change	5.8e-4
Central Segment	Corridor Segment	1000-1500 Years	1000	Fluctuation Amplitude	0.23103
Central Segment	Corridor Segment	1000-1500 Years	1000	Time of Maximum Expansion	1400
Central Segment	Corridor Segment	1000-1500 Years	1000	Maximum Expansion Rate	0.49543
Central Segment	Corridor Segment	1000-1500 Years	1000	Time of Maximum Contraction	1000
Central Segment	Corridor Segment	1000-1500 Years	1000	Maximum Contraction Rate	0.37938
North China	Northern Lowland	1000-1500 Years	1000	Mean Log Effective Population Size	11.56134
North China	Northern Lowland	1000-1500 Years	1000	Net Change in Log Effective Population Size	0.07229
North China	Northern Lowland	1000-1500 Years	1000	Mean Rate of Change	1.8e-4
North China	Northern Lowland	1000-1500 Years	1000	Fluctuation Amplitude	0.08006
North China	Northern Lowland	1000-1500 Years	1000	Time of Maximum Expansion	1400
North China	Northern Lowland	1000-1500 Years	1000	Maximum Expansion Rate	0.21922
North China	Northern Lowland	1000-1500 Years	1000	Time of Maximum Contraction	1000
