Category	Group	Score Component	Time Window	Window Start (Years)	Score
Central Segment	Corridor Segment	Change Component	0-500 Years	0	0.79129
Central Segment	Corridor Segment	Change Component	500-1000 Years	500	1.36942
Central Segment	Corridor Segment	Change Component	1000-1500 Years	1000	0.89789
Central Segment	Corridor Segment	Change Component	1500-2000 Years	1500	-0.65871
Central Segment	Corridor Segment	Change Component	2000-2500 Years	2000	-0.58524
Central Segment	Corridor Segment	Change Component	2500-3000 Years	2500	-1.33364
Central Segment	Corridor Segment	Change Component	3000-3500 Years	3000	-1.06789
Central Segment	Corridor Segment	Change Component	3500-4000 Years	3500	-0.01468
Central Segment	Corridor Segment	Change Component	4000-4500 Years	4000	0.52347
Central Segment	Corridor Segment	Change Component	4500-5000 Years	4500	0.46571
Central Segment	Corridor Segment	Change Component	5000-5500 Years	5000	0.14244
Central Segment	Corridor Segment	Change Component	5500-6000 Years	5500	1.01452
Central Segment	Corridor Segment	Change Component	6000-6500 Years	6000	1.72529
Central Segment	Corridor Segment	Change Component	6500-7000 Years	6500	-0.43405
Central Segment	Corridor Segment	Change Component	7000-7500 Years	7000	-0.49429
Central Segment	Corridor Segment	Change Component	7500-8000 Years	7500	0.28582
Central Segment	Corridor Segment	Change Component	8000-8500 Years	8000	-0.25225
Central Segment	Corridor Segment	Change Component	8500-9000 Years	8500	1.09868
Central Segment	Corridor Segment	Change Component	9000-9500 Years	9000	0.66313
Central Segment	Corridor Segment	Change Component	9500-10000 Years	9500	0.16598
Central Segment	Corridor Segment	Change Component	10000-10500 Years	10000	-0.11552
Central Segment	Corridor Segment	Change Component	10500-11000 Years	10500	0.62527
Central Segment	Corridor Segment	Change Component	11000-11500 Years	11000	0.70022
Central Segment	Corridor Segment	Change Component	11500-12000 Years	11500	0.71415
Central Segment	Corridor Segment	Change Component	12000-12500 Years	12000	0.54198
Central Segment	Corridor Segment	Change Component	12500-13000 Years	12500	0.35794
Central Segment	Corridor Segment	Change Component	13000-13500 Years	13000	0.06128
Central Segment	Corridor Segment	Change Component	13500-14000 Years	13500	-0.57617
Central Segment	Corridor Segment	Change Component	14000-14500 Years	14000	-0.84889
Central Segment	Corridor Segment	Change Component	14500-15000 Years	14500	-0.73946
Central Segment	Corridor Segment	Change Component	15000-15500 Years	15000	-0.8409
Central Segment	Corridor Segment	Change Component	15500-16000 Years	15500	-1.21053
Central Segment	Corridor Segment	Change Component	16000-16500 Years	16000	-1.06682
Central Segment	Corridor Segment	Change Component	16500-17000 Years	16500	-0.9315
Central Segment	Corridor Segment	Change Component	17000-17500 Years	17000	-0.99786
Central Segment	Corridor Segment	Change Component	17500-18000 Years	17500	-0.75703
Central Segment	Corridor Segment	Change Component	18000-18500 Years	18000	-0.38262
