Category	Group	Cluster	Component 1	Component 2	Time Window
Central Segment	Corridor Segment	Cluster 1	-1.78177	0.18036	0-500 Years
North China	Northern Lowland	Cluster 1	-1.39911	1.89959	0-500 Years
Northern Segment	Corridor Segment	Cluster 1	-0.32031	0.53205	0-500 Years
Panxi and Liangshan	Sichuan Region	Cluster 1	-1.74558	-0.85784	0-500 Years
Qinghai-Tibet Plateau Core	Highland	Cluster 1	-1.06441	-0.6571	0-500 Years
Sichuan Basin	Sichuan Region	Cluster 2	4.93772	0.28141	0-500 Years
Southern Segment	Corridor Segment	Cluster 2	2.56567	-0.55358	0-500 Years
Western Highland	Highland	Cluster 1	-1.19221	-0.82489	0-500 Years
Central Segment	Corridor Segment	Cluster 1	2.65314	1.22679	500-1000 Years
North China	Northern Lowland	Cluster 1	1.51727	0.9891	500-1000 Years
Northern Segment	Corridor Segment	Cluster 2	-1.21968	-0.68605	500-1000 Years
Panxi and Liangshan	Sichuan Region	Cluster 1	2.04367	-0.56021	500-1000 Years
Qinghai-Tibet Plateau Core	Highland	Cluster 1	0.67557	-0.82519	500-1000 Years
Sichuan Basin	Sichuan Region	Cluster 2	-4.32564	0.81187	500-1000 Years
Southern Segment	Corridor Segment	Cluster 2	-2.35941	-0.17563	500-1000 Years
Western Highland	Highland	Cluster 1	1.01508	-0.78068	500-1000 Years
Central Segment	Corridor Segment	Cluster 1	0.85994	2.37898	1000-1500 Years
North China	Northern Lowland	Cluster 1	-0.54426	0.15995	1000-1500 Years
Northern Segment	Corridor Segment	Cluster 1	-1.69896	-2.19205	1000-1500 Years
Panxi and Liangshan	Sichuan Region	Cluster 1	-1.21463	1.06986	1000-1500 Years
Qinghai-Tibet Plateau Core	Highland	Cluster 1	-1.73423	-0.22705	1000-1500 Years
Sichuan Basin	Sichuan Region	Cluster 2	4.1487	-0.86423	1000-1500 Years
Southern Segment	Corridor Segment	Cluster 2	1.83119	-0.49671	1000-1500 Years
Western Highland	Highland	Cluster 1	-1.64775	0.17125	1000-1500 Years
Central Segment	Corridor Segment	Cluster 1	-1.17909	-1.85607	1500-2000 Years
North China	Northern Lowland	Cluster 1	-1.93588	1.14214	1500-2000 Years
Northern Segment	Corridor Segment	Cluster 1	-0.75053	1.61663	1500-2000 Years
Panxi and Liangshan	Sichuan Region	Cluster 1	-1.19884	-1.97756	1500-2000 Years
Qinghai-Tibet Plateau Core	Highland	Cluster 1	-0.67624	1.1074	1500-2000 Years
Sichuan Basin	Sichuan Region	Cluster 2	5.76382	0.22435	1500-2000 Years
Southern Segment	Corridor Segment	Cluster 1	0.71974	-1.27842	1500-2000 Years
Western Highland	Highland	Cluster 1	-0.743	1.02153	1500-2000 Years
Central Segment	Corridor Segment	Cluster 3	-1.40917	-1.71576	2000-2500 Years
North China	Northern Lowland	Cluster 1	1.05935	1.06552	2000-2500 Years
Northern Segment	Corridor Segment	Cluster 1	2.03478	1.12948	2000-2500 Years
Panxi and Liangshan	Sichuan Region	Cluster 3	-0.8092	-2.1372	2000-2500 Years
Qinghai-Tibet Plateau Core	Highland	Cluster 1	1.81099	-0.31792	2000-2500 Years
Sichuan Basin	Sichuan Region	Cluster 2	-0.69653	0.55168	2000-2500 Years
Southern Segment	Corridor Segment	Cluster 4	-4.37847	1.48012	2000-2500 Years
Western Highland	Highland	Cluster 1	2.38826	-0.05592	2000-2500 Years
Central Segment	Corridor Segment	Cluster 3	-3.15997	-0.69105	2500-3000 Years
North China	Northern Lowland	Cluster 2	2.06229	-0.63739	2500-3000 Years
Northern Segment	Corridor Segment	Cluster 1	0.4847	1.33545	2500-3000 Years
Panxi and Liangshan	Sichuan Region	Cluster 3	-3.95539	-1.26032	2500-3000 Years
Qinghai-Tibet Plateau Core	Highland	Cluster 1	-0.67	1.48982	2500-3000 Years
Sichuan Basin	Sichuan Region	Cluster 2	3.19833	-0.63577	2500-3000 Years
Southern Segment	Corridor Segment	Cluster 2	2.03678	-1.70704	2500-3000 Years
Western Highland	Highland	Cluster 1	0.00326	2.1063	2500-3000 Years
Central Segment	Corridor Segment	Cluster 1	-2.3962	0.10229	3000-3500 Years
North China	Northern Lowland	Cluster 3	2.23264	-3.14833	3000-3500 Years
Northern Segment	Corridor Segment	Cluster 1	-0.02889	0.41943	3000-3500 Years
Panxi and Liangshan	Sichuan Region	Cluster 1	-3.33565	-1.00699	3000-3500 Years
Qinghai-Tibet Plateau Core	Highland	Cluster 1	-1.1932	0.64186	3000-3500 Years
Sichuan Basin	Sichuan Region	Cluster 2	1.77345	1.23398	3000-3500 Years
Southern Segment	Corridor Segment	Cluster 2	3.71107	0.85966	3000-3500 Years
Western Highland	Highland	Cluster 1	-0.76322	0.8981	3000-3500 Years
Central Segment	Corridor Segment	Cluster 4	-0.28563	2.36843	3500-4000 Years
North China	Northern Lowland	Cluster 3	4.01601	-1.33898	3500-4000 Years
Northern Segment	Corridor Segment	Cluster 1	0.88523	-0.39352	3500-4000 Years
Panxi and Liangshan	Sichuan Region	Cluster 4	-0.99237	2.35535	3500-4000 Years
Qinghai-Tibet Plateau Core	Highland	Cluster 1	0.39498	0.20847	3500-4000 Years
Sichuan Basin	Sichuan Region	Cluster 2	-3.29231	-2.10564	3500-4000 Years
Southern Segment	Corridor Segment	Cluster 2	-1.15614	-1.38401	3500-4000 Years
Western Highland	Highland	Cluster 1	0.43024	0.28989	3500-4000 Years
Central Segment	Corridor Segment	Cluster 1	1.02693	-0.74604	4000-4500 Years
North China	Northern Lowland	Cluster 3	3.29495	3.21909	4000-4500 Years
Northern Segment	Corridor Segment	Cluster 1	0.72508	-0.69173	4000-4500 Years
Panxi and Liangshan	Sichuan Region	Cluster 1	1.23421	-0.82041	4000-4500 Years
Qinghai-Tibet Plateau Core	Highland	Cluster 1	0.35658	-1.34435	4000-4500 Years
Sichuan Basin	Sichuan Region	Cluster 2	-3.18105	0.53924	4000-4500 Years
Southern Segment	Corridor Segment	Cluster 2	-3.95556	1.35912	4000-4500 Years
Western Highland	Highland	Cluster 1	0.49885	-1.5149	4000-4500 Years
Central Segment	Corridor Segment	Cluster 1	1.03493	-0.70433	4500-5000 Years
North China	Northern Lowland	Cluster 3	-4.29888	2.51067	4500-5000 Years
Northern Segment	Corridor Segment	Cluster 1	-0.12713	-0.64173	4500-5000 Years
Panxi and Liangshan	Sichuan Region	Cluster 1	0.6573	-0.17123	4500-5000 Years
Qinghai-Tibet Plateau Core	Highland	Cluster 1	-1.47738	-1.45717	4500-5000 Years
