from	to	value	link	Time Window
Central Segment	North China	0.884	Between groups	0-500 Years
Central Segment	Northern Segment	0.998	Corridor Segment	0-500 Years
Central Segment	Panxi and Liangshan	0.998	Between groups	0-500 Years
Central Segment	Qinghai-Tibet Plateau Core	1	Between groups	0-500 Years
Central Segment	Western Highland	1	Between groups	0-500 Years
North China	Northern Segment	0.882	Between groups	0-500 Years
North China	Panxi and Liangshan	0.882	Between groups	0-500 Years
North China	Qinghai-Tibet Plateau Core	0.884	Between groups	0-500 Years
North China	Western Highland	0.884	Between groups	0-500 Years
Northern Segment	Panxi and Liangshan	0.996	Between groups	0-500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.998	Between groups	0-500 Years
Northern Segment	Western Highland	0.998	Between groups	0-500 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.998	Between groups	0-500 Years
Panxi and Liangshan	Western Highland	0.998	Between groups	0-500 Years
Qinghai-Tibet Plateau Core	Western Highland	1	Highland	0-500 Years
Sichuan Basin	Southern Segment	0.766	Between groups	0-500 Years
Central Segment	North China	0.76	Between groups	500-1000 Years
Central Segment	Northern Segment	0.686	Corridor Segment	500-1000 Years
Central Segment	Panxi and Liangshan	0.944	Between groups	500-1000 Years
Central Segment	Qinghai-Tibet Plateau Core	0.92	Between groups	500-1000 Years
Central Segment	Southern Segment	0.546	Corridor Segment	500-1000 Years
Central Segment	Western Highland	0.946	Between groups	500-1000 Years
North China	Northern Segment	0.522	Between groups	500-1000 Years
North China	Panxi and Liangshan	0.74	Between groups	500-1000 Years
North China	Qinghai-Tibet Plateau Core	0.736	Between groups	500-1000 Years
North China	Western Highland	0.75	Between groups	500-1000 Years
Northern Segment	Panxi and Liangshan	0.674	Between groups	500-1000 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.766	Between groups	500-1000 Years
Northern Segment	Sichuan Basin	0.546	Between groups	500-1000 Years
Northern Segment	Southern Segment	0.832	Corridor Segment	500-1000 Years
Northern Segment	Western Highland	0.736	Between groups	500-1000 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.908	Between groups	500-1000 Years
Panxi and Liangshan	Southern Segment	0.534	Between groups	500-1000 Years
Panxi and Liangshan	Western Highland	0.934	Between groups	500-1000 Years
Qinghai-Tibet Plateau Core	Southern Segment	0.626	Between groups	500-1000 Years
Qinghai-Tibet Plateau Core	Western Highland	0.938	Highland	500-1000 Years
Sichuan Basin	Southern Segment	0.698	Between groups	500-1000 Years
Southern Segment	Western Highland	0.596	Between groups	500-1000 Years
Central Segment	North China	0.552	Between groups	1000-1500 Years
Central Segment	Northern Segment	0.776	Corridor Segment	1000-1500 Years
Central Segment	Panxi and Liangshan	0.792	Between groups	1000-1500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.802	Between groups	1000-1500 Years
Central Segment	Southern Segment	0.676	Corridor Segment	1000-1500 Years
Central Segment	Western Highland	0.8	Between groups	1000-1500 Years
North China	Northern Segment	0.72	Between groups	1000-1500 Years
North China	Panxi and Liangshan	0.684	Between groups	1000-1500 Years
North China	Qinghai-Tibet Plateau Core	0.742	Between groups	1000-1500 Years
North China	Western Highland	0.74	Between groups	1000-1500 Years
Northern Segment	Panxi and Liangshan	0.916	Between groups	1000-1500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.974	Between groups	1000-1500 Years
Northern Segment	Southern Segment	0.564	Corridor Segment	1000-1500 Years
Northern Segment	Western Highland	0.972	Between groups	1000-1500 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.942	Between groups	1000-1500 Years
Panxi and Liangshan	Southern Segment	0.58	Between groups	1000-1500 Years
Panxi and Liangshan	Western Highland	0.94	Between groups	1000-1500 Years
Qinghai-Tibet Plateau Core	Southern Segment	0.59	Between groups	1000-1500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.998	Highland	1000-1500 Years
Sichuan Basin	Southern Segment	0.752	Between groups	1000-1500 Years
Southern Segment	Western Highland	0.588	Between groups	1000-1500 Years
Central Segment	North China	0.992	Between groups	1500-2000 Years
Central Segment	Northern Segment	0.992	Corridor Segment	1500-2000 Years
Central Segment	Panxi and Liangshan	0.99	Between groups	1500-2000 Years
Central Segment	Qinghai-Tibet Plateau Core	0.992	Between groups	1500-2000 Years
Central Segment	Southern Segment	0.868	Corridor Segment	1500-2000 Years
Central Segment	Western Highland	0.986	Between groups	1500-2000 Years
North China	Northern Segment	0.984	Between groups	1500-2000 Years
North China	Panxi and Liangshan	0.982	Between groups	1500-2000 Years
North China	Qinghai-Tibet Plateau Core	0.984	Between groups	1500-2000 Years
North China	Southern Segment	0.86	Between groups	1500-2000 Years
North China	Western Highland	0.978	Between groups	1500-2000 Years
Northern Segment	Panxi and Liangshan	0.982	Between groups	1500-2000 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.996	Between groups	1500-2000 Years
Northern Segment	Southern Segment	0.872	Corridor Segment	1500-2000 Years
Northern Segment	Western Highland	0.99	Between groups	1500-2000 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.982	Between groups	1500-2000 Years
Panxi and Liangshan	Southern Segment	0.878	Between groups	1500-2000 Years
Panxi and Liangshan	Western Highland	0.976	Between groups	1500-2000 Years
Qinghai-Tibet Plateau Core	Southern Segment	0.868	Between groups	1500-2000 Years
Qinghai-Tibet Plateau Core	Western Highland	0.99	Highland	1500-2000 Years
Southern Segment	Western Highland	0.87	Between groups	1500-2000 Years
Central Segment	Panxi and Liangshan	0.808	Between groups	2000-2500 Years
North China	Northern Segment	0.626	Between groups	2000-2500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.574	Between groups	2000-2500 Years
