Category	Group	Window Type	Time Window	Window Start (Years)	Window End (Years)	Feature	Median	Lower 95% HPD	Upper 95% HPD	Directional Posterior Probability	Probability Statement	Reliable Window Coverage	Usable	At Window Boundary
Central Segment	Corridor Segment	Time Period	0-500 Years	0	500	Mean Log Effective Population Size	10.38101	10.05581	10.84782			1.000	Yes	
Central Segment	Corridor Segment	Time Period	0-500 Years	0	500	Net Change in Log Effective Population Size	0.00903	-0.00162	0.02097	0.945	Net increase over the window	1.000	Yes	
Central Segment	Corridor Segment	Time Period	0-500 Years	0	500	Mean Rate of Change	0.00002	-0.00000	0.00005	0.945	Positive mean rate of change	1.000	Yes	
Central Segment	Corridor Segment	Time Period	0-500 Years	0	500	Fluctuation Amplitude	0.01632	0.00188	0.03098			1.000	Yes	
Central Segment	Corridor Segment	Time Period	0-500 Years	0	500	Time of Maximum Expansion	400.00000	400.00000	400.00000	0.975	An expansion occurs within the window	1.000	Yes	Yes
Central Segment	Corridor Segment	Time Period	0-500 Years	0	500	Maximum Expansion Rate	0.13222	-0.00812	0.23629	0.975	An expansion occurs within the window	1.000	Yes	
Central Segment	Corridor Segment	Time Period	0-500 Years	0	500	Time of Maximum Contraction	0.00000	0.00000	0.00000	0.995	A contraction occurs within the window	1.000	Yes	Yes
Central Segment	Corridor Segment	Time Period	0-500 Years	0	500	Maximum Contraction Rate	-0.07006	-0.12459	-0.01260	0.995	A contraction occurs within the window	1.000	Yes	
North China	Northern Lowland	Time Period	0-500 Years	0	500	Mean Log Effective Population Size	11.67910	11.35706	12.00244			1.000	Yes	
North China	Northern Lowland	Time Period	0-500 Years	0	500	Net Change in Log Effective Population Size	0.03618	-0.20913	0.29904	0.595	Net increase over the window	1.000	Yes	
North China	Northern Lowland	Time Period	0-500 Years	0	500	Mean Rate of Change	0.00009	-0.00052	0.00075	0.595	Positive mean rate of change	1.000	Yes	
North China	Northern Lowland	Time Period	0-500 Years	0	500	Fluctuation Amplitude	0.08220	0.00400	0.29328			1.000	Yes	
North China	Northern Lowland	Time Period	0-500 Years	0	500	Time of Maximum Expansion	400.00000	0.00000	400.00000	0.615	An expansion occurs within the window	1.000	Yes	Yes
North China	Northern Lowland	Time Period	0-500 Years	0	500	Maximum Expansion Rate	0.11550	-0.45433	0.82365	0.615	An expansion occurs within the window	1.000	Yes	
North China	Northern Lowland	Time Period	0-500 Years	0	500	Time of Maximum Contraction	0.00000	0.00000	400.00000	0.415	A contraction occurs within the window	1.000	Yes	Yes
North China	Northern Lowland	Time Period	0-500 Years	0	500	Maximum Contraction Rate	0.06710	-0.60496	0.69496	0.415	A contraction occurs within the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Mean Log Effective Population Size	10.88684	10.73551	11.05376			1.000	Yes	
Northern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Net Change in Log Effective Population Size	-0.28733	-0.49021	-0.09075	0.005	Net increase over the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Mean Rate of Change	-0.00072	-0.00123	-0.00023	0.005	Positive mean rate of change	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Fluctuation Amplitude	0.28733	0.09075	0.49021			1.000	Yes	
Northern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Time of Maximum Expansion	400.00000	400.00000	400.00000	0.005	An expansion occurs within the window	1.000	Yes	Yes
Northern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Maximum Expansion Rate	-0.64129	-1.08051	-0.18600	0.005	An expansion occurs within the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Time of Maximum Contraction	0.00000	0.00000	0.00000	0.995	A contraction occurs within the window	1.000	Yes	Yes
Northern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Maximum Contraction Rate	-0.81355	-1.43872	-0.31648	0.995	A contraction occurs within the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	0-500 Years	0	500	Mean Log Effective Population Size	9.64145	9.29414	9.99091			1.000	Yes	
