Quantity	Window Type	Time Window	Window Start (Years)	Category	Second Category	Group	Cluster	Component	Score Component	Value	Reliable Window Coverage	Usable
Cluster Membership	Time Period	0-500 Years	0	Central Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	0-500 Years	0	North China		Northern Lowland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	0-500 Years	0	Northern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	0-500 Years	0	Panxi and Liangshan		Sichuan Region	Cluster 1				1.000	Yes
Cluster Membership	Time Period	0-500 Years	0	Qinghai-Tibet Plateau Core		Highland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	0-500 Years	0	Sichuan Basin		Sichuan Region	Cluster 2				1.000	Yes
Cluster Membership	Time Period	0-500 Years	0	Southern Segment		Corridor Segment	Cluster 2				1.000	Yes
Cluster Membership	Time Period	0-500 Years	0	Western Highland		Highland	Cluster 1				1.000	Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Central Segment	North China	Corridor Segment				0.8840		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Central Segment	Northern Segment	Corridor Segment				0.9980		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Central Segment	Panxi and Liangshan	Corridor Segment				0.9980		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Central Segment	Qinghai-Tibet Plateau Core	Corridor Segment				1.0000		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Central Segment	Sichuan Basin	Corridor Segment				0.1180		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Central Segment	Southern Segment	Corridor Segment				0.3520		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Central Segment	Western Highland	Corridor Segment				1.0000		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	North China	Northern Segment	Northern Lowland				0.8820		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	North China	Panxi and Liangshan	Northern Lowland				0.8820		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	North China	Qinghai-Tibet Plateau Core	Northern Lowland				0.8840		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	North China	Sichuan Basin	Northern Lowland				0.0020		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	North China	Southern Segment	Northern Lowland				0.2360		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	North China	Western Highland	Northern Lowland				0.8840		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Northern Segment	Panxi and Liangshan	Corridor Segment				0.9960		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Northern Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.9980		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Northern Segment	Sichuan Basin	Corridor Segment				0.1200		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Northern Segment	Southern Segment	Corridor Segment				0.3540		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Northern Segment	Western Highland	Corridor Segment				0.9980		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Panxi and Liangshan	Qinghai-Tibet Plateau Core	Sichuan Region				0.9980		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Panxi and Liangshan	Sichuan Basin	Sichuan Region				0.1160		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Panxi and Liangshan	Southern Segment	Sichuan Region				0.3500		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Panxi and Liangshan	Western Highland	Sichuan Region				0.9980		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Qinghai-Tibet Plateau Core	Sichuan Basin	Highland				0.1180		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Qinghai-Tibet Plateau Core	Southern Segment	Highland				0.3520		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Qinghai-Tibet Plateau Core	Western Highland	Highland				1.0000		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Sichuan Basin	Southern Segment	Sichuan Region				0.7660		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Sichuan Basin	Western Highland	Sichuan Region				0.1180		Yes
Co-clustering Frequency	Time Period	0-500 Years	0	Southern Segment	Western Highland	Corridor Segment				0.3520		Yes
Scatter Coordinate	Time Period	0-500 Years	0	Central Segment		Corridor Segment	Cluster 1	Component 1		-1.78177	1.000	Yes
Scatter Coordinate	Time Period	0-500 Years	0	Central Segment		Corridor Segment	Cluster 1	Component 2		0.18036	1.000	Yes
Scatter Coordinate	Time Period	0-500 Years	0	North China		Northern Lowland	Cluster 1	Component 1		-1.39911	1.000	Yes
Scatter Coordinate	Time Period	0-500 Years	0	North China		Northern Lowland	Cluster 1	Component 2		1.89959	1.000	Yes
Scatter Coordinate	Time Period	0-500 Years	0	Northern Segment		Corridor Segment	Cluster 1	Component 1		-0.32031	1.000	Yes
Scatter Coordinate	Time Period	0-500 Years	0	Northern Segment		Corridor Segment	Cluster 1	Component 2		0.53205	1.000	Yes
Scatter Coordinate	Time Period	0-500 Years	0	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 1		-1.74558	1.000	Yes
Scatter Coordinate	Time Period	0-500 Years	0	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 2		-0.85784	1.000	Yes
Scatter Coordinate	Time Period	0-500 Years	0	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 1		-1.06441	1.000	Yes
Scatter Coordinate	Time Period	0-500 Years	0	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 2		-0.65710	1.000	Yes
Scatter Coordinate	Time Period	0-500 Years	0	Sichuan Basin		Sichuan Region	Cluster 2	Component 1		4.93772	1.000	Yes
Scatter Coordinate	Time Period	0-500 Years	0	Sichuan Basin		Sichuan Region	Cluster 2	Component 2		0.28141	1.000	Yes
Scatter Coordinate	Time Period	0-500 Years	0	Southern Segment		Corridor Segment	Cluster 2	Component 1		2.56567	1.000	Yes
Scatter Coordinate	Time Period	0-500 Years	0	Southern Segment		Corridor Segment	Cluster 2	Component 2		-0.55358	1.000	Yes
Scatter Coordinate	Time Period	0-500 Years	0	Western Highland		Highland	Cluster 1	Component 1		-1.19221	1.000	Yes
Scatter Coordinate	Time Period	0-500 Years	0	Western Highland		Highland	Cluster 1	Component 2		-0.82489	1.000	Yes
Explained Variance	Time Period	0-500 Years	0					Component 1		0.87083		
Explained Variance	Time Period	0-500 Years	0					Component 2		0.12829		
Node Size	Time Period	0-500 Years	0	Central Segment		Corridor Segment	Cluster 1			10.38101		Yes
Node Size	Time Period	0-500 Years	0	North China		Northern Lowland	Cluster 1			11.67910		Yes
Node Size	Time Period	0-500 Years	0	Northern Segment		Corridor Segment	Cluster 1			10.88684		Yes
Node Size	Time Period	0-500 Years	0	Panxi and Liangshan		Sichuan Region	Cluster 1			9.64145		Yes
Node Size	Time Period	0-500 Years	0	Qinghai-Tibet Plateau Core		Highland	Cluster 1			9.90223		Yes
Node Size	Time Period	0-500 Years	0	Sichuan Basin		Sichuan Region	Cluster 2			11.59203		Yes
Node Size	Time Period	0-500 Years	0	Southern Segment		Corridor Segment	Cluster 2			10.58911		Yes
Node Size	Time Period	0-500 Years	0	Western Highland		Highland	Cluster 1			9.75938		Yes
Cluster Membership	Time Period	500-1000 Years	500	Central Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	500-1000 Years	500	North China		Northern Lowland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	500-1000 Years	500	Northern Segment		Corridor Segment	Cluster 2				1.000	Yes
Cluster Membership	Time Period	500-1000 Years	500	Panxi and Liangshan		Sichuan Region	Cluster 1				1.000	Yes
Cluster Membership	Time Period	500-1000 Years	500	Qinghai-Tibet Plateau Core		Highland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	500-1000 Years	500	Sichuan Basin		Sichuan Region	Cluster 2				1.000	Yes
Cluster Membership	Time Period	500-1000 Years	500	Southern Segment		Corridor Segment	Cluster 2				1.000	Yes
Cluster Membership	Time Period	500-1000 Years	500	Western Highland		Highland	Cluster 1				1.000	Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Central Segment	North China	Corridor Segment				0.7600		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Central Segment	Northern Segment	Corridor Segment				0.6860		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Central Segment	Panxi and Liangshan	Corridor Segment				0.9440		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Central Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.9200		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Central Segment	Sichuan Basin	Corridor Segment				0.2440		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Central Segment	Southern Segment	Corridor Segment				0.5460		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Central Segment	Western Highland	Corridor Segment				0.9460		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	North China	Northern Segment	Northern Lowland				0.5220		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	North China	Panxi and Liangshan	Northern Lowland				0.7400		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	North China	Qinghai-Tibet Plateau Core	Northern Lowland				0.7360		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	North China	Sichuan Basin	Northern Lowland				0.0760		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	North China	Southern Segment	Northern Lowland				0.3780		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	North China	Western Highland	Northern Lowland				0.7500		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Northern Segment	Panxi and Liangshan	Corridor Segment				0.6740		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Northern Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.7660		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Northern Segment	Sichuan Basin	Corridor Segment				0.5460		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Northern Segment	Southern Segment	Corridor Segment				0.8320		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Northern Segment	Western Highland	Corridor Segment				0.7360		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	Sichuan Region				0.9080		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Panxi and Liangshan	Sichuan Basin	Sichuan Region				0.2320		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Panxi and Liangshan	Southern Segment	Sichuan Region				0.5340		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Panxi and Liangshan	Western Highland	Sichuan Region				0.9340		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Qinghai-Tibet Plateau Core	Sichuan Basin	Highland				0.3240		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Qinghai-Tibet Plateau Core	Southern Segment	Highland				0.6260		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Qinghai-Tibet Plateau Core	Western Highland	Highland				0.9380		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Sichuan Basin	Southern Segment	Sichuan Region				0.6980		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Sichuan Basin	Western Highland	Sichuan Region				0.2940		Yes
Co-clustering Frequency	Time Period	500-1000 Years	500	Southern Segment	Western Highland	Corridor Segment				0.5960		Yes
Scatter Coordinate	Time Period	500-1000 Years	500	Central Segment		Corridor Segment	Cluster 1	Component 1		2.65314	1.000	Yes
Scatter Coordinate	Time Period	500-1000 Years	500	Central Segment		Corridor Segment	Cluster 1	Component 2		1.22679	1.000	Yes
Scatter Coordinate	Time Period	500-1000 Years	500	North China		Northern Lowland	Cluster 1	Component 1		1.51727	1.000	Yes
Scatter Coordinate	Time Period	500-1000 Years	500	North China		Northern Lowland	Cluster 1	Component 2		0.98910	1.000	Yes
Scatter Coordinate	Time Period	500-1000 Years	500	Northern Segment		Corridor Segment	Cluster 2	Component 1		-1.21968	1.000	Yes
Scatter Coordinate	Time Period	500-1000 Years	500	Northern Segment		Corridor Segment	Cluster 2	Component 2		-0.68605	1.000	Yes
Scatter Coordinate	Time Period	500-1000 Years	500	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 1		2.04367	1.000	Yes
Scatter Coordinate	Time Period	500-1000 Years	500	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 2		-0.56021	1.000	Yes
Scatter Coordinate	Time Period	500-1000 Years	500	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 1		0.67557	1.000	Yes
Scatter Coordinate	Time Period	500-1000 Years	500	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 2		-0.82519	1.000	Yes
Scatter Coordinate	Time Period	500-1000 Years	500	Sichuan Basin		Sichuan Region	Cluster 2	Component 1		-4.32564	1.000	Yes
Scatter Coordinate	Time Period	500-1000 Years	500	Sichuan Basin		Sichuan Region	Cluster 2	Component 2		0.81187	1.000	Yes
Scatter Coordinate	Time Period	500-1000 Years	500	Southern Segment		Corridor Segment	Cluster 2	Component 1		-2.35941	1.000	Yes
Scatter Coordinate	Time Period	500-1000 Years	500	Southern Segment		Corridor Segment	Cluster 2	Component 2		-0.17563	1.000	Yes
Scatter Coordinate	Time Period	500-1000 Years	500	Western Highland		Highland	Cluster 1	Component 1		1.01508	1.000	Yes
Scatter Coordinate	Time Period	500-1000 Years	500	Western Highland		Highland	Cluster 1	Component 2		-0.78068	1.000	Yes
Explained Variance	Time Period	500-1000 Years	500					Component 1		0.84938		
Explained Variance	Time Period	500-1000 Years	500					Component 2		0.10934		
Node Size	Time Period	500-1000 Years	500	Central Segment		Corridor Segment	Cluster 1			10.25836		Yes
Node Size	Time Period	500-1000 Years	500	North China		Northern Lowland	Cluster 1			11.63438		Yes
Node Size	Time Period	500-1000 Years	500	Northern Segment		Corridor Segment	Cluster 2			11.24358		Yes
Node Size	Time Period	500-1000 Years	500	Panxi and Liangshan		Sichuan Region	Cluster 1			9.66206		Yes
Node Size	Time Period	500-1000 Years	500	Qinghai-Tibet Plateau Core		Highland	Cluster 1			10.10348		Yes
Node Size	Time Period	500-1000 Years	500	Sichuan Basin		Sichuan Region	Cluster 2			12.96824		Yes
Node Size	Time Period	500-1000 Years	500	Southern Segment		Corridor Segment	Cluster 2			11.50469		Yes
Node Size	Time Period	500-1000 Years	500	Western Highland		Highland	Cluster 1			9.93854		Yes
Cluster Membership	Time Period	1000-1500 Years	1000	Central Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1000-1500 Years	1000	North China		Northern Lowland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1000-1500 Years	1000	Northern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1000-1500 Years	1000	Panxi and Liangshan		Sichuan Region	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1000-1500 Years	1000	Qinghai-Tibet Plateau Core		Highland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	1000-1500 Years	1000	Sichuan Basin		Sichuan Region	Cluster 2				1.000	Yes
Cluster Membership	Time Period	1000-1500 Years	1000	Southern Segment		Corridor Segment	Cluster 2				1.000	Yes
Cluster Membership	Time Period	1000-1500 Years	1000	Western Highland		Highland	Cluster 1				1.000	Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Central Segment	North China	Corridor Segment				0.5520		Yes
Co-clustering Frequency	Time Period	1000-1500 Years	1000	Central Segment	Northern Segment	Corridor Segment				0.7760		Yes
