Grouping	Group	Order	Colour	Outline
Corridor_and_key_regions	Corridor_Periphery	1	#456FB1	#263D61
Corridor_and_key_regions	South_China	2	#4198B6	#245464
Corridor_and_key_regions	Others	3	#65BFA6	#38695B
Corridor_and_key_regions	Northwest_China	4	#AADDA9	#5E7A5D
Corridor_and_key_regions	Zang_Yi_Corridor_Core	5	#FCD789	#8B764B
Corridor_and_key_regions	North_China	6	#F58751	#874A2D
Corridor_and_key_regions	QTP_Core	7	#CE3A49	#712028
Corridor_and_key_regions	MSEA	8	#A20643	#590325
Corridor_NCS	Others	1	#456FB1	#263D61
Corridor_NCS	Southern	2	#74C7A5	#406D5B
Corridor_NCS	Northern	3	#FAA25E	#8A5934
Corridor_NCS	Central	4	#A20643	#590325
Sichuan_geographic_regions	Non_Sichuan	1	#456FB1	#263D61
Sichuan_geographic_regions	Sichuan_Basin	2	#74C7A5	#406D5B
Sichuan_geographic_regions	Panxi_Liangshan	3	#FAA25E	#8A5934
Sichuan_geographic_regions	West_Sichuan_Highland	4	#A20643	#590325
Elevation_group	Low	1	#456FB1	#263D61
Elevation_group	Middle	2	#F9FCB7	#898B65
Elevation_group	High	3	#A20643	#590325
Language	Sinitic	1	#456FB1	#263D61
Language	Tibeto_Burman	2	#3A84B8	#204965
Language	Indo_European	3	#4198B6	#245464
Language	Tai_Kadai	4	#53ACAE	#2E5F60
Language	Niger_Congo	5	#65BFA6	#38695B
Language	Tungusic	6	#7CCAA4	#446F5A
Language	Hmong_Mien	7	#AADDA9	#5E7A5D
Language	Mongolic	8	#F9FCB7	#898B65
Language	Austroasiatic	9	#FCD789	#8B764B
Language	Dravidian	10	#FBB067	#8A6139
Language	Other	11	#F58751	#874A2D
Language	Uto_Aztecan	12	#E86049	#803528
Language	Japonic	13	#CE3A49	#712028
Language	Afroasiatic	14	#B51B47	#640F27
Language	Bantu	15	#A20643	#590325
