Sample	Grouping	Group
HGDP01269	Corridor_and_key_regions	Others
HGDP01269	Corridor_NCS	Others
HGDP01269	Sichuan_geographic_regions	Non_Sichuan
HGDP01269	Elevation_group	Low
HGDP01269	Language	Afroasiatic
HGDP01260	Corridor_and_key_regions	Others
HGDP01260	Corridor_NCS	Others
HGDP01260	Sichuan_geographic_regions	Non_Sichuan
HGDP01260	Elevation_group	Low
HGDP01260	Language	Afroasiatic
HGDP01255	Corridor_and_key_regions	Others
HGDP01255	Corridor_NCS	Others
HGDP01255	Sichuan_geographic_regions	Non_Sichuan
HGDP01255	Elevation_group	Low
HGDP01255	Language	Afroasiatic
HGDP01256	Corridor_and_key_regions	Others
HGDP01256	Corridor_NCS	Others
HGDP01256	Sichuan_geographic_regions	Non_Sichuan
HGDP01256	Elevation_group	Low
HGDP01256	Language	Afroasiatic
HGDP01257	Corridor_and_key_regions	Others
HGDP01257	Corridor_NCS	Others
HGDP01257	Sichuan_geographic_regions	Non_Sichuan
HGDP01257	Elevation_group	Low
HGDP01257	Language	Afroasiatic
HGDP01264	Corridor_and_key_regions	Others
HGDP01264	Corridor_NCS	Others
HGDP01264	Sichuan_geographic_regions	Non_Sichuan
HGDP01264	Elevation_group	Low
HGDP01264	Language	Afroasiatic
HGDP01266	Corridor_and_key_regions	Others
HGDP01266	Corridor_NCS	Others
HGDP01266	Sichuan_geographic_regions	Non_Sichuan
HGDP01266	Elevation_group	Low
HGDP01266	Language	Afroasiatic
HGDP01272	Corridor_and_key_regions	Others
HGDP01272	Corridor_NCS	Others
HGDP01272	Sichuan_geographic_regions	Non_Sichuan
HGDP01272	Elevation_group	Low
HGDP01272	Language	Afroasiatic
HGDP01262	Corridor_and_key_regions	Others
HGDP01262	Corridor_NCS	Others
HGDP01262	Sichuan_geographic_regions	Non_Sichuan
HGDP01262	Elevation_group	Low
HGDP01262	Language	Afroasiatic
HGDP01265	Corridor_and_key_regions	Others
HGDP01265	Corridor_NCS	Others
HGDP01265	Sichuan_geographic_regions	Non_Sichuan
HGDP01265	Elevation_group	Low
HGDP01265	Language	Afroasiatic
HGDP01258	Corridor_and_key_regions	Others
HGDP01258	Corridor_NCS	Others
HGDP01258	Sichuan_geographic_regions	Non_Sichuan
HGDP01258	Elevation_group	Low
HGDP01258	Language	Afroasiatic
HGDP01259	Corridor_and_key_regions	Others
HGDP01259	Corridor_NCS	Others
HGDP01259	Sichuan_geographic_regions	Non_Sichuan
HGDP01259	Elevation_group	Low
HGDP01259	Language	Afroasiatic
HGDP01279	Corridor_and_key_regions	Others
HGDP01279	Corridor_NCS	Others
HGDP01279	Sichuan_geographic_regions	Non_Sichuan
HGDP01279	Elevation_group	Low
HGDP01279	Language	Afroasiatic
HGDP01282	Corridor_and_key_regions	Others
HGDP01282	Corridor_NCS	Others
HGDP01282	Sichuan_geographic_regions	Non_Sichuan
HGDP01282	Elevation_group	Low
HGDP01282	Language	Afroasiatic
HGDP01263	Corridor_and_key_regions	Others
HGDP01263	Corridor_NCS	Others
HGDP01263	Sichuan_geographic_regions	Non_Sichuan
HGDP01263	Elevation_group	Low
HGDP01263	Language	Afroasiatic
HGDP01268	Corridor_and_key_regions	Others
HGDP01268	Corridor_NCS	Others
HGDP01268	Sichuan_geographic_regions	Non_Sichuan
HGDP01268	Elevation_group	Low
HGDP01268	Language	Afroasiatic
HGDP01271	Corridor_and_key_regions	Others
HGDP01271	Corridor_NCS	Others
HGDP01271	Sichuan_geographic_regions	Non_Sichuan
HGDP01271	Elevation_group	Low
HGDP01271	Language	Afroasiatic
HGDP01261	Corridor_and_key_regions	Others
HGDP01261	Corridor_NCS	Others
HGDP01261	Sichuan_geographic_regions	Non_Sichuan
HGDP01261	Elevation_group	Low
HGDP01261	Language	Afroasiatic
HG04155	Corridor_and_key_regions	Others
HG04155	Corridor_NCS	Others
HG04155	Sichuan_geographic_regions	Non_Sichuan
HG04155	Elevation_group	Low
HG04155	Language	Indo_European
HG04157	Corridor_and_key_regions	Others
HG04157	Corridor_NCS	Others
HG04157	Sichuan_geographic_regions	Non_Sichuan
HG04157	Elevation_group	Low
HG04157	Language	Indo_European
HG03593	Corridor_and_key_regions	Others
HG03593	Corridor_NCS	Others
HG03593	Sichuan_geographic_regions	Non_Sichuan
HG03593	Elevation_group	Low
HG03593	Language	Indo_European
HG03917	Corridor_and_key_regions	Others
HG03917	Corridor_NCS	Others
HG03917	Sichuan_geographic_regions	Non_Sichuan
HG03917	Elevation_group	Low
HG03917	Language	Indo_European
HG03824	Corridor_and_key_regions	Others
HG03824	Corridor_NCS	Others
HG03824	Sichuan_geographic_regions	Non_Sichuan
HG03824	Elevation_group	Low
HG03824	Language	Indo_European
HG03929	Corridor_and_key_regions	Others
HG03929	Corridor_NCS	Others
HG03929	Sichuan_geographic_regions	Non_Sichuan
HG03929	Elevation_group	Low
HG03929	Language	Indo_European
HG04164	Corridor_and_key_regions	Others
HG04164	Corridor_NCS	Others
HG04164	Sichuan_geographic_regions	Non_Sichuan
HG04164	Elevation_group	Low
HG04164	Language	Indo_European
HG04193	Corridor_and_key_regions	Others
HG04193	Corridor_NCS	Others
HG04193	Sichuan_geographic_regions	Non_Sichuan
HG04193	Elevation_group	Low
HG04193	Language	Indo_European
HG04191	Corridor_and_key_regions	Others
HG04191	Corridor_NCS	Others
HG04191	Sichuan_geographic_regions	Non_Sichuan
HG04191	Elevation_group	Low
HG04191	Language	Indo_European
HG04185	Corridor_and_key_regions	Others
HG04185	Corridor_NCS	Others
HG04185	Sichuan_geographic_regions	Non_Sichuan
HG04185	Elevation_group	Low
HG04185	Language	Indo_European
HG04187	Corridor_and_key_regions	Others
HG04187	Corridor_NCS	Others
HG04187	Sichuan_geographic_regions	Non_Sichuan
HG04187	Elevation_group	Low
HG04187	Language	Indo_European
HG03815	Corridor_and_key_regions	Others
HG03815	Corridor_NCS	Others
HG03815	Sichuan_geographic_regions	Non_Sichuan
HG03815	Elevation_group	Low
HG03815	Language	Indo_European
HG03009	Corridor_and_key_regions	Others
HG03009	Corridor_NCS	Others
HG03009	Sichuan_geographic_regions	Non_Sichuan
HG03009	Elevation_group	Low
HG03009	Language	Indo_European
HG03600	Corridor_and_key_regions	Others
HG03600	Corridor_NCS	Others
HG03600	Sichuan_geographic_regions	Non_Sichuan
HG03600	Elevation_group	Low
HG03600	Language	Indo_European
HG03941	Corridor_and_key_regions	Others
HG03941	Corridor_NCS	Others
HG03941	Sichuan_geographic_regions	Non_Sichuan
HG03941	Elevation_group	Low
HG03941	Language	Indo_European
HG03942	Corridor_and_key_regions	Others
HG03942	Corridor_NCS	Others
HG03942	Sichuan_geographic_regions	Non_Sichuan
HG03942	Elevation_group	Low
HG03942	Language	Indo_European
HG04161	Corridor_and_key_regions	Others
HG04161	Corridor_NCS	Others
HG04161	Sichuan_geographic_regions	Non_Sichuan
HG04161	Elevation_group	Low
HG04161	Language	Indo_European
HG03800	Corridor_and_key_regions	Others
HG03800	Corridor_NCS	Others
HG03800	Sichuan_geographic_regions	Non_Sichuan
HG03800	Elevation_group	Low
HG03800	Language	Indo_European
HG04176	Corridor_and_key_regions	Others
