ID	Haplogroup	Class	Label
HGDP01269	E1b1a1a1a2a1a3b	Mozabite_Algeria	Oversea
HGDP01260	E1b1a1a1a2a1a3b	Mozabite_Algeria	Oversea
HGDP01255	E1b1b1b1a1	Mozabite_Algeria	Oversea
HGDP01256	E1b1b1b1a1b	Mozabite_Algeria	Oversea
HGDP01257	E1b1b1b1a1b	Mozabite_Algeria	Oversea
HGDP01264	E1b1b1b1a1b	Mozabite_Algeria	Oversea
HGDP01266	E1b1b1b1a1b	Mozabite_Algeria	Oversea
HGDP01272	E1b1b1b1a1b	Mozabite_Algeria	Oversea
HGDP01262	E1b1b1b1a1b	Mozabite_Algeria	Oversea
HGDP01265	E1b1b1b1a1b	Mozabite_Algeria	Oversea
HGDP01258	E1b1b1b1a1b	Mozabite_Algeria	Oversea
HGDP01259	E1b1b1b1a1b	Mozabite_Algeria	Oversea
HGDP01279	E1b1b1b1a1b	Mozabite_Algeria	Oversea
HGDP01282	E1b1b1b1a1b	Mozabite_Algeria	Oversea
HGDP01263	E1b1b1b1a1b	Mozabite_Algeria	Oversea
HGDP01268	E1b1b1b1a1f3b	Mozabite_Algeria	Oversea
HGDP01271	R1b1b2a2a1	Mozabite_Algeria	Oversea
HGDP01261	R1b1b2a2a2	Mozabite_Algeria	Oversea
111-1838-9734	C2b1a2b2	Hui_Anhui	East China
111-1804-8327	C2b1b1	Hui_Anhui	East China
111-1272-3558	N1a2a1a2	Hui_Anhui	East China
111-1827-1251	O1a1a1a1a2a1	Hui_Anhui	East China
111-1444-8909	O1a1a1b1a1	Hui_Anhui	East China
111-1774-9911	O1b1a1a1a1b1a1a1a2b1	Hui_Anhui	East China
111-1666-3317	O1b1a2b1a	Hui_Anhui	East China
111-1505-9845	O2a1b1a1a1a1a1a1a2a	Hui_Anhui	East China
111-1327-8804	O2a1b1a1a1a1e1a1b	Hui_Anhui	East China
111-1193-5655	O2a1b1a2a1a3a1b1a1	Hui_Anhui	East China
111-1463-9079	O2a1b1a2b2b1	Hui_Anhui	East China
111-1357-6467	O2a1b2	Hui_Anhui	East China
111-1694-0449	O2a2a1a1a1b1a	Hui_Anhui	East China
Y2396	O2a2a1a2a1a1	Han_Anhui	East China
111-1726-3738	O2a2a1a2a1a1	Han_Anhui	East China
111-1698-6928	O2a2a1a2a1a1a2a1a	Han_Anhui	East China
111-1729-3544	O2a2a1a2a1a1a2a1a	Han_Anhui	East China
111-1832-6708	O2a2a1a2a1b1a1	Han_Anhui	East China
111-1242-5636	O2a2a1a2a3a	Han_Anhui	East China
111-1775-2690	O2a2a1a2a3a	Han_Anhui	East China
111-1249-9750	O2a2b1a2a1a1a1a1a	Hui_Anhui	East China
Y5873	O2b2	Hui_Anhui	East China
111-1668-3414	Q1a1a1	Hui_Anhui	East China
111-1797-4368	Q1a1a1a1	Hui_Anhui	East China
HG04155	C1b1a1a2a1a	Bengali_Bangladesh	Oversea
HG04157	C1b1a1a2a1a	Bengali_Bangladesh	Oversea
HG03593	C1b1a1a2a1b	Bengali_Bangladesh	Oversea
HG03917	C2b1a2a1b	Bengali_Bangladesh	Oversea
HG03824	H1a1a1c	Bengali_Bangladesh	Oversea
HG03929	H1a1a4a	Bengali_Bangladesh	Oversea
HG04164	H1a1a4a1	Bengali_Bangladesh	Oversea
HG04193	H1a1a4b	Bengali_Bangladesh	Oversea
HG04191	H1a1a4b	Bengali_Bangladesh	Oversea
HG04185	H1a1a4b2a1	Bengali_Bangladesh	Oversea
HG04187	H1a1a4b2a1	Bengali_Bangladesh	Oversea
HG03815	H1a1a4b2a2	Bengali_Bangladesh	Oversea
HG03009	H1a1a4b2c1a1a2	Bengali_Bangladesh	Oversea
HG03600	H1a1a4b2c1a2	Bengali_Bangladesh	Oversea
HG03941	H1a1a4b2c2	Bengali_Bangladesh	Oversea
HG03942	H1a1a4b2c2	Bengali_Bangladesh	Oversea
HG04161	H1a1a4b3b1a1	Bengali_Bangladesh	Oversea
HG03800	H1a1a4b3b1a5	Bengali_Bangladesh	Oversea
HG04176	H1a1a4b3b1b	Bengali_Bangladesh	Oversea
HG04146	H1a1a4b3b1c	Bengali_Bangladesh	Oversea
HG03812	H1a1b1b1	Bengali_Bangladesh	Oversea
HG04188	H1a1b2	Bengali_Bangladesh	Oversea
HG03594	H1a2b1a2	Bengali_Bangladesh	Oversea
HG03596	H1a2b1a2	Bengali_Bangladesh	Oversea
HG03809	H1a2b1b1	Bengali_Bangladesh	Oversea
HG04149	H1a2b1b2	Bengali_Bangladesh	Oversea
HG03615	J2a1a1b1	Bengali_Bangladesh	Oversea
HG03905	J2a1a1b1a1a	Bengali_Bangladesh	Oversea
