Population	Population Order	Group Label	Sample Size	Level	Level Depth	Haplogroup	Major Haplogroup	Resolution	Category Order	Count	Frequency
Finnish Finland	1	Oversea	38	Level 1	1	I	I	Resolved	1000	10	26.315789
Finnish Finland	1	Oversea	38	Level 1	1	J	J	Resolved	1238	1	2.631579
Finnish Finland	1	Oversea	38	Level 1	1	N	N	Resolved	1504	23	60.526316
Finnish Finland	1	Oversea	38	Level 1	1	R	R	Resolved	2673	4	10.526316
Han Chongqing	2	Southwest China	25	Level 1	1	F	F	Resolved	715	4	16
Han Chongqing	2	Southwest China	25	Level 1	1	N	N	Resolved	1504	17	68
Han Chongqing	2	Southwest China	25	Level 1	1	O	O	Resolved	1616	4	16
Hani Yunnan	3	Southwest China	241	Level 1	1	C	C	Resolved	42	9	3.73444
Hani Yunnan	3	Southwest China	241	Level 1	1	D	D	Resolved	272	2	0.829876
Hani Yunnan	3	Southwest China	241	Level 1	1	F	F	Resolved	715	26	10.788382
Hani Yunnan	3	Southwest China	241	Level 1	1	N	N	Resolved	1504	122	50.622407
Hani Yunnan	3	Southwest China	241	Level 1	1	O	O	Resolved	1616	24	9.958506
Hani Yunnan	3	Southwest China	241	Level 1	1	Q	Q	Resolved	2478	58	24.06639
Lahu Yunnan	4	Southwest China	31	Level 1	1	F	F	Resolved	715	17	54.83871
Lahu Yunnan	4	Southwest China	31	Level 1	1	O	O	Resolved	1616	14	45.16129
Yi Yunnan	5	Southwest China	174	Level 1	1	C	C	Resolved	42	7	4.022989
Yi Yunnan	5	Southwest China	174	Level 1	1	D	D	Resolved	272	8	4.597701
Yi Yunnan	5	Southwest China	174	Level 1	1	F	F	Resolved	715	61	35.057471
Yi Yunnan	5	Southwest China	174	Level 1	1	N	N	Resolved	1504	11	6.321839
Yi Yunnan	5	Southwest China	174	Level 1	1	O	O	Resolved	1616	86	49.425287
Yi Yunnan	5	Southwest China	174	Level 1	1	R	R	Resolved	2673	1	0.574713
Japanese Japan	6	Oversea	76	Level 1	1	C	C	Resolved	42	9	11.842105
Japanese Japan	6	Oversea	76	Level 1	1	D	D	Resolved	272	26	34.210526
Japanese Japan	6	Oversea	76	Level 1	1	O	O	Resolved	1616	41	53.947368
Yao Yunnan	7	Southwest China	20	Level 1	1	C	C	Resolved	42	1	5
Yao Yunnan	7	Southwest China	20	Level 1	1	O	O	Resolved	1616	19	95
Sui Guizhou	8	Southwest China	35	Level 1	1	O	O	Resolved	1616	35	100
Li Hainan	9	South China	42	Level 1	1	N	N	Resolved	1504	1	2.380952
Li Hainan	9	South China	42	Level 1	1	O	O	Resolved	1616	41	97.619048
Yao Guangxi	10	South China	20	Level 1	1	C	C	Resolved	42	2	10
Yao Guangxi	10	South China	20	Level 1	1	D	D	Resolved	272	1	5
Yao Guangxi	10	South China	20	Level 1	1	N	N	Resolved	1504	1	5
Yao Guangxi	10	South China	20	Level 1	1	O	O	Resolved	1616	16	80
Zhuang Guangxi	11	South China	243	Level 1	1	C	C	Resolved	42	8	3.292181
Zhuang Guangxi	11	South China	243	Level 1	1	D	D	Resolved	272	5	2.057613
Zhuang Guangxi	11	South China	243	Level 1	1	F	F	Resolved	715	1	0.41152300000000003
Zhuang Guangxi	11	South China	243	Level 1	1	N	N	Resolved	1504	7	2.880658
Zhuang Guangxi	11	South China	243	Level 1	1	O	O	Resolved	1616	222	91.358025
Dai Yunnan	12	Southwest China	77	Level 1	1	C	C	Resolved	42	2	2.597403
Dai Yunnan	12	Southwest China	77	Level 1	1	F	F	Resolved	715	2	2.597403
Dai Yunnan	12	Southwest China	77	Level 1	1	O	O	Resolved	1616	72	93.506494
Dai Yunnan	12	Southwest China	77	Level 1	1	Q	Q	Resolved	2478	1	1.298701
Blang Yunnan	13	Southwest China	41	Level 1	1	C	C	Resolved	42	12	29.268293
Blang Yunnan	13	Southwest China	41	Level 1	1	F	F	Resolved	715	1	2.439024
Blang Yunnan	13	Southwest China	41	Level 1	1	N	N	Resolved	1504	2	4.878049
Blang Yunnan	13	Southwest China	41	Level 1	1	O	O	Resolved	1616	24	58.536585
Blang Yunnan	13	Southwest China	41	Level 1	1	Q	Q	Resolved	2478	2	4.878049
Hui Gansu	14	Northwest China	36	Level 1	1	C	C	Resolved	42	7	19.444444
