Population	Haplogroup	Resolution	Count	Sample Size	Frequency	Scheme	Major Haplogroup	Category Order	Population Order	Group Label
Japanese Japan	C1a	Resolved	5	76	6.578947	Branch-adaptive depth	C	12	1	Oversea
Japanese Japan	C2a	Resolved	1	76	1.315789	Branch-adaptive depth	C	17	1	Oversea
Japanese Japan	C2b1a1a	Resolved	1	76	1.315789	Branch-adaptive depth	C	24	1	Oversea
Japanese Japan	C2b1b	Resolved	2	76	2.631579	Branch-adaptive depth	C	26	1	Oversea
Japanese Japan	D1a2	Resolved	26	76	34.210526	Branch-adaptive depth	D	38	1	Oversea
Japanese Japan	O1b1a1a1a1b1	Resolved	1	76	1.315789	Branch-adaptive depth	O	156	1	Oversea
Japanese Japan	O1b1a2	Resolved	1	76	1.315789	Branch-adaptive depth	O	174	1	Oversea
Japanese Japan	O1b2	Resolved	25	76	32.894737	Branch-adaptive depth	O	175	1	Oversea
Japanese Japan	O2a1b	Resolved	4	76	5.263158	Branch-adaptive depth	O	178	1	Oversea
Japanese Japan	O2a2a1a1b	Resolved	1	76	1.315789	Branch-adaptive depth	O	182	1	Oversea
Japanese Japan	O2a2b1a1a1*	Unresolved	1	76	1.315789	Branch-adaptive depth	O	199	1	Oversea
Japanese Japan	O2a2b1a1a1a1	Resolved	1	76	1.315789	Branch-adaptive depth	O	200	1	Oversea
Japanese Japan	O2a2b1a1a1a2	Resolved	1	76	1.315789	Branch-adaptive depth	O	201	1	Oversea
Japanese Japan	O2a2b1a1a1c	Resolved	1	76	1.315789	Branch-adaptive depth	O	211	1	Oversea
Japanese Japan	O2a2b1a1a1e	Resolved	1	76	1.315789	Branch-adaptive depth	O	213	1	Oversea
Japanese Japan	O2a2b1a2	Resolved	4	76	5.263158	Branch-adaptive depth	O	217	1	Oversea
Mongol Liaoning	C2a	Resolved	5	29	17.241379	Branch-adaptive depth	C	17	2	Northeast China
Mongol Liaoning	C2b1a1*	Unresolved	1	29	3.448276	Branch-adaptive depth	C	23	2	Northeast China
Mongol Liaoning	C2b1a1a	Resolved	4	29	13.793103	Branch-adaptive depth	C	24	2	Northeast China
Mongol Liaoning	C2b1a2	Resolved	1	29	3.448276	Branch-adaptive depth	C	25	2	Northeast China
Mongol Liaoning	E1b1b	Resolved	2	29	6.896552	Branch-adaptive depth	E	55	2	Northeast China
Mongol Liaoning	N1a2	Resolved	2	29	6.896552	Branch-adaptive depth	N	124	2	Northeast China
Mongol Liaoning	N1b1a	Resolved	2	29	6.896552	Branch-adaptive depth	N	130	2	Northeast China
Mongol Liaoning	O1b1a1a1a1b2a1a2	Resolved	1	29	3.448276	Branch-adaptive depth	O	163	2	Northeast China
Mongol Liaoning	O1b2	Resolved	1	29	3.448276	Branch-adaptive depth	O	175	2	Northeast China
Mongol Liaoning	O2a1a	Resolved	1	29	3.448276	Branch-adaptive depth	O	177	2	Northeast China
Mongol Liaoning	O2a1b	Resolved	4	29	13.793103	Branch-adaptive depth	O	178	2	Northeast China
Mongol Liaoning	O2a2a1a1b	Resolved	1	29	3.448276	Branch-adaptive depth	O	182	2	Northeast China
Mongol Liaoning	O2a2a1a2a1a1b	Resolved	1	29	3.448276	Branch-adaptive depth	O	190	2	Northeast China
Mongol Liaoning	O2a2b1a1a1c	Resolved	1	29	3.448276	Branch-adaptive depth	O	211	2	Northeast China
Mongol Liaoning	O2a2b1a2	Resolved	1	29	3.448276	Branch-adaptive depth	O	217	2	Northeast China
Mongol Liaoning	R1a1a1b2	Resolved	1	29	3.448276	Branch-adaptive depth	R	249	2	Northeast China
Zang Gansu	D1a1a1a1a1b*	Unresolved	8	25	32.0	Branch-adaptive depth	D	31	3	Northwest China
Zang Gansu	D1a1b	Resolved	5	25	20.0	Branch-adaptive depth	D	37	3	Northwest China
Zang Gansu	N1a2	Resolved	1	25	4.0	Branch-adaptive depth	N	124	3	Northwest China
Zang Gansu	O2a1a	Resolved	1	25	4.0	Branch-adaptive depth	O	177	3	Northwest China
Zang Gansu	O2a1b	Resolved	3	25	12.0	Branch-adaptive depth	O	178	3	Northwest China
Zang Gansu	O2a2b1a1a1a4a*	Unresolved	1	25	4.0	Branch-adaptive depth	O	203	3	Northwest China
Zang Gansu	O2a2b1a1a1e	Resolved	1	25	4.0	Branch-adaptive depth	O	213	3	Northwest China
Zang Gansu	O2a2b1a2	Resolved	3	25	12.0	Branch-adaptive depth	O	217	3	Northwest China
Zang Gansu	Q1a1a1b	Resolved	1	25	4.0	Branch-adaptive depth	Q	230	3	Northwest China
