Method	Parameter	Parameter Value	Label	Number of Categories	Mean Depth	Resolved Sample Count	Unresolved Sample Count	Resolved Rate	CV Mean Log Loss	CV SD	CV SE	Delta From Best	Within One SE	Best Predictive	Selected
Global uniform depth	Level	1.0	Level 1	17.0	1.0	7698.0	0.0	1.0	3.016376	0.015956	0.002257	0.153839	False	False	False
Global uniform depth	Level	2.0	Level 2	32.0	2.0	7676.0	22.0	0.997142	2.968489	0.016759	0.00237	0.105952	False	False	False
Global uniform depth	Level	3.0	Level 3	53.0	3.0	7487.0	211.0	0.97259	2.918084	0.01598	0.00226	0.055547	False	False	False
Global uniform depth	Level	4.0	Level 4	89.0	4.0	7461.0	237.0	0.969213	2.89566	0.017993	0.002545	0.033123	False	False	False
Global uniform depth	Level	5.0	Level 5	133.0	5.0	6980.0	718.0	0.906729	2.862537	0.018437	0.002607	0.0	True	True	True
Global uniform depth	Level	6.0	Level 6	189.0	6.0	6852.0	846.0	0.890101	2.868288	0.016963	0.002399	0.005751	False	False	False
Global uniform depth	Level	7.0	Level 7	266.0	7.0	6542.0	1156.0	0.849831	2.882692	0.017131	0.002423	0.020155	False	False	False
Global uniform depth	Level	8.0	Level 8	359.0	8.0	6061.0	1637.0	0.787347	2.893378	0.017508	0.002476	0.030841	False	False	False
Global uniform depth	Level	9.0	Level 9	479.0	9.0	5483.0	2215.0	0.712263	2.929472	0.017456	0.002469	0.066935	False	False	False
Global uniform depth	Level	10.0	Level 10	588.0	10.0	4979.0	2719.0	0.646791	2.965155	0.016633	0.002352	0.102618	False	False	False
Global uniform depth	Level	11.0	Level 11	684.0	11.0	4518.0	3180.0	0.586906	2.976197	0.01607	0.002273	0.11366	False	False	False
Global uniform depth	Level	12.0	Level 12	803.0	12.0	3941.0	3757.0	0.511951	2.984578	0.017485	0.002473	0.122041	False	False	False
Branch-adaptive depth	Lambda	0.25	Lambda = 0.25	283.34	9.039975				2.753482	0.024247	0.003429	0.033476	False	False	False
Branch-adaptive depth	Lambda	0.4084	Lambda = 0.4084	263.4	8.891144				2.749311	0.02399	0.003393	0.029305	False	False	False
Branch-adaptive depth	Lambda	0.6673	Lambda = 0.6673	241.26	8.704243				2.742942	0.023849	0.003373	0.022937	False	False	False
Branch-adaptive depth	Lambda	1.0901	Lambda = 1.0901	222.8	8.482707				2.736033	0.023837	0.003371	0.016028	False	False	False
Branch-adaptive depth	Lambda	1.7809	Lambda = 1.7809	200.64	8.29942				2.730472	0.022401	0.003168	0.010466	False	False	False
Branch-adaptive depth	Lambda	2.9096	Lambda = 2.9096	165.12	7.967777				2.725013	0.02328	0.003292	0.005008	False	False	False
Branch-adaptive depth	Lambda	4.7534	Lambda = 4.7534	119.44	7.063235				2.720005	0.022713	0.003212	0.0	True	True	True
Branch-adaptive depth	Lambda	7.7658	Lambda = 7.7658	96.18	6.650887				2.726249	0.022876	0.003235	0.006244	False	False	False
Branch-adaptive depth	Lambda	12.6871	Lambda = 12.6871	75.96	6.301817				2.741569	0.021366	0.003022	0.021564	False	False	False
Branch-adaptive depth	Lambda	20.7272	Lambda = 20.7272	67.68	6.186992				2.749988	0.022396	0.003167	0.029983	False	False	False
Branch-adaptive depth	Lambda	33.8624	Lambda = 33.8624	35.7	2.877655				2.849371	0.018409	0.002603	0.129366	False	False	False
Branch-adaptive depth	Lambda	55.3218	Lambda = 55.3218	24.74	2.108419				2.908056	0.020684	0.002925	0.18805	False	False	False
Branch-adaptive depth	Lambda	90.3803	Lambda = 90.3803	22.5	1.744925				2.927895	0.022616	0.003198	0.20789	False	False	False
Branch-adaptive depth	Lambda	147.6562	Lambda = 147.656	18.0	1.111111				2.981051	0.017707	0.002504	0.261046	False	False	False
Branch-adaptive depth	Lambda	241.229	Lambda = 241.229	18.0	1.111111				2.981051	0.017707	0.002504	0.261046	False	False	False
Branch-adaptive depth	Lambda	394.1009	Lambda = 394.101	17.0	1.0				3.016376	0.015956	0.002257	0.296371	False	False	False
Branch-adaptive depth	Lambda	643.8508	Lambda = 643.851	17.0	1.0				3.016376	0.015956	0.002257	0.296371	False	False	False
Branch-adaptive depth	Lambda	1051.8724	Lambda = 1051.87	17.0	1.0				3.016376	0.015956	0.002257	0.296371	False	False	False
Branch-adaptive depth	Lambda	1718.4657	Lambda = 1718.47	17.0	1.0				3.016376	0.015956	0.002257	0.296371	False	False	False
Branch-adaptive depth	Lambda	2807.4931	Lambda = 2807.49	17.0	1.0				3.016376	0.015956	0.002257	0.296371	False	False	False
Branch-adaptive depth	Lambda	4586.6597	Lambda = 4586.66	17.0	1.0				3.016376	0.015956	0.002257	0.296371	False	False	False
Branch-adaptive depth	Lambda	7493.3211	Lambda = 7493.32	17.0	1.0				3.016376	0.015956	0.002257	0.296371	False	False	False
Branch-adaptive depth	Lambda	12241.9942	Lambda = 12242	17.0	1.0				3.016376	0.015956	0.002257	0.296371	False	False	False
Branch-adaptive depth	Lambda	20000.0	Lambda = 20000	17.0	1.0				3.016376	0.015956	0.002257	0.296371	False	False	False
