Sample	Population	Source Haplogroup	Global Haplogroup	Global Level	Global Resolution	Adaptive Haplogroup	Adaptive Depth	Adaptive Resolution
HG04155	Bengali Bangladesh	C1b1a1a2a1a	C1b1a	5	Resolved	C1b1a1	6	Resolved
HG04157	Bengali Bangladesh	C1b1a1a2a1a	C1b1a	5	Resolved	C1b1a1	6	Resolved
HG03593	Bengali Bangladesh	C1b1a1a2a1b	C1b1a	5	Resolved	C1b1a1	6	Resolved
HG03917	Bengali Bangladesh	C2b1a2a1b	C2b1a	5	Resolved	C2b1a2	6	Resolved
HG03824	Bengali Bangladesh	H1a1a1c	H1a1a	5	Resolved	H	1	Resolved
HG03929	Bengali Bangladesh	H1a1a4a	H1a1a	5	Resolved	H	1	Resolved
HG04164	Bengali Bangladesh	H1a1a4a1	H1a1a	5	Resolved	H	1	Resolved
HG04193	Bengali Bangladesh	H1a1a4b	H1a1a	5	Resolved	H	1	Resolved
HG04191	Bengali Bangladesh	H1a1a4b	H1a1a	5	Resolved	H	1	Resolved
HG04185	Bengali Bangladesh	H1a1a4b2a1	H1a1a	5	Resolved	H	1	Resolved
HG04187	Bengali Bangladesh	H1a1a4b2a1	H1a1a	5	Resolved	H	1	Resolved
HG03815	Bengali Bangladesh	H1a1a4b2a2	H1a1a	5	Resolved	H	1	Resolved
HG03009	Bengali Bangladesh	H1a1a4b2c1a1a2	H1a1a	5	Resolved	H	1	Resolved
HG03600	Bengali Bangladesh	H1a1a4b2c1a2	H1a1a	5	Resolved	H	1	Resolved
HG03941	Bengali Bangladesh	H1a1a4b2c2	H1a1a	5	Resolved	H	1	Resolved
HG03942	Bengali Bangladesh	H1a1a4b2c2	H1a1a	5	Resolved	H	1	Resolved
HG04161	Bengali Bangladesh	H1a1a4b3b1a1	H1a1a	5	Resolved	H	1	Resolved
HG03800	Bengali Bangladesh	H1a1a4b3b1a5	H1a1a	5	Resolved	H	1	Resolved
HG04176	Bengali Bangladesh	H1a1a4b3b1b	H1a1a	5	Resolved	H	1	Resolved
HG04146	Bengali Bangladesh	H1a1a4b3b1c	H1a1a	5	Resolved	H	1	Resolved
HG03812	Bengali Bangladesh	H1a1b1b1	H1a1b	5	Resolved	H	1	Resolved
HG04188	Bengali Bangladesh	H1a1b2	H1a1b	5	Resolved	H	1	Resolved
HG03594	Bengali Bangladesh	H1a2b1a2	H1a2b	5	Resolved	H	1	Resolved
HG03596	Bengali Bangladesh	H1a2b1a2	H1a2b	5	Resolved	H	1	Resolved
HG03809	Bengali Bangladesh	H1a2b1b1	H1a2b	5	Resolved	H	1	Resolved
