Haplogroup,Count
A,3037
A1,27
A11,208
A11_C16234T,37
A11a,117
A11b,25
A13,117
A14,222
A15,447
A15a,247
A15c,111
A15c1,73
A17,140
A18,22
A19,38
A1a,20
A1a1,11
A2,417
A21,71
A24,18
A25,49
A2_C64T,303
A2_C64T_G153A!,15
A2_C64T_T16111C!,35
A2a,38
A2b,22
A2b1,20
A2d,15
A2k,17
A2k1,13
A2k1a,12
A2m,11
A2q,10
A2v,14
A2v1,12
A2v1_T152C!!!,11
A2w,43
A2w1,10
A2z,15
A5,388
A5a,77
A5a1a,23
A5a1a1,16
A5b1,185
A5b1b,120
A5b1c,23
A5b1c1,22
A5c,27
A6,101
A6a,26
A6b,14
A7,37
A8,52
A8a,46
A8a1,16
A_T152C,2560
A_T152C_T16362C,2258
A_T152C_T16362C_A200G,518
A_T152C_T16362C_T16189C,32
B2,268
B2a,27
B2b,44
B2b3,11
B2b3a,10
B2c,26
B2c1,12
B2c2,12
B2d,46
B2i2,14
B4,4369
B4'5,6457
B4_C16261T,1870
B4a,1609
B4a1,1168
B4a1_T16311C,46
B4a1a,831
B4a1a1,769
B4a1a1a,78
B4a1a1a1,13
B4a1a1b,603
B4a1a3,20
B4a1a3a,11
B4a1a3a1,10
B4a1c,267
B4a1c1,87
B4a1c1a,78
B4a1c1a1,27
B4a1c2,40
B4a1c3b,15
B4a1c4,88
B4a1c5,23
B4a1c_T146C!,153
B4a1d,21
B4a1e,32
B4a2,117
B4a2a,35
B4a2a3,16
B4a2b,71
B4a2b1,63
B4a3,39
B4a4,206
B4a5,74
B4b1,849
B4b1a,555
B4b1a1,28
B4b1a2,382
B4b1a2a,193
B4b1a2b,16
B4b1a2e,25
B4b1a2g,16
B4b1a3,90
B4b1a3a,61
B4b1b,28
B4b1b'c,242
B4b1c,212
B4b1c1,79
B4b1c2,132
B4c,972
B4c1a,77
B4c1a1,31
B4c1a1a,17
B4c1a1a1,10
B4c1a2,26
B4c1b,615
B4c1b2,565
B4c1b2a,241
B4c1b2a1,34
B4c1b2a2,76
B4c1b2a2a,18
B4c1b2b,24
B4c1b2c,264
B4c1b2c1,65
B4c1b2c2,127
B4c1b_A16335G,578
B4c1c,127
B4c1c1,67
B4c1c_T16311C!,76
B4c2,132
B4c2c,61
B4d1,213
B4d1'2'3,345
B4d1a,70
B4d3,33
B4d3a,18
B4e,28
B4f,10
B4g1,99
B4g1a,72
B4g1b,17
B4g2,80
B4h,32
B4h1,11
B4i,20
B4i1,19
B4j,15
B4k,14
B5a,1326
B5a1,1107
B5a1a,331
B5a1b,123
B5a1b1,122
B5a1c,345
B5a1c1,245
B5a1c1a,200
B5a1c1a1,72
B5a1c2,22
B5a1d,146
B5a2,203
B5a2a,188
B5a2a1,118
B5a2a1_G16129A,20
B5a2a1a,96
B5a2a1b,10
B5a2a2,67
B5a2a2a1,11
B5a2a2b,11
B5b,758
B5b1,320
B5b1a,51
B5b1a2,17
B5b1c,34
B5b2,349
B5b2_C204T,138
B5b2a,100
B5b2a1,25
B5b2a2,33
B5b2b,68
B5b2c,96
B5b2c1,13
B5b3,23
B5b3b,14
B5b4,17
B5b5,20
B6,100
B6a,97
B6a1,42
B6a1a,34
C,2409
C1,232
C1a,18
C1b,130
C1b11,12
C1b13,14
C1b2,24
C1b4,10
C1b_T16311C!,13
C1c,42
C1d,39
C1d1,23
C1d_C194T,31
C4,1048
C4_T152C!,68
C4a1,415
C4a1a,372
C4a1a1,351
C4a1a1_T195C!,79
C4a1a1a,32
C4a1a2,68
C4a1a2a,18
C4a1a3,88
C4a1a3a,17
C4a1a3c,16
C4a1a3d,12
C4a1a4,69
C4a1a4a,33
C4a1a6,10
C4a2,320
C4a2a,116
C4a2a1,113
C4a2a1a,15
C4a2b,112
C4a2b2,74
C4a2b2a,61
C4a2c,49
C4a2c1,19
C4b,222
C4b1,86
C4b2,27
C4b2a,22
C4b3,32
C4b3a,17
C4b6,10
C4d,60
C5_T16093C,72
C5a1,57
C5a2,36
C5a2b,30
C5b,51
C5b1,50
C5b1a,21
C5b1a1,15
C5b1b,27
C5b1b1,13
C5c,12
C5d,58
C5d1,23
C5d2,17
C7,899
C7_A16051G,32
C7a,698
C7a1,353
C7a1a,13
C7a1c,176
C7a2,38
C7a2a,18
C7b,27
CZ,3375
D,8883
D1,114
D1g,16
D1j,10
D2,67
D2a,21
D2a1,13
D2b,26
D2b1,18
D2b1a,10
D3,28
D4,8878
D4_T195C!,120
D4a,957
D4a1,199
D4a1a,13
D4a1a1,11
D4a1b,15
D4a1e,102
D4a1e1,24
D4a3a,76
D4a3a1,19
D4a3b,159
D4a3b2,84
D4a5,71
D4a6,64
D4a7,147
D4a8,23
D4b,1330
D4b1,324
D4b1a,182
D4b1a1,15
D4b1a2,101
D4b1a2a,86
D4b1a2a1,51
D4b1b,87
