major_haplogroup	n_fps_selected	n_layer1_input	n_segregating_sites	n_unique_haplotypes
A	313	406	1415	347
B	608	1153	1915	711
C	521	688	1690	584
D	777	1355	2120	904
E	202	286	961	215
F	632	1452	1425	736
G	168	311	962	189
H	566	745	1768	635
I	28	51	229	33
J	128	238	662	150
K	77	88	519	81
L	193	333	777	210
M	2755	3543	4008	3016
N	370	425	1557	399
P	112	146	616	127
Q	261	341	1186	299
R	336	425	1372	372
T	199	248	919	221
U	580	624	2098	603
V	22	22	238	22
W	144	147	953	146
X	44	45	393	45
Y	122	132	647	127
Z	96	98	825	98
