taxon	cluster	partition
1_1	3	2
2_1	3	2
3_1	3	2
4_1	3	2
5_1	3	2
6_1	3	2
7_1	3	2
8_1	3	2
9_1	3	2
10_1	3	2
11_1	3	2
12_1	3	2
13_1	3	2
14_1	3	2
15_1	3	2
16_1	3	2
17_1	3	2
18_1	3	2
19_1	3	2
20_1	3	2
21_1	3	2
22_1	3	2
23_1	3	2
24_1	3	2
25_1	3	2
26_1	3	2
27_1	3	2
28_1	3	2
29_1	3	2
30_1	3	2
31_1	3	2
32_1	3	2
33_1	3	2
34_1	3	2
35_1	3	2
36_1	3	2
37_1	3	2
38_1	3	2
39_1	3	2
40_1	3	2
41_1	3	2
42_1	3	2
43_1	3	2
44_1	3	2
45_1	3	2
46_1	3	2
47_1	3	2
48_1	3	2
49_1	3	2
50_1	3	2
51_1	3	2
52_1	3	2
53_1	3	2
54_1	3	2
55_1	3	2
56_1	3	2
57_1	3	2
58_1	3	2
59_1	3	2
60_1	3	2
61_1	3	2
62_1	3	2
63_1	3	2
64_1	3	2
65_1	3	2
66_1	3	2
67_1	3	2
68_1	3	2
69_1	3	2
70_1	3	2
71_1	3	2
72_1	3	2
73_1	3	2
74_1	3	2
75_1	3	2
76_1	3	2
77_1	3	2
78_1	3	2
79_1	3	2
80_1	3	2
81_1	3	2
82_1	3	2
83_1	3	2
84_1	3	2
85_1	3	2
86_1	3	2
87_1	3	2
88_1	3	2
89_1	3	2
90_1	3	2
91_1	3	2
92_1	3	2
93_1	3	2
94_1	3	2
95_1	3	2
96_1	3	2
97_1	3	2
98_1	3	2
99_1	3	2
100_1	3	2
101_1	3	2
102_1	3	2
103_1	3	2
104_1	3	2
105_1	3	2
106_1	3	2
107_1	3	2
108_1	3	2
109_1	3	2
110_1	3	2
111_1	3	2
112_1	3	2
113_1	3	2
114_1	3	2
115_1	3	2
116_1	3	2
117_1	3	2
118_1	3	2
119_1	3	2
120_1	3	2
121_1	3	2
122_1	3	2
123_1	3	2
124_1	3	2
125_1	3	2
126_1	3	2
127_1	3	2
128_1	3	2
129_1	3	2
130_1	3	2
131_1	3	2
132_1	3	2
133_1	3	2
134_1	3	2
135_1	3	2
136_1	3	2
137_1	3	2
138_1	3	2
139_1	3	2
140_1	3	2
141_1	3	2
142_1	3	2
143_0	2	1
144_0	2	1
145_0	2	1
146_0	2	1
147_0	2	1
148_0	2	1
149_0	2	1
150_0	2	1
151_0	2	1
152_0	2	1
153_0	2	1
154_0	2	1
155_0	2	1
156_0	2	1
157_0	2	1
158_0	2	1
159_0	2	1
160_0	2	1
161_0	2	1
162_0	2	1
163_0	2	1
164_0	2	1
165_0	2	1
166_0	2	1
167_0	2	1
168_1	3	2
169_1	3	2
170_1	3	2
171_1	3	2
172_1	3	2
173_1	3	2
174_1	3	2
175_1	3	2
176_1	3	2
177_1	3	2
178_1	3	2
179_1	3	2
180_1	3	2
181_1	3	2
182_1	3	2
183_1	3	2
184_1	3	2
185_1	3	2
186_1	3	2
187_1	3	2
188_1	3	2
189_1	3	2
190_1	3	2
191_1	3	2
192_1	3	2
193_1	3	2
194_1	3	2
195_1	3	2
196_1	3	2
197_0	4	1
198_0	4	1
199_0	4	1
200_0	4	1
201_0	4	1
202_0	4	1
203_0	4	1
204_0	4	1
205_0	4	1
206_0	4	1
207_0	4	1
208_0	4	1
209_0	4	1
210_0	4	1
211_0	4	1
212_0	4	1
213_0	4	1
214_0	4	1
215_0	4	1
216_0	4	1
217_0	4	1
218_0	4	1
219_0	4	1
220_0	4	1
221_0	4	1
222_1	3	2
223_1	3	2
224_1	3	2
225_1	3	2
226_1	3	2
227_1	3	2
228_1	3	2
229_1	3	2
230_1	3	2
231_1	3	2
232_1	3	2
233_1	3	2
234_1	3	2
235_1	3	2
236_1	3	2
237_1	3	2
238_1	3	2
239_1	3	2
240_1	3	2
241_1	3	2
242_1	3	2
243_1	3	2
244_1	3	2
245_1	3	2
246_1	3	2
247_1	3	2
248_1	3	2
249_1	3	2
250_1	3	2
251_0	1	1
252_0	1	1
253_0	1	1
254_0	1	1
255_0	1	1
256_0	1	1
257_0	1	1
258_0	1	1
259_0	1	1
260_0	1	1
261_0	1	1
262_0	1	1
263_0	1	1
264_0	1	1
265_0	1	1
266_0	1	1
267_0	1	1
268_0	1	1
269_0	1	1
270_0	1	1
271_0	1	1
272_0	1	1
273_0	1	1
274_0	1	1
275_0	1	1
