core_subtree_id	core_root_node_id	baseml_subtree_id	analysis_tree_file	core_n_tips	analysis_total_n_tips	matched_internal_edges	matched_tip_edges	replaced_core_root_edge	topology_match	merge_status	details
core_subtree_0001	NODE_000038	baseml_subtree_0001	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0001.nwk	1468	1469	1466	1468	true	true	success	core edges replaced
core_subtree_0002	NODE_001505	baseml_subtree_0002	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0002.nwk	847	848	845	847	true	true	success	core edges replaced
core_subtree_0003	NODE_002351	baseml_subtree_0003	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0003.nwk	321	322	319	321	true	true	success	core edges replaced
core_subtree_0004	NODE_002671	baseml_subtree_0004	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0004.nwk	10	1479	8	10	true	true	success	core edges replaced
core_subtree_0005	NODE_002680	baseml_subtree_0005	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0005.nwk	10	1479	8	10	true	true	success	core edges replaced
core_subtree_0006	NODE_002689	baseml_subtree_0006	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0006.nwk	56	1525	54	56	true	true	success	core edges replaced
core_subtree_0007	NODE_002744	baseml_subtree_0007	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0007.nwk	5	1474	3	5	true	true	success	core edges replaced
core_subtree_0008	NODE_002748	baseml_subtree_0008	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0008.nwk	3	1472	1	3	true	true	success	core edges replaced
core_subtree_0009	NODE_002750	baseml_subtree_0009	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0009.nwk	485	486	483	485	true	true	success	core edges replaced
core_subtree_0010	NODE_003234	baseml_subtree_0010	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0010.nwk	34	1503	32	34	true	true	success	core edges replaced
core_subtree_0011	NODE_003267	baseml_subtree_0011	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0011.nwk	94	1563	92	94	true	true	success	core edges replaced
core_subtree_0012	NODE_003362	baseml_subtree_0012	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0012.nwk	1254	1255	1252	1254	true	true	success	core edges replaced
core_subtree_0013	NODE_004615	baseml_subtree_0013	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0013.nwk	809	810	807	809	true	true	success	core edges replaced
core_subtree_0014	NODE_005423	baseml_subtree_0014	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0014.nwk	31	1500	29	31	true	true	success	core edges replaced
core_subtree_0015	NODE_005456	baseml_subtree_0015	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0015.nwk	2	1304	0	2	true	true	success	core edges replaced
core_subtree_0016	NODE_005458	baseml_subtree_0016	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0016.nwk	6	1308	4	6	true	true	success	core edges replaced
core_subtree_0017	NODE_005465	baseml_subtree_0017	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0017.nwk	526	527	524	526	true	true	success	core edges replaced
core_subtree_0018	NODE_005991	baseml_subtree_0018	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0018.nwk	778	779	776	778	true	true	success	core edges replaced
core_subtree_0019	NODE_006768	baseml_subtree_0019	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0019.nwk	1301	1302	1299	1301	true	true	success	core edges replaced
core_subtree_0020	NODE_008068	baseml_subtree_0020	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0020.nwk	253	254	251	253	true	true	success	core edges replaced
core_subtree_0021	NODE_008320	baseml_subtree_0021	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0021.nwk	1130	1131	1128	1130	true	true	success	core edges replaced
core_subtree_0022	NODE_009449	baseml_subtree_0022	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0022.nwk	37	1339	35	37	true	true	success	core edges replaced
core_subtree_0023	NODE_009492	baseml_subtree_0023	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0023.nwk	2	1506	0	2	true	true	success	core edges replaced
core_subtree_0024	NODE_009494	baseml_subtree_0024	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0024.nwk	1182	1183	1180	1182	true	true	success	core edges replaced
core_subtree_0025	NODE_010677	baseml_subtree_0025	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0025.nwk	1503	1504	1501	1503	true	true	success	core edges replaced
core_subtree_0026	NODE_012179	baseml_subtree_0026	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0026.nwk	739	740	737	739	true	true	success	core edges replaced
core_subtree_0027	NODE_012917	baseml_subtree_0027	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0027.nwk	241	242	239	241	true	true	success	core edges replaced
core_subtree_0028	NODE_013157	baseml_subtree_0028	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0028.nwk	90	1594	88	90	true	true	success	core edges replaced
core_subtree_0029	NODE_013246	baseml_subtree_0029	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0029.nwk	38	1542	36	38	true	true	success	core edges replaced
core_subtree_0030	NODE_013283	baseml_subtree_0030	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0030.nwk	36	1540	34	36	true	true	success	core edges replaced
core_subtree_0031	NODE_013318	baseml_subtree_0031	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0031.nwk	1826	1827	1824	1826	true	true	success	core edges replaced
core_subtree_0032	NODE_015143	baseml_subtree_0032	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0032.nwk	6	1833	4	6	true	true	success	core edges replaced
core_subtree_0033	NODE_015148	baseml_subtree_0033	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0033.nwk	253	254	251	253	true	true	success	core edges replaced
core_subtree_0034	NODE_015400	baseml_subtree_0034	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0034.nwk	1365	1366	1363	1365	true	true	success	core edges replaced
core_subtree_0035	NODE_016765	baseml_subtree_0035	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0035.nwk	1966	1967	1964	1966	true	true	success	core edges replaced
core_subtree_0036	NODE_018730	baseml_subtree_0036	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0036.nwk	370	371	368	370	true	true	success	core edges replaced
core_subtree_0037	NODE_019099	baseml_subtree_0037	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0037.nwk	10	1977	8	10	true	true	success	core edges replaced
core_subtree_0038	NODE_019108	baseml_subtree_0038	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0038.nwk	42	1960	40	42	true	true	success	core edges replaced
