tip_name	owner_core_subtree_id	appearing_baseml_subtree_ids	roles
111-1174-6848	core_subtree_0055	"[""baseml_subtree_0055""]"	"[""core""]"
111-1178-6141	core_subtree_0025	"[""baseml_subtree_0023"", ""baseml_subtree_0025"", ""baseml_subtree_0028"", ""baseml_subtree_0029"", ""baseml_subtree_0030"", ""baseml_subtree_0078""]"	"[""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1201-7473	core_subtree_0035	"[""baseml_subtree_0035"", ""baseml_subtree_0037"", ""baseml_subtree_0038"", ""baseml_subtree_0082"", ""baseml_subtree_0087""]"	"[""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1202-8745	core_subtree_0041	"[""baseml_subtree_0041""]"	"[""core""]"
111-1204-7609	core_subtree_0025	"[""baseml_subtree_0023"", ""baseml_subtree_0025"", ""baseml_subtree_0028"", ""baseml_subtree_0029"", ""baseml_subtree_0030"", ""baseml_subtree_0078""]"	"[""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1204-8989	core_subtree_0052	"[""baseml_subtree_0052""]"	"[""core""]"
111-1266-8323	core_subtree_0060	"[""baseml_subtree_0059"", ""baseml_subtree_0060"", ""baseml_subtree_0062"", ""baseml_subtree_0063"", ""baseml_subtree_0068"", ""baseml_subtree_0070"", ""baseml_subtree_0071"", ""baseml_subtree_0074"", ""baseml_subtree_0079""]"	"[""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1274-0982	core_subtree_0017	"[""baseml_subtree_0017""]"	"[""core""]"
111-1307-0330	core_subtree_0018	"[""baseml_subtree_0018""]"	"[""core""]"
111-1313-7996	core_subtree_0050	"[""baseml_subtree_0050""]"	"[""core""]"
111-1349-6727	core_subtree_0019	"[""baseml_subtree_0015"", ""baseml_subtree_0016"", ""baseml_subtree_0019"", ""baseml_subtree_0022""]"	"[""anchor"", ""anchor"", ""core"", ""anchor""]"
111-1364-4159	core_subtree_0041	"[""baseml_subtree_0041""]"	"[""core""]"
111-1369-5472	core_subtree_0041	"[""baseml_subtree_0041""]"	"[""core""]"
111-1373-5222	core_subtree_0060	"[""baseml_subtree_0058"", ""baseml_subtree_0059"", ""baseml_subtree_0060"", ""baseml_subtree_0062"", ""baseml_subtree_0063"", ""baseml_subtree_0064"", ""baseml_subtree_0068"", ""baseml_subtree_0070"", ""baseml_subtree_0071"", ""baseml_subtree_0074"", ""baseml_subtree_0079""]"	"[""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1374-6846	core_subtree_0024	"[""baseml_subtree_0024""]"	"[""core""]"
111-1392-6040	core_subtree_0041	"[""baseml_subtree_0041""]"	"[""core""]"
111-1393-9545	core_subtree_0056	"[""baseml_subtree_0056""]"	"[""core""]"
111-1396-0686	core_subtree_0060	"[""baseml_subtree_0058"", ""baseml_subtree_0059"", ""baseml_subtree_0060"", ""baseml_subtree_0062"", ""baseml_subtree_0063"", ""baseml_subtree_0064"", ""baseml_subtree_0068"", ""baseml_subtree_0070"", ""baseml_subtree_0071"", ""baseml_subtree_0074"", ""baseml_subtree_0079""]"	"[""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1414-2845	core_subtree_0035	"[""baseml_subtree_0035"", ""baseml_subtree_0037"", ""baseml_subtree_0038"", ""baseml_subtree_0082"", ""baseml_subtree_0087""]"	"[""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1415-0819	core_subtree_0049	"[""baseml_subtree_0045"", ""baseml_subtree_0049"", ""baseml_subtree_0088""]"	"[""anchor"", ""core"", ""anchor""]"
111-1425-2261	core_subtree_0024	"[""baseml_subtree_0024""]"	"[""core""]"
111-1432-2155	core_subtree_0021	"[""baseml_subtree_0021""]"	"[""core""]"
111-1435-9878	core_subtree_0025	"[""baseml_subtree_0023"", ""baseml_subtree_0025"", ""baseml_subtree_0028"", ""baseml_subtree_0029"", ""baseml_subtree_0030"", ""baseml_subtree_0078""]"	"[""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1439-3919	core_subtree_0018	"[""baseml_subtree_0018""]"	"[""core""]"
111-1446-5524	core_subtree_0025	"[""baseml_subtree_0023"", ""baseml_subtree_0025"", ""baseml_subtree_0028"", ""baseml_subtree_0029"", ""baseml_subtree_0030"", ""baseml_subtree_0078""]"	"[""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1448-2163	core_subtree_0025	"[""baseml_subtree_0023"", ""baseml_subtree_0025"", ""baseml_subtree_0028"", ""baseml_subtree_0029"", ""baseml_subtree_0030"", ""baseml_subtree_0078""]"	"[""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1457-7494	core_subtree_0049	"[""baseml_subtree_0045"", ""baseml_subtree_0049"", ""baseml_subtree_0088""]"	"[""anchor"", ""core"", ""anchor""]"
111-1458-2559	core_subtree_0054	"[""baseml_subtree_0054""]"	"[""core""]"
111-1459-0974	core_subtree_0019	"[""baseml_subtree_0015"", ""baseml_subtree_0016"", ""baseml_subtree_0019"", ""baseml_subtree_0022""]"	"[""anchor"", ""anchor"", ""core"", ""anchor""]"
111-1462-0480	core_subtree_0042	"[""baseml_subtree_0042""]"	"[""core""]"
111-1462-2699	core_subtree_0020	"[""baseml_subtree_0020""]"	"[""core""]"
111-1466-3630	core_subtree_0026	"[""baseml_subtree_0026""]"	"[""core""]"
111-1480-6396	core_subtree_0027	"[""baseml_subtree_0027""]"	"[""core""]"
111-1481-1130	core_subtree_0057	"[""baseml_subtree_0057""]"	"[""core""]"
111-1488-4134	core_subtree_0066	"[""baseml_subtree_0066""]"	"[""core""]"
111-1492-0078	core_subtree_0055	"[""baseml_subtree_0055""]"	"[""core""]"
