A	#7A1616
B	#D74949
B4	#C43A3A
B5	#E36A6A
C	#26B950
D	#126741
D2	#0F5A3A
D4	#1E7F54
D5	#2F9B6B
D6	#49B889
E	#0A316B
F	#DB9C15
F1	#C98910
F2	#DB9C15
F3	#F0B43A
F4	#FFD26A
G	#23A5AC
G1	#1E8F95
G2	#3AB8BF
G3	#6CD3D8
H	#F032A8
HV	#F80FBA
I	#4A1E9C
J	#ED64B4
JT	#ED64B4
K	#491EC1
L0	#000000
L1	#1F1F1F
L2	#3A3A3A
L2	#3A3A3A
L3	#5C5C5C
L4	#7A7A7A
L5	#A0A0A0
L6	#111111
M	#00D4FF
M*	#00D4FF
M10	#1FA3FF
M11	#3DB5FF
M12	#5CC7FF
M13	#7EDAFF
M20	#0091D8
M21	#007BBF
M24	#0065A6
M30	#004F8C
M33	#2F6FD3
M59	#3A59C9
M61	#4C42BD
M62	#5E2CB0
M7	#00AFFF
M7	#00AFFF
M71	#00C3E8
M74	#00B0D4
M75	#009CC0
M76	#0088AC
M8	#008AFF
M8	#008AFF
M9	#085FE3
M9	#085FE3
N	#A53ADD
N*	#A53ADD
N1	#B15DE8
N10	#B977E8
N11	#9F5ED6
N2	#CE9AF7
N21	#E1C7F4
N9	#CCAFE8
N9	#CCAFE8
R	#711251
R*	#711251
R1	#8E1E63
R11	#A93A7A
R9	#BF1458
R9b	#D04C88
R9c	#E36CA1
T	#F58FCF
U	#B619AB
W	#C87BFF
X	#AD4D4D
Y	#9B6EDC
Z	#49AAF2
