ID	QC_Other	QC_Haplogrep	Latitude	Longitude	Population	City	Province	Country	Language	Continent	Sequence_method	Source
2613	YES	0.9562	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1000434	YES	0.9137	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1000592	YES	0.7816	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1000612	YES	0.9581	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1000753	YES	0.9598	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1000810	YES	0.9643	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1000907	YES	0.8538	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1000917	YES	0.9768	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1001070	YES	0.9512	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1001091	YES	0.9593	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1001099	YES	0.9708	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1001194	YES	0.793	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1001738	YES	1	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1001746	YES	0.9738	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1001969	YES	0.9497	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1002052	YES	0.9612	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1002259	YES	0.9872	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1002448	YES	0.9142	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1002730	YES	0.8439	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1002806	YES	0.989	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1003028	YES	0.9387	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1006061	YES	1	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1006189	YES	0.8783	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1006194	YES	0.936	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1006204	YES	0.989	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1006307	YES	1	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1006464	YES	0.9424	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1006683	YES	0.9864	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1006739	YES	0.9495	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1006749	YES	0.931	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1006900	YES	0.8362	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1006999	YES	0.9715	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1007120	YES	0.9532	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1007170	YES	1	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1007607	YES	0.9151	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1007633	YES	0.975	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1007642	YES	0.9417	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1007647	YES	0.9639	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1009658	YES	0.9878	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1009684	YES	0.9473	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1009700	YES	0.8751	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1009704	YES	0.9746	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1009782	YES	0.9345	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1009784	YES	0.9304	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1009796	YES	0.8678	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1009802	YES	0.967	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1009812	YES	0.9558	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1138837	YES	0.8093	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1138912	YES	0.8159	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1139281	YES	0.9435	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1139354	YES	0.9568	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1139461	YES	0.9943	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1139606	YES	0.9863	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1139929	YES	0.9224	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1139962	YES	0.9684	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1140048	YES	0.8902	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1140464	YES	0.9641	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1140557	YES	0.9639	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1196221	YES	0.9689	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1196256	YES	0.9821	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1196905	YES	0.9749	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1197024	YES	0.9242	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1199393	YES	0.8253	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1199524	YES	0.9548	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1199767	YES	0.9823	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1199840	YES	0.9554	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1200084	YES	0.9828	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1200524	YES	0.9404	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1200618	YES	0.8511	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1200709	YES	0.961	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1200900	YES	0.9464	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1201142	YES	0.8754	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1201536	YES	1	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1201570	YES	0.989	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1201606	YES	0.9429	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1201631	YES	0.9456	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1206666	YES	0.9649	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1206844	YES	0.9137	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1206992	YES	0.9316	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1207280	YES	0.8505	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1207299	YES	0.967	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1207363	YES	0.9841	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1207950	YES	0.9913	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1208122	YES	0.9664	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1208475	YES	0.9766	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1208781	YES	0.8116	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1208821	YES	0.9352	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1209159	YES	1	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
1209371	YES	0.9361	35.4145899	116.58724	Han	Jining	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_SLE_1
