edge_id	parent_node	child_node	parent_label	child_label	from_state	to_state	n_simulations_with_event	edge_transition_support	mean_n_event	n_descendant_tip	descendant_tip_representative	edge_was_floored
6	211	3	Node211	L8067.Y.trim.bam__	GansuQinghai	Plateau	200	1	1	1	L8067.Y.trim.bam__	FALSE
8	212	4	Node212	L7053.Y.trim.bam__	GansuQinghai	Plateau	200	1	1	1	L7053.Y.trim.bam__	FALSE
10	213	5	Node213	HRR660152_Y_rg.bam__	GansuQinghai	Plateau	200	1	1	1	HRR660152_Y_rg.bam__	FALSE
14	215	7	Node215	HRR1385301.Y.bam__	GansuQinghai	Plateau	200	1	1	1	HRR1385301.Y.bam__	FALSE
16	216	8	Node216	HRR1385290.Y.bam__	GansuQinghai	Plateau	200	1	1	1	HRR1385290.Y.bam__	FALSE
65	242	31	Node242	GSRD009551A00_BB0_01_D1a1a1a1a1b1	Plateau	YellowRiver	200	1	1	1	GSRD009551A00_BB0_01_D1a1a1a1a1b1	FALSE
79	240	39	Node240	GSRD008312A01_BB1_01_D1a1a1a1a1b1	Plateau	SouthWest	200	1	1	1	GSRD008312A01_BB1_01_D1a1a1a1a1b1	FALSE
83	251	252	Node251	Node252	Plateau	SouthWest	200	1	1	2	GSRD008140A00_BB1_02_D1a1a1a1a1b1;GSRD008140A01_BB1_01_D1a1a1a1a1b1	FALSE
127	272	274	Node272	Node274	Plateau	SouthWest	200	1	1	2	GSRD007997A00_BB1_01_D1a1a1a1a1b1;GSRD007997A01_BB1_01_D1a1a1a1a1b1	FALSE
133	277	64	Node277	GSRD008084A00_BB1_01_D1a1a1a1a1b1	Plateau	SouthWest	200	1	1	1	GSRD008084A00_BB1_01_D1a1a1a1a1b1	FALSE
137	279	66	Node279	GSRD008314A01_BB1_01_D1a1a1a1a1b1	Plateau	SouthWest	200	1	1	1	GSRD008314A01_BB1_01_D1a1a1a1a1b1	FALSE
160	290	291	Node290	Node291	Plateau	SouthWest	200	1	1	2	GSRD008317A00_BB1_01_D1a1a1a1a1b1;GSRD008317A01_BB1_01_D1a1a1a1a1b1	FALSE
180	298	90	Node298	Y_HRR2695345.bam__	Plateau	YellowRiver	200	1	1	1	Y_HRR2695345.bam__	FALSE
182	299	91	Node299	Y_HRR1257504.remap.sorted_rg.bam__	Plateau	SouthWest	200	1	1	1	Y_HRR1257504.remap.sorted_rg.bam__	FALSE
224	322	323	Node322	Node323	Plateau	SouthWest	200	1	1	3	GSRD008111A00_BB0_01_D1a1a1a1b;GSRD008111A01_BB0_01_D1a1a1a1b;GSRD008212A00_BB1_01_D1a1a1a1b	FALSE
230	310	325	Node310	Node325	Plateau	SouthWest	200	1	1	33	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD002335A00_BB1_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b	FALSE
307	363	364	Node363	Node364	Plateau	SouthWest	200	1	1	2	GSRD007969A00_BB1_01_D1a1a1a1b;GSRD007969A01_BB1_01_D1a1a1a1b	FALSE
395	405	406	Node405	Node406	Plateau	SouthWest	200	1	1.01	2	GSRD008072A00_BB1_01_D1a1a1a1b;GSRD008072A01_BB1_01_D1a1a1a1b	FALSE
155	284	288	Node284	Node288	Plateau	SouthWest	199	0.995	0.995	2	GSRD008088A01_BB1_01_D1a1a1a1a1b1;GSRD008129A01_BB0_02_D1a1a1a1a1b1	FALSE
179	218	298	Node218	Node298	GansuQinghai	Plateau	199	0.995	1.155	110	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD002335A00_BB1_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b	FALSE
316	365	367	Node365	Node367	Plateau	SouthWest	199	0.995	0.995	5	GSRD009811A00_BB0_00_D1a1a1a1b;GSRD009881A00_BB0_00_D1a1a1a1b;GSRD009892A00_BB0_00_D1a1a1a1b	FALSE
369	394	395	Node394	Node395	Plateau	SouthWest	199	0.995	0.995	2	GSRD008110A00_BB0_01_D1a1a1a1b2;GSRD008110A01_BB0_01_D1a1a1a1b2	FALSE
52	236	237	Node236	Node237	Plateau	SouthWest	198	0.99	0.995	2	GSRD008184A00_BB1_01_D1a1a1a1a1b1;GSRD008184A01_BB1_01_D1a1a1a1a1b1	FALSE
202	311	312	Node311	Node312	Plateau	SouthWest	198	0.99	0.99	6	GSRD008057A00_BB1_01_D1a1a1a1b;GSRD008057A01_BB1_01_D1a1a1a1b;GSRD008157A01_BB1_01_D1a1a1a1b	FALSE
370	395	183	Node395	GSRD008110A00_BB0_01_D1a1a1a1b2	SouthWest	GansuQinghai	196	0.98	0.98	1	GSRD008110A00_BB0_01_D1a1a1a1b2	FALSE
196	307	97	Node307	YSW00492A00_BB0_00_D1a1a1a1b	Plateau	SouthWest	194	0.97	0.985	1	YSW00492A00_BB0_00_D1a1a1a1b	FALSE
197	307	98	Node307	GSRD008320A01_BB1_01_D1a1a1a1b	Plateau	SouthWest	194	0.97	0.985	1	GSRD008320A01_BB1_01_D1a1a1a1b	FALSE
56	235	238	Node235	Node238	Plateau	SouthWest	185	0.925	0.93	2	GSRD009863A00_BB0_00_D1a1a1a1a1b1;WDC11806290166_D1a1a1a1a1b1	FALSE
59	234	29	Node234	WDC11806290089_D1a1a1a1a1b	Plateau	SouthWest	181	0.905	0.905	1	WDC11806290089_D1a1a1a1a1b	FALSE
105	255	262	Node255	Node262	Plateau	SouthWest	168	0.84	0.84	2	GSRD008303A00_BB1_01_D1a1a1a1a1b1;GSRD008303A01_BB1_01_D1a1a1a1a1b1	FALSE
92	255	256	Node255	Node256	Plateau	SouthWest	166	0.83	0.83	7	GSRD008144A00_BB1_01_D1a1a1a1a1b1;GSRD008144A01_BB1_01_D1a1a1a1a1b1;GSRD008247A00_BB1_01_D1a1a1a1a1b1	FALSE
398	208	407	Node208	Node407	Plateau	SouthWest	160	0.8	0.935	8	Chuan10298A00_BB0_00_D1a1a1b1a2;CQ10079A00_BB0_00_D1a1a1b1a;GSRD008877A00_BB0_01_D1a1a1b2	FALSE
18	217	9	Node217	HRR1295204_Y.bam__	Plateau	SouthWest	155	0.775	0.775	1	HRR1295204_Y.bam__	FALSE
299	359	148	Node359	GSRD008063A01_BB1_01_D1a1a1a1b	Plateau	SouthWest	154	0.77	0.77	1	GSRD008063A01_BB1_01_D1a1a1a1b	FALSE
18	217	9	Node217	HRR1295204_Y.bam__	GansuQinghai	Plateau	153	0.765	0.77	1	HRR1295204_Y.bam__	FALSE
300	359	149	Node359	GSRD008162A00_BB1_01_D1a1a1a1b	Plateau	SouthWest	153	0.765	0.765	1	GSRD008162A00_BB1_01_D1a1a1a1b	FALSE
20	218	219	Node218	Node219	GansuQinghai	Plateau	142	0.71	0.785	80	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1	FALSE
398	208	407	Node208	Node407	GansuQinghai	Plateau	139	0.695	0.86	8	Chuan10298A00_BB0_00_D1a1a1b1a2;CQ10079A00_BB0_00_D1a1a1b1a;GSRD008877A00_BB0_01_D1a1a1b2	FALSE
216	318	319	Node318	Node319	Plateau	SouthWest	136	0.68	0.68	3	GSRD008047A01_BB1_01_D1a1a1a1b;GSRD008171A00_BB1_01_D1a1a1a1b;GSRD008171A01_BB1_01_D1a1a1a1b	FALSE
46	231	233	Node231	Node233	Plateau	SouthWest	121	0.605	0.605	2	GSRD007975A00_BB1_01_D1a1a1a1a1b1;GSRD007975A01_BB1_02_D1a1a1a1a1b1	FALSE
43	231	232	Node231	Node232	Plateau	SouthWest	118	0.59	0.59	2	GSRD008106A00_BB0_01_D1a1a1a1a1b1;GSRD008106A01_BB0_01_D1a1a1a1a1b1	FALSE
1	208	209	Node208	Node209	SouthWest	GansuQinghai	115	0.575	0.62	199	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	FALSE
26	222	223	Node222	Node223	Plateau	SouthWest	108	0.54	0.54	4	Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1;GSRD009778A00_BB0_00_D1a1a1a1a1b1	FALSE
1	208	209	Node208	Node209	YellowRiver	GansuQinghai	105	0.525	0.56	199	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	FALSE
26	222	223	Node222	Node223	GansuQinghai	Plateau	103	0.515	0.52	4	Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1;GSRD009778A00_BB0_00_D1a1a1a1a1b1	FALSE
398	208	407	Node208	Node407	YellowRiver	GansuQinghai	96	0.48	0.49	8	Chuan10298A00_BB0_00_D1a1a1b1a2;CQ10079A00_BB0_00_D1a1a1b1a;GSRD008877A00_BB0_01_D1a1a1b2	FALSE
21	219	220	Node219	Node220	Plateau	SouthWest	91	0.455	0.455	10	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1	FALSE
22	220	10	Node220	Y_HRR2364751.bam__	SouthWest	GansuQinghai	86	0.43	0.43	1	Y_HRR2364751.bam__	FALSE
24	221	11	Node221	Y_HRR2364744.bam__	SouthWest	GansuQinghai	85	0.425	0.425	1	Y_HRR2364744.bam__	FALSE
1	208	209	Node208	Node209	Plateau	SouthWest	83	0.415	0.435	199	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	FALSE
33	222	226	Node222	Node226	GansuQinghai	Plateau	80	0.4	0.4	4	Chuan10108A00_BB0_00_D1a1a1a1a1b2;GSRD009056A00_TS0_00_D1a1a1a1a1b1;GSRD009825A00_BB0_00_D1a1a1a1a1b2	FALSE
40	219	229	Node219	Node229	GansuQinghai	Plateau	79	0.395	0.395	70	GSRD007975A00_BB1_01_D1a1a1a1a1b1;GSRD007975A01_BB1_02_D1a1a1a1a1b1;GSRD007997A00_BB1_01_D1a1a1a1a1b1	FALSE
1	208	209	Node208	Node209	GansuQinghai	Plateau	67	0.335	0.365	199	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	FALSE
217	319	320	Node319	Node320	Plateau	SouthWest	64	0.32	0.32	2	GSRD008171A00_BB1_01_D1a1a1a1b;GSRD008171A01_BB1_01_D1a1a1a1b	FALSE
220	319	108	Node319	GSRD008047A01_BB1_01_D1a1a1a1b	Plateau	SouthWest	64	0.32	0.32	1	GSRD008047A01_BB1_01_D1a1a1a1b	FALSE
42	230	231	Node230	Node231	Plateau	SouthWest	63	0.315	0.315	4	GSRD007975A00_BB1_01_D1a1a1a1a1b1;GSRD007975A01_BB1_02_D1a1a1a1a1b1;GSRD008106A00_BB0_01_D1a1a1a1a1b1	FALSE
20	218	219	Node218	Node219	Plateau	SouthWest	52	0.26	0.26	80	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1	FALSE
298	358	359	Node358	Node359	Plateau	SouthWest	47	0.235	0.235	2	GSRD008063A01_BB1_01_D1a1a1a1b;GSRD008162A00_BB1_01_D1a1a1a1b	FALSE
20	218	219	Node218	Node219	SouthWest	GansuQinghai	46	0.23	0.23	80	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1	FALSE
18	217	9	Node217	HRR1295204_Y.bam__	GansuQinghai	SouthWest	45	0.225	0.225	1	HRR1295204_Y.bam__	FALSE
398	208	407	Node208	Node407	SouthWest	GansuQinghai	45	0.225	0.245	8	Chuan10298A00_BB0_00_D1a1a1b1a2;CQ10079A00_BB0_00_D1a1a1b1a;GSRD008877A00_BB0_01_D1a1a1b2	FALSE
35	227	16	Node227	GSRD009056A00_TS0_00_D1a1a1a1a1b1	Plateau	SouthWest	43	0.215	0.215	1	GSRD009056A00_TS0_00_D1a1a1a1a1b1	FALSE
33	222	226	Node222	Node226	Plateau	SouthWest	42	0.21	0.21	4	Chuan10108A00_BB0_00_D1a1a1a1a1b2;GSRD009056A00_TS0_00_D1a1a1a1a1b1;GSRD009825A00_BB0_00_D1a1a1a1a1b2	FALSE
36	227	17	Node227	YSW00402A00_BB1_01_D1a1a1a1a1b1	Plateau	SouthWest	42	0.21	0.21	1	YSW00402A00_BB1_01_D1a1a1a1a1b1	FALSE
37	226	228	Node226	Node228	Plateau	SouthWest	33	0.165	0.165	2	Chuan10108A00_BB0_00_D1a1a1a1a1b2;GSRD009825A00_BB0_00_D1a1a1a1a1b2	FALSE
91	250	255	Node250	Node255	Plateau	SouthWest	32	0.16	0.16	9	GSRD008144A00_BB1_01_D1a1a1a1a1b1;GSRD008144A01_BB1_01_D1a1a1a1a1b1;GSRD008247A00_BB1_01_D1a1a1a1a1b1	FALSE
60	229	239	Node229	Node239	GansuQinghai	Plateau	30	0.15	0.15	60	GSRD007997A00_BB1_01_D1a1a1a1a1b1;GSRD007997A01_BB1_01_D1a1a1a1a1b1;GSRD008084A00_BB1_01_D1a1a1a1a1b1	FALSE
179	218	298	Node218	Node298	SouthWest	GansuQinghai	29	0.145	0.145	110	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD002335A00_BB1_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b	FALSE
