edge_id	parent_node	child_node	parent_label	child_label	child_is_tip	n_descendant_tip	descendant_tip_representative	edge_length_analysis	edge_length_input_units	edge_was_floored	branch_scale_factor
1	208	209	Node208	Node209	FALSE	199	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	17.2665527459929	0.000775	FALSE	4.48844660194175e-05
2	209	1	Node209	LJM25_Y_rg.bam__	TRUE	1	LJM25_Y_rg.bam__	2.22794228980554	1e-04	FALSE	4.48844660194175e-05
3	209	210	Node209	Node210	FALSE	198	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	0.00222794228980554	1e-07	TRUE	4.48844660194175e-05
4	210	2	Node210	LJM2_Y_rg.bam__	TRUE	1	LJM2_Y_rg.bam__	2.22794228980554	1e-04	FALSE	4.48844660194175e-05
5	210	211	Node210	Node211	FALSE	197	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	0.00222794228980554	1e-07	TRUE	4.48844660194175e-05
6	211	3	Node211	L8067.Y.trim.bam__	TRUE	1	L8067.Y.trim.bam__	2.22794228980554	1e-04	FALSE	4.48844660194175e-05
7	211	212	Node211	Node212	FALSE	196	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	0.00222794228980554	1e-07	TRUE	4.48844660194175e-05
8	212	4	Node212	L7053.Y.trim.bam__	TRUE	1	L7053.Y.trim.bam__	2.22794228980554	1e-04	FALSE	4.48844660194175e-05
9	212	213	Node212	Node213	FALSE	195	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	0.00222794228980554	1e-07	TRUE	4.48844660194175e-05
10	213	5	Node213	HRR660152_Y_rg.bam__	TRUE	1	HRR660152_Y_rg.bam__	2.22794228980554	1e-04	FALSE	4.48844660194175e-05
11	213	214	Node213	Node214	FALSE	194	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	0.00222794228980554	1e-07	TRUE	4.48844660194175e-05
12	214	6	Node214	HRR2680016.Y.bam__	TRUE	1	HRR2680016.Y.bam__	2.22794228980554	1e-04	FALSE	4.48844660194175e-05
13	214	215	Node214	Node215	FALSE	193	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	0.00222794228980554	1e-07	TRUE	4.48844660194175e-05
14	215	7	Node215	HRR1385301.Y.bam__	TRUE	1	HRR1385301.Y.bam__	2.22794228980554	1e-04	FALSE	4.48844660194175e-05
15	215	216	Node215	Node216	FALSE	192	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	0.00222794228980554	1e-07	TRUE	4.48844660194175e-05
16	216	8	Node216	HRR1385290.Y.bam__	TRUE	1	HRR1385290.Y.bam__	2.22794228980554	1e-04	FALSE	4.48844660194175e-05
17	216	217	Node216	Node217	FALSE	191	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	0.00222794228980554	1e-07	TRUE	4.48844660194175e-05
18	217	9	Node217	HRR1295204_Y.bam__	TRUE	1	HRR1295204_Y.bam__	2.22794228980554	1e-04	FALSE	4.48844660194175e-05
19	217	218	Node217	Node218	FALSE	190	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10231A03_BB0_01_D1a1a1a1b;Chuan10292A00_BB0_00_D1a1a1a1a1b1	0.00222794228980554	1e-07	TRUE	4.48844660194175e-05
20	218	219	Node218	Node219	FALSE	80	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1	9.4464753087755	0.000424	FALSE	4.48844660194175e-05
21	219	220	Node219	Node220	FALSE	10	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1	4.72323765438775	0.000212	FALSE	4.48844660194175e-05
22	220	10	Node220	Y_HRR2364751.bam__	TRUE	1	Y_HRR2364751.bam__	2.22794228980554	1e-04	FALSE	4.48844660194175e-05
23	220	221	Node220	Node221	FALSE	9	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1	0.00222794228980554	1e-07	TRUE	4.48844660194175e-05
24	221	11	Node221	Y_HRR2364744.bam__	TRUE	1	Y_HRR2364744.bam__	2.22794228980554	1e-04	FALSE	4.48844660194175e-05
25	221	222	Node221	Node222	FALSE	8	Chuan10108A00_BB0_00_D1a1a1a1a1b2;Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1	0.00222794228980554	1e-07	TRUE	4.48844660194175e-05
26	222	223	Node222	Node223	FALSE	4	Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1;GSRD009778A00_BB0_00_D1a1a1a1a1b1	5.52529687871774	0.000248	FALSE	4.48844660194175e-05
27	223	12	Node223	GSRD009780A00_BB0_00_D1a1a1a1a1b1	TRUE	1	GSRD009780A00_BB0_00_D1a1a1a1a1b1	0.490147303757219	2.2e-05	FALSE	4.48844660194175e-05
28	223	224	Node223	Node224	FALSE	3	Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1;GSRD009778A00_BB0_00_D1a1a1a1a1b1	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
29	224	225	Node224	Node225	FALSE	2	Chuan10292A00_BB0_00_D1a1a1a1a1b1;GSRD005430A00_BB0_01_D1a1a1a1a1b1	0.490147303757219	2.2e-05	FALSE	4.48844660194175e-05
30	225	13	Node225	Chuan10292A00_BB0_00_D1a1a1a1a1b1	TRUE	1	Chuan10292A00_BB0_00_D1a1a1a1a1b1	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
31	225	14	Node225	GSRD005430A00_BB0_01_D1a1a1a1a1b1	TRUE	1	GSRD005430A00_BB0_01_D1a1a1a1a1b1	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
32	224	15	Node224	GSRD009778A00_BB0_00_D1a1a1a1a1b1	TRUE	1	GSRD009778A00_BB0_00_D1a1a1a1a1b1	0.155955960286388	7e-06	FALSE	4.48844660194175e-05
33	222	226	Node222	Node226	FALSE	4	Chuan10108A00_BB0_00_D1a1a1a1a1b2;GSRD009056A00_TS0_00_D1a1a1a1a1b1;GSRD009825A00_BB0_00_D1a1a1a1a1b2	1.02485345331055	4.6e-05	FALSE	4.48844660194175e-05
34	226	227	Node226	Node227	FALSE	2	GSRD009056A00_TS0_00_D1a1a1a1a1b1;YSW00402A00_BB1_01_D1a1a1a1a1b1	0.512426726655275	2.3e-05	FALSE	4.48844660194175e-05
35	227	16	Node227	GSRD009056A00_TS0_00_D1a1a1a1a1b1	TRUE	1	GSRD009056A00_TS0_00_D1a1a1a1a1b1	5.03514957496052	0.000226	FALSE	4.48844660194175e-05
36	227	17	Node227	YSW00402A00_BB1_01_D1a1a1a1a1b1	TRUE	1	YSW00402A00_BB1_01_D1a1a1a1a1b1	2.4507365187861	0.00011	FALSE	4.48844660194175e-05
37	226	228	Node226	Node228	FALSE	2	Chuan10108A00_BB0_00_D1a1a1a1a1b2;GSRD009825A00_BB0_00_D1a1a1a1a1b2	1.29220652808721	5.8e-05	FALSE	4.48844660194175e-05
38	228	18	Node228	GSRD009825A00_BB0_00_D1a1a1a1a1b2	TRUE	1	GSRD009825A00_BB0_00_D1a1a1a1a1b2	2.4507365187861	0.00011	FALSE	4.48844660194175e-05
39	228	19	Node228	Chuan10108A00_BB0_00_D1a1a1a1a1b2	TRUE	1	Chuan10108A00_BB0_00_D1a1a1a1a1b2	2.29478055849971	0.000103	FALSE	4.48844660194175e-05
40	219	229	Node219	Node229	FALSE	70	GSRD007975A00_BB1_01_D1a1a1a1a1b1;GSRD007975A01_BB1_02_D1a1a1a1a1b1;GSRD007997A00_BB1_01_D1a1a1a1a1b1	2.60669247907248	0.000117	FALSE	4.48844660194175e-05
41	229	230	Node229	Node230	FALSE	10	GSRD007975A00_BB1_01_D1a1a1a1a1b1;GSRD007975A01_BB1_02_D1a1a1a1a1b1;GSRD008106A00_BB0_01_D1a1a1a1a1b1	2.11654517531526	9.5e-05	FALSE	4.48844660194175e-05
42	230	231	Node230	Node231	FALSE	4	GSRD007975A00_BB1_01_D1a1a1a1a1b1;GSRD007975A01_BB1_02_D1a1a1a1a1b1;GSRD008106A00_BB0_01_D1a1a1a1a1b1	0.646103264043607	2.9e-05	FALSE	4.48844660194175e-05
43	231	232	Node231	Node232	FALSE	2	GSRD008106A00_BB0_01_D1a1a1a1a1b1;GSRD008106A01_BB0_01_D1a1a1a1a1b1	4.07713439034414	0.000183	FALSE	4.48844660194175e-05
44	232	20	Node232	GSRD008106A01_BB0_01_D1a1a1a1a1b1	TRUE	1	GSRD008106A01_BB0_01_D1a1a1a1a1b1	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
45	232	21	Node232	GSRD008106A00_BB0_01_D1a1a1a1a1b1	TRUE	1	GSRD008106A00_BB0_01_D1a1a1a1a1b1	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
46	231	233	Node231	Node233	FALSE	2	GSRD007975A00_BB1_01_D1a1a1a1a1b1;GSRD007975A01_BB1_02_D1a1a1a1a1b1	3.25279574311609	0.000146	FALSE	4.48844660194175e-05
47	233	22	Node233	GSRD007975A00_BB1_01_D1a1a1a1a1b1	TRUE	1	GSRD007975A00_BB1_01_D1a1a1a1a1b1	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
48	233	23	Node233	GSRD007975A01_BB1_02_D1a1a1a1a1b1	TRUE	1	GSRD007975A01_BB1_02_D1a1a1a1a1b1	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
49	230	234	Node230	Node234	FALSE	6	GSRD008184A00_BB1_01_D1a1a1a1a1b1;GSRD008184A01_BB1_01_D1a1a1a1a1b1;GSRD009863A00_BB0_00_D1a1a1a1a1b1	0.0222794228980554	1e-06	FALSE	4.48844660194175e-05
