Haplogroup	Color
A	#DD7045
B	#4EAD8C
C	#4EAD74
D	#9EB858
E	#E38046
F	#C73D45
G	#CE4E45
H	#EC9F49
I	#4DACA5
J	#D65F45
K	#C1BD53
L	#57AF60
M	#7AB45C
N	#E4C24F
O	#4DACD6
P	#E88F47
Q	#F0AE4A
R	#C02D45
S	#F4BD4C
T	#4DACBD
BT	#4EADA5
CF	#8B755D
CT	#4EAD99
DE	#C19C4F
IJ	#928675
IJK	#87B57C
LT	#52AE8F
NO	#99B793
